,date,value,name_B08ML2QL52
0,2020-11-07,9632.0,Multivitamins
1,2020-11-08,9632.0,Multivitamins
2,2020-11-09,9632.0,Multivitamins
3,2020-11-10,8692.0,Multivitamins
4,2020-11-11,8692.0,Multivitamins
5,2020-11-12,8692.0,Multivitamins
6,2020-11-13,7737.0,Multivitamins
7,2020-11-14,7737.0,Multivitamins
8,2020-11-15,9051.0,Multivitamins
9,2020-11-16,9051.0,Multivitamins
10,2020-11-17,8799.0,Multivitamins
11,2020-11-18,8799.0,Multivitamins
12,2020-11-19,8799.0,Multivitamins
13,2020-11-20,8063.0,Multivitamins
14,2020-11-21,8063.0,Multivitamins
15,2020-11-22,8063.0,Multivitamins
16,2020-11-23,5192.0,Multivitamins
17,2020-11-24,5192.0,Multivitamins
18,2020-11-25,5192.0,Multivitamins
19,2020-11-26,5820.0,Multivitamins
20,2020-11-27,5820.0,Multivitamins
21,2020-11-28,5820.0,Multivitamins
22,2020-11-29,6051.0,Multivitamins
23,2020-11-30,6051.0,Multivitamins
24,2020-12-01,5957.0,Multivitamins
25,2020-12-02,6273.0,Multivitamins
26,2020-12-03,6273.0,Multivitamins
27,2020-12-04,6583.0,Multivitamins
28,2020-12-05,6583.0,Multivitamins
29,2020-12-06,6919.0,Multivitamins
30,2020-12-07,7317.0,Multivitamins
31,2020-12-08,7073.0,Multivitamins
32,2020-12-09,7187.0,Multivitamins
33,2020-12-10,7181.0,Multivitamins
34,2020-12-11,7129.0,Multivitamins
35,2020-12-12,7152.0,Multivitamins
36,2020-12-13,6655.0,Multivitamins
37,2020-12-14,7372.0,Multivitamins
38,2020-12-15,7081.0,Multivitamins
39,2020-12-16,7038.0,Multivitamins
40,2020-12-17,6924.0,Multivitamins
41,2020-12-18,7014.0,Multivitamins
42,2020-12-19,6402.0,Multivitamins
43,2020-12-20,7077.0,Multivitamins
44,2020-12-21,6428.0,Multivitamins
45,2020-12-22,6320.0,Multivitamins
46,2020-12-23,6320.0,Multivitamins
47,2020-12-24,6559.0,Multivitamins
48,2020-12-25,6559.0,Multivitamins
49,2020-12-26,6559.0,Multivitamins
50,2020-12-27,5355.0,Multivitamins
51,2020-12-28,6130.0,Multivitamins
52,2020-12-29,6130.0,Multivitamins
53,2020-12-30,5947.0,Multivitamins
54,2020-12-31,5947.0,Multivitamins
55,2021-01-01,5947.0,Multivitamins
56,2021-01-02,6066.0,Multivitamins
57,2021-01-03,6066.0,Multivitamins
58,2021-01-04,5992.0,Multivitamins
59,2021-01-05,5992.0,Multivitamins
60,2021-01-06,5992.0,Multivitamins
61,2021-01-07,6603.0,Multivitamins
62,2021-01-08,6603.0,Multivitamins
63,2021-01-09,6603.0,Multivitamins
64,2021-01-10,6603.0,Multivitamins
65,2021-01-11,6136.0,Multivitamins
66,2021-01-12,5859.0,Multivitamins
67,2021-01-13,5859.0,Multivitamins
68,2021-01-14,5859.0,Multivitamins
69,2021-01-15,5720.0,Multivitamins
70,2021-01-16,5532.0,Multivitamins
71,2021-01-17,5532.0,Multivitamins
72,2021-01-18,5720.0,Multivitamins
73,2021-01-19,5720.0,Multivitamins
74,2021-01-20,5619.0,Multivitamins
75,2021-01-21,5619.0,Multivitamins
76,2021-01-22,5619.0,Multivitamins
77,2021-01-23,7499.0,Multivitamins
78,2021-01-24,7499.0,Multivitamins
79,2021-01-25,6400.0,Multivitamins
80,2021-01-26,6159.0,Multivitamins
81,2021-01-27,6159.0,Multivitamins
82,2021-01-28,6851.0,Multivitamins
83,2021-01-29,7782.0,Multivitamins
84,2021-01-30,7173.0,Multivitamins
85,2021-01-31,7173.0,Multivitamins
86,2021-02-01,7173.0,Multivitamins
87,2021-02-02,7173.0,Multivitamins
88,2021-02-03,7173.0,Multivitamins
89,2021-02-04,7173.0,Multivitamins
90,2021-02-05,7173.0,Multivitamins
91,2021-02-06,7173.0,Multivitamins
92,2021-02-07,7173.0,Multivitamins
93,2021-02-08,7173.0,Multivitamins
94,2021-02-09,7173.0,Multivitamins
95,2021-02-10,7173.0,Multivitamins
96,2021-02-11,7173.0,Multivitamins
97,2021-02-12,7173.0,Multivitamins
98,2021-02-13,7173.0,Multivitamins
99,2021-02-14,7173.0,Multivitamins
100,2021-02-15,7173.0,Multivitamins
101,2021-02-16,7173.0,Multivitamins
