,date,value,name_B089SKGFYT
0,2020-11-30,67143.0,Mattress Protectors
1,2020-12-01,67143.0,Mattress Protectors
2,2020-12-02,67143.0,Mattress Protectors
3,2020-12-03,67143.0,Mattress Protectors
4,2020-12-04,67143.0,Mattress Protectors
5,2020-12-05,52308.0,Mattress Protectors
6,2020-12-06,52308.0,Mattress Protectors
7,2020-12-07,52006.0,Mattress Protectors
8,2020-12-08,52006.0,Mattress Protectors
9,2020-12-09,52006.0,Mattress Protectors
10,2020-12-10,52006.0,Mattress Protectors
11,2020-12-11,97785.0,Mattress Protectors
12,2020-12-12,97785.0,Mattress Protectors
13,2020-12-13,97785.0,Mattress Protectors
14,2020-12-14,97785.0,Mattress Protectors
15,2020-12-15,97785.0,Mattress Protectors
16,2020-12-16,82208.0,Mattress Protectors
17,2020-12-17,82208.0,Mattress Protectors
18,2020-12-18,82208.0,Mattress Protectors
19,2020-12-19,82208.0,Mattress Protectors
20,2020-12-20,82208.0,Mattress Protectors
21,2020-12-21,82208.0,Mattress Protectors
22,2020-12-22,82208.0,Mattress Protectors
23,2020-12-23,38424.0,Mattress Protectors
24,2020-12-24,38424.0,Mattress Protectors
25,2020-12-25,38424.0,Mattress Protectors
26,2020-12-26,38424.0,Mattress Protectors
27,2020-12-27,49727.0,Mattress Protectors
28,2020-12-28,49727.0,Mattress Protectors
29,2020-12-29,50197.0,Mattress Protectors
30,2020-12-30,50197.0,Mattress Protectors
31,2020-12-31,50197.0,Mattress Protectors
32,2021-01-01,50197.0,Mattress Protectors
33,2021-01-02,50197.0,Mattress Protectors
34,2021-01-03,72027.0,Mattress Protectors
35,2021-01-04,72027.0,Mattress Protectors
36,2021-01-05,72027.0,Mattress Protectors
37,2021-01-06,72027.0,Mattress Protectors
38,2021-01-07,72027.0,Mattress Protectors
39,2021-01-08,102205.0,Mattress Protectors
40,2021-01-09,102205.0,Mattress Protectors
41,2021-01-10,102205.0,Mattress Protectors
42,2021-01-11,102205.0,Mattress Protectors
43,2021-01-12,123173.0,Mattress Protectors
44,2021-01-13,123173.0,Mattress Protectors
45,2021-01-14,123173.0,Mattress Protectors
46,2021-01-15,123173.0,Mattress Protectors
47,2021-01-16,123173.0,Mattress Protectors
48,2021-01-17,154865.0,Mattress Protectors
49,2021-01-18,154865.0,Mattress Protectors
50,2021-01-19,154865.0,Mattress Protectors
51,2021-01-20,112043.0,Mattress Protectors
52,2021-01-21,112043.0,Mattress Protectors
53,2021-01-22,112043.0,Mattress Protectors
54,2021-01-23,112043.0,Mattress Protectors
55,2021-01-24,119934.0,Mattress Protectors
56,2021-01-25,119934.0,Mattress Protectors
57,2021-01-26,90856.0,Mattress Protectors
58,2021-01-27,90856.0,Mattress Protectors
59,2021-01-28,90856.0,Mattress Protectors
60,2021-01-29,90856.0,Mattress Protectors
61,2021-01-30,125402.0,Mattress Protectors
62,2021-01-31,125402.0,Mattress Protectors
63,2021-02-01,125402.0,Mattress Protectors
64,2021-02-02,125402.0,Mattress Protectors
65,2021-02-03,125402.0,Mattress Protectors
66,2021-02-04,114243.0,Mattress Protectors
67,2021-02-05,114243.0,Mattress Protectors
68,2021-02-06,114243.0,Mattress Protectors
69,2021-02-07,114243.0,Mattress Protectors
70,2021-02-08,114243.0,Mattress Protectors
71,2021-02-09,114243.0,Mattress Protectors
72,2021-02-10,114243.0,Mattress Protectors
73,2021-02-11,114243.0,Mattress Protectors
74,2021-02-12,114243.0,Mattress Protectors
75,2021-02-13,209248.0,Mattress Protectors
76,2021-02-14,209248.0,Mattress Protectors
77,2021-02-15,209248.0,Mattress Protectors
78,2021-02-16,171343.0,Mattress Protectors
79,2021-02-17,171343.0,Mattress Protectors
80,2021-02-18,171343.0,Mattress Protectors
81,2021-02-19,171343.0,Mattress Protectors
82,2021-02-20,171343.0,Mattress Protectors
83,2021-02-21,171343.0,Mattress Protectors
84,2021-02-22,171343.0,Mattress Protectors
85,2021-02-23,330897.0,Mattress Protectors
86,2021-02-24,330897.0,Mattress Protectors
87,2021-02-25,173271.0,Mattress Protectors
88,2021-02-26,173271.0,Mattress Protectors
89,2021-02-27,173271.0,Mattress Protectors
90,2021-02-28,173271.0,Mattress Protectors
91,2021-03-01,173271.0,Mattress Protectors
92,2021-03-02,173271.0,Mattress Protectors
93,2021-03-03,120175.0,Mattress Protectors
94,2021-03-04,120175.0,Mattress Protectors
95,2021-03-05,120175.0,Mattress Protectors
96,2021-03-06,120175.0,Mattress Protectors
97,2021-03-07,120175.0,Mattress Protectors
98,2021-03-08,120175.0,Mattress Protectors
99,2021-03-09,120175.0,Mattress Protectors
100,2021-03-10,170094.0,Mattress Protectors
101,2021-03-11,170094.0,Mattress Protectors
102,2021-03-12,170094.0,Mattress Protectors
103,2021-03-13,170094.0,Mattress Protectors
104,2021-03-14,170094.0,Mattress Protectors
105,2021-03-15,170094.0,Mattress Protectors
106,2021-03-16,170094.0,Mattress Protectors
107,2021-03-17,170094.0,Mattress Protectors
108,2021-03-18,125829.0,Mattress Protectors
109,2021-03-19,125829.0,Mattress Protectors
110,2021-03-20,125829.0,Mattress Protectors
111,2021-03-21,125829.0,Mattress Protectors
112,2021-03-22,125829.0,Mattress Protectors
113,2021-03-23,104009.0,Mattress Protectors
114,2021-03-24,104009.0,Mattress Protectors
115,2021-03-25,104009.0,Mattress Protectors
116,2021-03-26,104009.0,Mattress Protectors
117,2021-03-27,104009.0,Mattress Protectors
118,2021-03-28,173713.0,Mattress Protectors
119,2021-03-29,173713.0,Mattress Protectors
120,2021-03-30,173713.0,Mattress Protectors
121,2021-03-31,173713.0,Mattress Protectors
122,2021-04-01,173713.0,Mattress Protectors
123,2021-04-02,173713.0,Mattress Protectors
124,2021-04-03,66261.0,Mattress Protectors
125,2021-04-04,66261.0,Mattress Protectors
126,2021-04-05,66261.0,Mattress Protectors
127,2021-04-06,66261.0,Mattress Protectors
128,2021-04-07,66261.0,Mattress Protectors
129,2021-04-08,66261.0,Mattress Protectors
130,2021-04-09,263348.0,Mattress Protectors
131,2021-04-10,263348.0,Mattress Protectors
132,2021-04-11,263348.0,Mattress Protectors
133,2021-04-12,263348.0,Mattress Protectors
134,2021-04-13,348294.0,Mattress Protectors
135,2021-04-14,348294.0,Mattress Protectors
136,2021-04-15,348294.0,Mattress Protectors
137,2021-04-16,348294.0,Mattress Protectors
138,2021-04-17,348294.0,Mattress Protectors
139,2021-04-18,296199.0,Mattress Protectors
140,2021-04-19,296199.0,Mattress Protectors
141,2021-04-20,296199.0,Mattress Protectors
142,2021-04-21,296199.0,Mattress Protectors
143,2021-04-22,296199.0,Mattress Protectors
144,2021-04-23,296199.0,Mattress Protectors
145,2021-04-24,296199.0,Mattress Protectors
146,2021-04-25,296199.0,Mattress Protectors
147,2021-04-26,107907.0,Mattress Protectors
148,2021-04-27,107907.0,Mattress Protectors
149,2021-04-28,107907.0,Mattress Protectors
150,2021-04-29,107907.0,Mattress Protectors
151,2021-04-30,158255.0,Mattress Protectors
152,2021-05-01,158255.0,Mattress Protectors
153,2021-05-02,158255.0,Mattress Protectors
154,2021-05-03,87700.0,Mattress Protectors
155,2021-05-04,87700.0,Mattress Protectors
156,2021-05-05,87700.0,Mattress Protectors
157,2021-05-06,87700.0,Mattress Protectors
158,2021-05-07,163340.0,Mattress Protectors
159,2021-05-08,163340.0,Mattress Protectors
160,2021-05-09,163340.0,Mattress Protectors
