,date,value,name_B07BZHDBNS
0,2018-04-13,13972.0,Linear Measurement
1,2018-04-14,12779.0,Linear Measurement
2,2018-04-15,14072.0,Linear Measurement
3,2018-04-16,18316.0,Linear Measurement
4,2018-04-17,14294.0,Linear Measurement
5,2018-04-18,11834.0,Linear Measurement
6,2018-04-19,13291.0,Linear Measurement
7,2018-04-20,13291.0,Linear Measurement
8,2018-04-21,13291.0,Linear Measurement
9,2018-04-22,12990.0,Linear Measurement
10,2018-04-23,11320.0,Linear Measurement
11,2018-04-24,11320.0,Linear Measurement
12,2018-04-25,11942.0,Linear Measurement
13,2018-04-26,11942.0,Linear Measurement
14,2018-04-27,12898.0,Linear Measurement
15,2018-04-28,8908.0,Linear Measurement
16,2018-04-29,8908.0,Linear Measurement
17,2018-04-30,17305.0,Linear Measurement
18,2018-05-01,17305.0,Linear Measurement
19,2018-05-02,11232.0,Linear Measurement
20,2018-05-03,11515.0,Linear Measurement
21,2018-05-04,9619.0,Linear Measurement
22,2018-05-05,9619.0,Linear Measurement
23,2018-05-06,11425.0,Linear Measurement
24,2018-05-07,11425.0,Linear Measurement
25,2018-05-08,11949.0,Linear Measurement
26,2018-05-09,10849.0,Linear Measurement
27,2018-05-10,10849.0,Linear Measurement
28,2018-05-11,8101.0,Linear Measurement
29,2018-05-12,8101.0,Linear Measurement
30,2018-05-13,7929.0,Linear Measurement
31,2018-05-14,7929.0,Linear Measurement
32,2018-05-15,7929.0,Linear Measurement
33,2018-05-16,11209.0,Linear Measurement
34,2018-05-17,11209.0,Linear Measurement
35,2018-05-18,12944.0,Linear Measurement
36,2018-05-19,10627.0,Linear Measurement
37,2018-05-20,10627.0,Linear Measurement
38,2018-05-21,10627.0,Linear Measurement
39,2018-05-22,12365.0,Linear Measurement
40,2018-05-23,12365.0,Linear Measurement
41,2018-05-24,12365.0,Linear Measurement
42,2018-05-25,12365.0,Linear Measurement
43,2018-05-26,11083.0,Linear Measurement
44,2018-05-27,11083.0,Linear Measurement
45,2018-05-28,11083.0,Linear Measurement
46,2018-05-29,17676.0,Linear Measurement
47,2018-05-30,14113.0,Linear Measurement
48,2018-05-31,15217.0,Linear Measurement
49,2018-06-01,14965.0,Linear Measurement
50,2018-06-02,13633.0,Linear Measurement
51,2018-06-03,13633.0,Linear Measurement
52,2018-06-04,13633.0,Linear Measurement
53,2018-06-05,13780.0,Linear Measurement
54,2018-06-06,13780.0,Linear Measurement
55,2018-06-07,13857.0,Linear Measurement
56,2018-06-08,12622.0,Linear Measurement
57,2018-06-09,12622.0,Linear Measurement
58,2018-06-10,12622.0,Linear Measurement
59,2018-06-11,12088.0,Linear Measurement
60,2018-06-12,16643.0,Linear Measurement
61,2018-06-13,16643.0,Linear Measurement
62,2018-06-14,13589.0,Linear Measurement
63,2018-06-15,15309.0,Linear Measurement
64,2018-06-16,11839.0,Linear Measurement
65,2018-06-17,11839.0,Linear Measurement
66,2018-06-18,11839.0,Linear Measurement
67,2018-06-19,16103.0,Linear Measurement
68,2018-06-20,16887.0,Linear Measurement
69,2018-06-21,16887.0,Linear Measurement
70,2018-06-22,15335.0,Linear Measurement
71,2018-06-23,13852.0,Linear Measurement
72,2018-06-24,13852.0,Linear Measurement
73,2018-06-25,15693.0,Linear Measurement
74,2018-06-26,15693.0,Linear Measurement
75,2018-06-27,11589.0,Linear Measurement
76,2018-06-28,11589.0,Linear Measurement
77,2018-06-29,11589.0,Linear Measurement
78,2018-06-30,12762.0,Linear Measurement
79,2018-07-01,13232.0,Linear Measurement
80,2018-07-02,13628.0,Linear Measurement
81,2018-07-03,11725.0,Linear Measurement
82,2018-07-04,11163.0,Linear Measurement
83,2018-07-05,17592.0,Linear Measurement
84,2018-07-06,17592.0,Linear Measurement
85,2018-07-07,15206.0,Linear Measurement
86,2018-07-08,14516.0,Linear Measurement
87,2018-07-09,15675.0,Linear Measurement
88,2018-07-10,15675.0,Linear Measurement
89,2018-07-11,15329.0,Linear Measurement
90,2018-07-12,14120.0,Linear Measurement
91,2018-07-13,15039.0,Linear Measurement
92,2018-07-14,20132.0,Linear Measurement
93,2018-07-15,12292.0,Linear Measurement
94,2018-07-16,12292.0,Linear Measurement
95,2018-07-17,14485.0,Linear Measurement
96,2018-07-18,12792.0,Linear Measurement
97,2018-07-19,12792.0,Linear Measurement
98,2018-07-20,12792.0,Linear Measurement
99,2018-07-21,10618.0,Linear Measurement
100,2018-07-22,11658.0,Linear Measurement
101,2018-07-23,12875.0,Linear Measurement
102,2018-07-24,14381.0,Linear Measurement
103,2018-07-25,14381.0,Linear Measurement
104,2018-07-26,13803.0,Linear Measurement
105,2018-07-27,15498.0,Linear Measurement
106,2018-07-28,15498.0,Linear Measurement
107,2018-07-29,14895.0,Linear Measurement
108,2018-07-30,17833.0,Linear Measurement
109,2018-07-31,16440.0,Linear Measurement
110,2018-08-01,20619.0,Linear Measurement
111,2018-08-02,17028.0,Linear Measurement
112,2018-08-03,14654.0,Linear Measurement
113,2018-08-04,14654.0,Linear Measurement
114,2018-08-05,21840.0,Linear Measurement
115,2018-08-06,21840.0,Linear Measurement
116,2018-08-07,18188.0,Linear Measurement
117,2018-08-08,16861.0,Linear Measurement
118,2018-08-09,15659.0,Linear Measurement
119,2018-08-10,14165.0,Linear Measurement
120,2018-08-11,19163.0,Linear Measurement
121,2018-08-12,19163.0,Linear Measurement
122,2018-08-13,20540.0,Linear Measurement
123,2018-08-14,20540.0,Linear Measurement
124,2018-08-15,20540.0,Linear Measurement
125,2018-08-16,20540.0,Linear Measurement
126,2018-08-17,20540.0,Linear Measurement
127,2018-08-18,20540.0,Linear Measurement
128,2018-08-19,17968.0,Linear Measurement
129,2018-08-20,19985.0,Linear Measurement
130,2018-08-21,19985.0,Linear Measurement
131,2018-08-22,17993.0,Linear Measurement
132,2018-08-23,26373.0,Linear Measurement
133,2018-08-24,29842.0,Linear Measurement
134,2018-08-25,28101.0,Linear Measurement
135,2018-08-26,30087.0,Linear Measurement
136,2018-08-27,30087.0,Linear Measurement
137,2018-08-28,13925.0,Linear Measurement
138,2018-08-29,17372.0,Linear Measurement
139,2018-08-30,20416.0,Linear Measurement
140,2018-08-31,17561.0,Linear Measurement
141,2018-09-01,17874.0,Linear Measurement
142,2018-09-02,17584.0,Linear Measurement
143,2018-09-03,26817.0,Linear Measurement
144,2018-09-04,20798.0,Linear Measurement
145,2018-09-05,34487.0,Linear Measurement
146,2018-09-06,36392.0,Linear Measurement
147,2018-09-07,26910.0,Linear Measurement
148,2018-09-08,30032.0,Linear Measurement
149,2018-09-09,18151.0,Linear Measurement
150,2018-09-10,24763.0,Linear Measurement
151,2018-09-11,34809.0,Linear Measurement
152,2018-09-12,34809.0,Linear Measurement
153,2018-09-13,23389.0,Linear Measurement
154,2018-09-14,21529.0,Linear Measurement
155,2018-09-15,23482.0,Linear Measurement
156,2018-09-16,19456.0,Linear Measurement
157,2018-09-17,20557.0,Linear Measurement
158,2018-09-18,25752.0,Linear Measurement
159,2018-09-19,24014.0,Linear Measurement
160,2018-09-20,18379.0,Linear Measurement
161,2018-09-21,14541.0,Linear Measurement
162,2018-09-22,18910.0,Linear Measurement
163,2018-09-23,17719.0,Linear Measurement
164,2018-09-24,16898.0,Linear Measurement
165,2018-09-25,21094.0,Linear Measurement
166,2018-09-26,21094.0,Linear Measurement
167,2018-09-27,17282.0,Linear Measurement
168,2018-09-28,15479.0,Linear Measurement
169,2018-09-29,20953.0,Linear Measurement
170,2018-09-30,27520.0,Linear Measurement
171,2018-10-01,27874.0,Linear Measurement
172,2018-10-02,18894.0,Linear Measurement
173,2018-10-03,18894.0,Linear Measurement
174,2018-10-04,19541.0,Linear Measurement
175,2018-10-05,19541.0,Linear Measurement
176,2018-10-06,25093.0,Linear Measurement
177,2018-10-07,33928.0,Linear Measurement
178,2018-10-08,33928.0,Linear Measurement
179,2018-10-09,26003.0,Linear Measurement
180,2018-10-10,26003.0,Linear Measurement
181,2018-10-11,21005.0,Linear Measurement
182,2018-10-12,27684.0,Linear Measurement
183,2018-10-13,19737.0,Linear Measurement
184,2018-10-14,18873.0,Linear Measurement
185,2018-10-15,27858.0,Linear Measurement
186,2018-10-16,20775.0,Linear Measurement
187,2018-10-17,21077.0,Linear Measurement
188,2018-10-18,21994.0,Linear Measurement
189,2018-10-19,21994.0,Linear Measurement
190,2018-10-20,30812.0,Linear Measurement
191,2018-10-21,24120.0,Linear Measurement
192,2018-10-22,24120.0,Linear Measurement
193,2018-10-23,20194.0,Linear Measurement
194,2018-10-24,20194.0,Linear Measurement
195,2018-10-25,18998.0,Linear Measurement
196,2018-10-26,18998.0,Linear Measurement
197,2018-10-27,19294.0,Linear Measurement
198,2018-10-28,19294.0,Linear Measurement
199,2018-10-29,20563.0,Linear Measurement
200,2018-10-30,20563.0,Linear Measurement
201,2018-10-31,20563.0,Linear Measurement
202,2018-11-01,17222.0,Linear Measurement
203,2018-11-02,17222.0,Linear Measurement
