,date,value,name_B08G87GQM3
0,2020-10-17,61619.0,Food Jars & Canisters
1,2020-10-18,73294.0,Food Jars & Canisters
2,2020-10-19,35208.0,Food Jars & Canisters
3,2020-10-20,4036.0,Food Jars & Canisters
4,2020-10-21,3591.0,Food Jars & Canisters
5,2020-10-22,4325.0,Food Jars & Canisters
6,2020-10-23,3333.0,Food Jars & Canisters
7,2020-10-24,3009.0,Food Jars & Canisters
8,2020-10-25,2812.0,Food Jars & Canisters
9,2020-10-26,3155.0,Food Jars & Canisters
10,2020-10-27,3602.0,Food Jars & Canisters
11,2020-10-28,3559.0,Food Jars & Canisters
12,2020-10-29,3926.0,Food Jars & Canisters
13,2020-10-30,3075.0,Food Jars & Canisters
14,2020-10-31,3007.0,Food Jars & Canisters
15,2020-11-01,3388.0,Food Jars & Canisters
16,2020-11-02,4398.0,Food Jars & Canisters
17,2020-11-03,3177.0,Food Jars & Canisters
18,2020-11-04,3674.0,Food Jars & Canisters
19,2020-11-05,4575.0,Food Jars & Canisters
20,2020-11-06,3823.0,Food Jars & Canisters
21,2020-11-07,3877.0,Food Jars & Canisters
22,2020-11-08,3877.0,Food Jars & Canisters
23,2020-11-09,4060.0,Food Jars & Canisters
24,2020-11-10,3747.0,Food Jars & Canisters
25,2020-11-11,3906.0,Food Jars & Canisters
26,2020-11-12,3691.0,Food Jars & Canisters
27,2020-11-13,3691.0,Food Jars & Canisters
28,2020-11-14,3377.0,Food Jars & Canisters
29,2020-11-15,4125.0,Food Jars & Canisters
30,2020-11-16,3243.0,Food Jars & Canisters
31,2020-11-17,3652.0,Food Jars & Canisters
32,2020-11-18,3914.0,Food Jars & Canisters
33,2020-11-19,4941.0,Food Jars & Canisters
34,2020-11-20,4941.0,Food Jars & Canisters
35,2020-11-21,4033.0,Food Jars & Canisters
36,2020-11-22,4354.0,Food Jars & Canisters
37,2020-11-23,4395.0,Food Jars & Canisters
38,2020-11-24,5963.0,Food Jars & Canisters
39,2020-11-25,7572.0,Food Jars & Canisters
40,2020-11-26,8717.0,Food Jars & Canisters
41,2020-11-27,11354.0,Food Jars & Canisters
42,2020-11-28,11229.0,Food Jars & Canisters
43,2020-11-29,10542.0,Food Jars & Canisters
44,2020-11-30,11805.0,Food Jars & Canisters
45,2020-12-01,12118.0,Food Jars & Canisters
46,2020-12-02,9819.0,Food Jars & Canisters
47,2020-12-03,9759.0,Food Jars & Canisters
48,2020-12-04,7807.0,Food Jars & Canisters
49,2020-12-05,7223.0,Food Jars & Canisters
50,2020-12-06,5862.0,Food Jars & Canisters
51,2020-12-07,8228.0,Food Jars & Canisters
52,2020-12-08,12780.0,Food Jars & Canisters
53,2020-12-09,13089.0,Food Jars & Canisters
54,2020-12-10,11399.0,Food Jars & Canisters
55,2020-12-11,10154.0,Food Jars & Canisters
56,2020-12-12,11911.0,Food Jars & Canisters
57,2020-12-13,12577.0,Food Jars & Canisters
58,2020-12-14,10849.0,Food Jars & Canisters
59,2020-12-15,11330.0,Food Jars & Canisters
60,2020-12-16,12991.0,Food Jars & Canisters
61,2020-12-17,15932.0,Food Jars & Canisters
62,2020-12-18,13561.0,Food Jars & Canisters
63,2020-12-19,12782.0,Food Jars & Canisters
64,2020-12-20,10967.0,Food Jars & Canisters
65,2020-12-21,11587.0,Food Jars & Canisters
66,2020-12-22,9375.0,Food Jars & Canisters
67,2020-12-23,9364.0,Food Jars & Canisters
68,2020-12-24,10942.0,Food Jars & Canisters
69,2020-12-25,10602.0,Food Jars & Canisters
70,2020-12-26,9476.0,Food Jars & Canisters
71,2020-12-27,8615.0,Food Jars & Canisters
72,2020-12-28,11369.0,Food Jars & Canisters
73,2020-12-29,9420.0,Food Jars & Canisters
74,2020-12-30,11319.0,Food Jars & Canisters
75,2020-12-31,13860.0,Food Jars & Canisters
76,2021-01-01,10591.0,Food Jars & Canisters
77,2021-01-02,17077.0,Food Jars & Canisters
78,2021-01-03,18745.0,Food Jars & Canisters
79,2021-01-04,12876.0,Food Jars & Canisters
80,2021-01-05,11629.0,Food Jars & Canisters
81,2021-01-06,9470.0,Food Jars & Canisters
82,2021-01-07,7589.0,Food Jars & Canisters
83,2021-01-08,8963.0,Food Jars & Canisters
84,2021-01-09,7614.0,Food Jars & Canisters
85,2021-01-10,5682.0,Food Jars & Canisters
86,2021-01-11,7424.0,Food Jars & Canisters
87,2021-01-12,6086.0,Food Jars & Canisters
88,2021-01-13,6247.0,Food Jars & Canisters
89,2021-01-14,5628.0,Food Jars & Canisters
90,2021-01-15,5652.0,Food Jars & Canisters
91,2021-01-16,5994.0,Food Jars & Canisters
92,2021-01-17,7357.0,Food Jars & Canisters
93,2021-01-18,7768.0,Food Jars & Canisters
94,2021-01-19,6455.0,Food Jars & Canisters
95,2021-01-20,5801.0,Food Jars & Canisters
96,2021-01-21,5719.0,Food Jars & Canisters
97,2021-01-22,5647.0,Food Jars & Canisters
98,2021-01-23,5046.0,Food Jars & Canisters
99,2021-01-24,6345.0,Food Jars & Canisters
100,2021-01-25,6234.0,Food Jars & Canisters
101,2021-01-26,5524.0,Food Jars & Canisters
102,2021-01-27,6693.0,Food Jars & Canisters
103,2021-01-28,7020.0,Food Jars & Canisters
104,2021-01-29,7976.0,Food Jars & Canisters
105,2021-01-30,8040.0,Food Jars & Canisters
106,2021-01-31,10253.0,Food Jars & Canisters
107,2021-02-01,16267.0,Food Jars & Canisters
108,2021-02-02,17803.0,Food Jars & Canisters
109,2021-02-03,23473.0,Food Jars & Canisters
110,2021-02-04,20834.0,Food Jars & Canisters
111,2021-02-05,31192.0,Food Jars & Canisters
112,2021-02-06,32521.0,Food Jars & Canisters
113,2021-02-07,17893.0,Food Jars & Canisters
114,2021-02-08,16870.0,Food Jars & Canisters
115,2021-02-09,13355.0,Food Jars & Canisters
116,2021-02-10,9676.0,Food Jars & Canisters
117,2021-02-11,11036.0,Food Jars & Canisters
118,2021-02-12,13680.0,Food Jars & Canisters
119,2021-02-13,11554.0,Food Jars & Canisters
120,2021-02-14,8039.0,Food Jars & Canisters
121,2021-02-15,7444.0,Food Jars & Canisters
122,2021-02-16,6846.0,Food Jars & Canisters
123,2021-02-17,7171.0,Food Jars & Canisters
124,2021-02-18,8469.0,Food Jars & Canisters
125,2021-02-19,6919.0,Food Jars & Canisters
126,2021-02-20,6023.0,Food Jars & Canisters
127,2021-02-21,5709.0,Food Jars & Canisters
128,2021-02-22,5264.0,Food Jars & Canisters
129,2021-02-23,4865.0,Food Jars & Canisters
130,2021-02-24,5050.0,Food Jars & Canisters
131,2021-02-25,4708.0,Food Jars & Canisters
132,2021-02-26,5539.0,Food Jars & Canisters
133,2021-02-27,5972.0,Food Jars & Canisters
134,2021-02-28,6389.0,Food Jars & Canisters
135,2021-03-01,6181.0,Food Jars & Canisters
136,2021-03-02,5681.0,Food Jars & Canisters
137,2021-03-03,5958.0,Food Jars & Canisters
138,2021-03-04,5265.0,Food Jars & Canisters
139,2021-03-05,5019.0,Food Jars & Canisters
140,2021-03-06,7219.0,Food Jars & Canisters
141,2021-03-07,4975.0,Food Jars & Canisters
142,2021-03-08,4887.0,Food Jars & Canisters
143,2021-03-09,4796.0,Food Jars & Canisters
144,2021-03-10,4950.0,Food Jars & Canisters
145,2021-03-11,5193.0,Food Jars & Canisters
146,2021-03-12,5566.0,Food Jars & Canisters
147,2021-03-13,5220.0,Food Jars & Canisters
148,2021-03-14,5956.0,Food Jars & Canisters
149,2021-03-15,4563.0,Food Jars & Canisters
150,2021-03-16,5379.0,Food Jars & Canisters
151,2021-03-17,6875.0,Food Jars & Canisters
152,2021-03-18,6361.0,Food Jars & Canisters
153,2021-03-19,5483.0,Food Jars & Canisters
154,2021-03-20,5338.0,Food Jars & Canisters
155,2021-03-21,5917.0,Food Jars & Canisters
156,2021-03-22,6041.0,Food Jars & Canisters
157,2021-03-23,4812.0,Food Jars & Canisters
158,2021-03-24,4217.0,Food Jars & Canisters
159,2021-03-25,5578.0,Food Jars & Canisters
160,2021-03-26,5016.0,Food Jars & Canisters
161,2021-03-27,5366.0,Food Jars & Canisters
162,2021-03-28,4106.0,Food Jars & Canisters
163,2021-03-29,5143.0,Food Jars & Canisters
164,2021-03-30,4649.0,Food Jars & Canisters
165,2021-03-31,5938.0,Food Jars & Canisters
166,2021-04-01,5372.0,Food Jars & Canisters
167,2021-04-02,5154.0,Food Jars & Canisters
168,2021-04-03,5977.0,Food Jars & Canisters
169,2021-04-04,4444.0,Food Jars & Canisters
170,2021-04-05,5197.0,Food Jars & Canisters
171,2021-04-06,5184.0,Food Jars & Canisters
172,2021-04-07,5387.0,Food Jars & Canisters
173,2021-04-08,5206.0,Food Jars & Canisters
174,2021-04-09,4773.0,Food Jars & Canisters
175,2021-04-10,4998.0,Food Jars & Canisters
176,2021-04-11,4664.0,Food Jars & Canisters
177,2021-04-12,4129.0,Food Jars & Canisters
178,2021-04-13,3217.0,Food Jars & Canisters
179,2021-04-14,3540.0,Food Jars & Canisters
180,2021-04-15,4242.0,Food Jars & Canisters
181,2021-04-16,3127.0,Food Jars & Canisters
182,2021-04-17,3883.0,Food Jars & Canisters
183,2021-04-18,2913.0,Food Jars & Canisters
184,2021-04-19,3534.0,Food Jars & Canisters
185,2021-04-20,4306.0,Food Jars & Canisters
186,2021-04-21,3818.0,Food Jars & Canisters
187,2021-04-22,4029.0,Food Jars & Canisters
188,2021-04-23,4343.0,Food Jars & Canisters
189,2021-04-24,4842.0,Food Jars & Canisters
190,2021-04-25,4921.0,Food Jars & Canisters
191,2021-04-26,5178.0,Food Jars & Canisters
192,2021-04-27,5169.0,Food Jars & Canisters
193,2021-04-28,5186.0,Food Jars & Canisters
194,2021-04-29,4387.0,Food Jars & Canisters
195,2021-04-30,6088.0,Food Jars & Canisters
196,2021-05-01,5629.0,Food Jars & Canisters
197,2021-05-02,4854.0,Food Jars & Canisters
198,2021-05-03,4749.0,Food Jars & Canisters
199,2021-05-04,5242.0,Food Jars & Canisters
200,2021-05-05,5532.0,Food Jars & Canisters
201,2021-05-06,6308.0,Food Jars & Canisters
202,2021-05-07,4904.0,Food Jars & Canisters
203,2021-05-08,5993.0,Food Jars & Canisters
204,2021-05-09,5065.0,Food Jars & Canisters
205,2021-05-10,6524.0,Food Jars & Canisters
206,2021-05-11,6887.0,Food Jars & Canisters
207,2021-05-12,7182.0,Food Jars & Canisters
208,2021-05-13,5472.0,Food Jars & Canisters
209,2021-05-14,6403.0,Food Jars & Canisters
210,2021-05-15,8701.0,Food Jars & Canisters
211,2021-05-16,7853.0,Food Jars & Canisters
212,2021-05-17,7703.0,Food Jars & Canisters
213,2021-05-18,6004.0,Food Jars & Canisters
214,2021-05-19,7285.0,Food Jars & Canisters
215,2021-05-20,9554.0,Food Jars & Canisters
216,2021-05-21,7157.0,Food Jars & Canisters
217,2021-05-22,9605.0,Food Jars & Canisters
218,2021-05-23,8797.0,Food Jars & Canisters
219,2021-05-24,9645.0,Food Jars & Canisters
220,2021-05-25,11025.0,Food Jars & Canisters
221,2021-05-26,9436.0,Food Jars & Canisters
222,2021-05-27,7995.0,Food Jars & Canisters
223,2021-05-28,7014.0,Food Jars & Canisters
224,2021-05-29,10319.0,Food Jars & Canisters
225,2021-05-30,12103.0,Food Jars & Canisters
226,2021-05-31,12517.0,Food Jars & Canisters
227,2021-06-01,12287.0,Food Jars & Canisters
228,2021-06-02,8676.0,Food Jars & Canisters
229,2021-06-03,10083.0,Food Jars & Canisters
230,2021-06-04,10453.0,Food Jars & Canisters
231,2021-06-05,9832.0,Food Jars & Canisters
232,2021-06-06,11081.0,Food Jars & Canisters
233,2021-06-07,9196.0,Food Jars & Canisters
234,2021-06-08,9952.0,Food Jars & Canisters
235,2021-06-09,10101.0,Food Jars & Canisters
236,2021-06-10,8183.0,Food Jars & Canisters
237,2021-06-11,8153.0,Food Jars & Canisters
238,2021-06-12,9450.0,Food Jars & Canisters
239,2021-06-13,9400.0,Food Jars & Canisters
240,2021-06-14,10824.0,Food Jars & Canisters
241,2021-06-15,8912.0,Food Jars & Canisters
242,2021-06-16,11330.0,Food Jars & Canisters
243,2021-06-17,11020.0,Food Jars & Canisters
244,2021-06-18,10272.0,Food Jars & Canisters
245,2021-06-19,9062.0,Food Jars & Canisters
246,2021-06-20,10116.0,Food Jars & Canisters
247,2021-06-21,9201.0,Food Jars & Canisters
248,2021-06-22,15018.0,Food Jars & Canisters
249,2021-06-23,14783.0,Food Jars & Canisters
250,2021-06-24,12484.0,Food Jars & Canisters
251,2021-06-25,12277.0,Food Jars & Canisters
252,2021-06-26,9321.0,Food Jars & Canisters
253,2021-06-27,9539.0,Food Jars & Canisters
254,2021-06-28,11239.0,Food Jars & Canisters
255,2021-06-29,8367.0,Food Jars & Canisters
256,2021-06-30,8774.0,Food Jars & Canisters
257,2021-07-01,10606.0,Food Jars & Canisters
258,2021-07-02,107060.0,Food Jars & Canisters
259,2021-07-03,157249.0,Food Jars & Canisters
260,2021-07-04,61255.0,Food Jars & Canisters
261,2021-07-05,89091.0,Food Jars & Canisters
262,2021-07-06,64038.0,Food Jars & Canisters
263,2021-07-07,58844.0,Food Jars & Canisters
264,2021-07-08,91221.0,Food Jars & Canisters
265,2021-07-09,123818.0,Food Jars & Canisters
