,date,value,name_B08VSDRNMW
0,2021-03-05,2140.0,Digital
1,2021-03-06,2140.0,Digital
2,2021-03-07,2140.0,Digital
3,2021-03-08,1601.0,Digital
4,2021-03-09,1495.0,Digital
5,2021-03-10,1581.0,Digital
6,2021-03-11,1581.0,Digital
7,2021-03-12,1581.0,Digital
8,2021-03-13,1192.0,Digital
9,2021-03-14,1390.0,Digital
10,2021-03-15,1390.0,Digital
11,2021-03-16,1390.0,Digital
12,2021-03-17,1510.0,Digital
13,2021-03-18,1549.0,Digital
14,2021-03-19,1549.0,Digital
15,2021-03-20,1292.0,Digital
16,2021-03-21,1292.0,Digital
17,2021-03-22,1292.0,Digital
18,2021-03-23,1274.0,Digital
19,2021-03-24,1284.0,Digital
20,2021-03-25,1284.0,Digital
21,2021-03-26,1284.0,Digital
22,2021-03-27,1293.0,Digital
23,2021-03-28,1293.0,Digital
24,2021-03-29,1706.0,Digital
25,2021-03-30,1706.0,Digital
26,2021-03-31,1706.0,Digital
27,2021-04-01,2104.0,Digital
28,2021-04-02,2104.0,Digital
29,2021-04-03,2104.0,Digital
30,2021-04-04,2021.0,Digital
31,2021-04-05,1839.0,Digital
32,2021-04-06,1841.0,Digital
33,2021-04-07,1841.0,Digital
34,2021-04-08,2114.0,Digital
35,2021-04-09,2114.0,Digital
36,2021-04-10,2114.0,Digital
37,2021-04-11,1906.0,Digital
38,2021-04-12,1936.0,Digital
39,2021-04-13,1936.0,Digital
40,2021-04-14,936.0,Digital
41,2021-04-15,936.0,Digital
42,2021-04-16,1040.0,Digital
43,2021-04-17,1040.0,Digital
44,2021-04-18,826.0,Digital
45,2021-04-19,826.0,Digital
46,2021-04-20,826.0,Digital
47,2021-04-21,1195.0,Digital
48,2021-04-22,1670.0,Digital
49,2021-04-23,1461.0,Digital
50,2021-04-24,1461.0,Digital
51,2021-04-25,1800.0,Digital
52,2021-04-26,1720.0,Digital
53,2021-04-27,1720.0,Digital
54,2021-04-28,1677.0,Digital
55,2021-04-29,1597.0,Digital
56,2021-04-30,1597.0,Digital
57,2021-05-01,1663.0,Digital
58,2021-05-02,1663.0,Digital
59,2021-05-03,2087.0,Digital
60,2021-05-04,1661.0,Digital
61,2021-05-05,1785.0,Digital
62,2021-05-06,1785.0,Digital
63,2021-05-07,1688.0,Digital
64,2021-05-08,1709.0,Digital
65,2021-05-09,1709.0,Digital
66,2021-05-10,2092.0,Digital
67,2021-05-11,2092.0,Digital
68,2021-05-12,2092.0,Digital
69,2021-05-13,1852.0,Digital
70,2021-05-14,1852.0,Digital
71,2021-05-15,1758.0,Digital
72,2021-05-16,1758.0,Digital
73,2021-05-17,2289.0,Digital
74,2021-05-18,2289.0,Digital
75,2021-05-19,1893.0,Digital
76,2021-05-20,1994.0,Digital
77,2021-05-21,1994.0,Digital
78,2021-05-22,1994.0,Digital
79,2021-05-23,2251.0,Digital
80,2021-05-24,2280.0,Digital
81,2021-05-25,2280.0,Digital
82,2021-05-26,1444.0,Digital
83,2021-05-27,1444.0,Digital
84,2021-05-28,1009.0,Digital
85,2021-05-29,1009.0,Digital
86,2021-05-30,1009.0,Digital
87,2021-05-31,1652.0,Digital
88,2021-06-01,1713.0,Digital
89,2021-06-02,1795.0,Digital
90,2021-06-03,1795.0,Digital
91,2021-06-04,1822.0,Digital
92,2021-06-05,1822.0,Digital
93,2021-06-06,1939.0,Digital
94,2021-06-07,1939.0,Digital
95,2021-06-08,2061.0,Digital
96,2021-06-09,1779.0,Digital
97,2021-06-10,1779.0,Digital
98,2021-06-11,1779.0,Digital
99,2021-06-12,1548.0,Digital
100,2021-06-13,1548.0,Digital
101,2021-06-14,1815.0,Digital
102,2021-06-15,1815.0,Digital
103,2021-06-16,1945.0,Digital
104,2021-06-17,1945.0,Digital
105,2021-06-18,1977.0,Digital
106,2021-06-19,1977.0,Digital
107,2021-06-20,2138.0,Digital
108,2021-06-21,2138.0,Digital
109,2021-06-22,901.0,Digital
110,2021-06-23,901.0,Digital
111,2021-06-24,901.0,Digital
112,2021-06-25,1325.0,Digital
113,2021-06-26,1325.0,Digital
114,2021-06-27,1788.0,Digital
115,2021-06-28,1788.0,Digital
116,2021-06-29,942.0,Digital
117,2021-06-30,942.0,Digital
118,2021-07-01,798.0,Digital
119,2021-07-02,798.0,Digital
120,2021-07-03,735.0,Digital
121,2021-07-04,757.0,Digital
122,2021-07-05,757.0,Digital
123,2021-07-06,1018.0,Digital
124,2021-07-07,1604.0,Digital
125,2021-07-08,1604.0,Digital
126,2021-07-09,1898.0,Digital
127,2021-07-10,1898.0,Digital
128,2021-07-11,2144.0,Digital
