,date,value,name_B08XLV1PDK
0,2021-03-02,57735.0,Collagen
1,2021-03-03,57735.0,Collagen
2,2021-03-04,57735.0,Collagen
3,2021-03-05,57634.0,Collagen
4,2021-03-06,57634.0,Collagen
5,2021-03-07,57634.0,Collagen
6,2021-03-08,57634.0,Collagen
7,2021-03-09,46295.0,Collagen
8,2021-03-10,46295.0,Collagen
9,2021-03-11,46295.0,Collagen
10,2021-03-12,49674.0,Collagen
11,2021-03-13,49674.0,Collagen
12,2021-03-14,49674.0,Collagen
13,2021-03-15,49674.0,Collagen
14,2021-03-16,49674.0,Collagen
15,2021-03-17,49674.0,Collagen
16,2021-03-18,51450.0,Collagen
17,2021-03-19,51450.0,Collagen
18,2021-03-20,51450.0,Collagen
19,2021-03-21,51450.0,Collagen
20,2021-03-22,51450.0,Collagen
21,2021-03-23,51450.0,Collagen
22,2021-03-24,46016.0,Collagen
23,2021-03-25,46016.0,Collagen
24,2021-03-26,46016.0,Collagen
25,2021-03-27,46016.0,Collagen
26,2021-03-28,46016.0,Collagen
27,2021-03-29,53263.0,Collagen
28,2021-03-30,53263.0,Collagen
29,2021-03-31,53263.0,Collagen
30,2021-04-01,53263.0,Collagen
31,2021-04-02,42991.0,Collagen
32,2021-04-03,42991.0,Collagen
33,2021-04-04,42991.0,Collagen
34,2021-04-05,50365.0,Collagen
35,2021-04-06,50365.0,Collagen
36,2021-04-07,50365.0,Collagen
37,2021-04-08,53284.0,Collagen
38,2021-04-09,53284.0,Collagen
39,2021-04-10,37631.0,Collagen
40,2021-04-11,37631.0,Collagen
41,2021-04-12,50961.0,Collagen
42,2021-04-13,50961.0,Collagen
43,2021-04-14,50961.0,Collagen
44,2021-04-15,48345.0,Collagen
45,2021-04-16,48345.0,Collagen
46,2021-04-17,48345.0,Collagen
47,2021-04-18,48345.0,Collagen
48,2021-04-19,48345.0,Collagen
49,2021-04-20,44749.0,Collagen
50,2021-04-21,48238.0,Collagen
51,2021-04-22,43909.0,Collagen
52,2021-04-23,23329.0,Collagen
53,2021-04-24,23329.0,Collagen
54,2021-04-25,23329.0,Collagen
55,2021-04-26,23329.0,Collagen
56,2021-04-27,35382.0,Collagen
57,2021-04-28,35382.0,Collagen
58,2021-04-29,35382.0,Collagen
59,2021-04-30,31759.0,Collagen
60,2021-05-01,31759.0,Collagen
61,2021-05-02,31759.0,Collagen
62,2021-05-03,37520.0,Collagen
63,2021-05-04,37520.0,Collagen
64,2021-05-05,37520.0,Collagen
65,2021-05-06,34549.0,Collagen
66,2021-05-07,48136.0,Collagen
67,2021-05-08,48136.0,Collagen
68,2021-05-09,48136.0,Collagen
69,2021-05-10,42306.0,Collagen
70,2021-05-11,42306.0,Collagen
71,2021-05-12,42306.0,Collagen
72,2021-05-13,42306.0,Collagen
73,2021-05-14,42306.0,Collagen
74,2021-05-15,42306.0,Collagen
75,2021-05-16,42306.0,Collagen
76,2021-05-17,24884.0,Collagen
77,2021-05-18,24884.0,Collagen
78,2021-05-19,24884.0,Collagen
79,2021-05-20,39833.0,Collagen
80,2021-05-21,51845.0,Collagen
81,2021-05-22,51845.0,Collagen
82,2021-05-23,28454.0,Collagen
83,2021-05-24,30706.0,Collagen
84,2021-05-25,30706.0,Collagen
85,2021-05-26,30706.0,Collagen
86,2021-05-27,43771.0,Collagen
87,2021-05-28,43771.0,Collagen
88,2021-05-29,35818.0,Collagen
89,2021-05-30,35818.0,Collagen
90,2021-05-31,37550.0,Collagen
91,2021-06-01,32010.0,Collagen
92,2021-06-02,32010.0,Collagen
93,2021-06-03,32010.0,Collagen
94,2021-06-04,30870.0,Collagen
95,2021-06-05,30870.0,Collagen
96,2021-06-06,30870.0,Collagen
97,2021-06-07,25204.0,Collagen
98,2021-06-08,25204.0,Collagen
99,2021-06-09,23362.0,Collagen
100,2021-06-10,22610.0,Collagen
101,2021-06-11,22610.0,Collagen
102,2021-06-12,15897.0,Collagen
103,2021-06-13,15897.0,Collagen
104,2021-06-14,15897.0,Collagen
105,2021-06-15,14964.0,Collagen
106,2021-06-16,14964.0,Collagen
107,2021-06-17,10524.0,Collagen
108,2021-06-18,10524.0,Collagen
109,2021-06-19,10524.0,Collagen
110,2021-06-20,11531.0,Collagen
111,2021-06-21,11270.0,Collagen
112,2021-06-22,12607.0,Collagen
113,2021-06-23,12607.0,Collagen
114,2021-06-24,12607.0,Collagen
115,2021-06-25,19290.0,Collagen
116,2021-06-26,19290.0,Collagen
117,2021-06-27,19290.0,Collagen
118,2021-06-28,18755.0,Collagen
119,2021-06-29,18755.0,Collagen
120,2021-06-30,18755.0,Collagen
121,2021-07-01,23866.0,Collagen
122,2021-07-02,23866.0,Collagen
123,2021-07-03,23866.0,Collagen
124,2021-07-04,18572.0,Collagen
125,2021-07-05,18572.0,Collagen
126,2021-07-06,24345.0,Collagen
127,2021-07-07,17280.0,Collagen
128,2021-07-08,17280.0,Collagen
129,2021-07-09,24468.0,Collagen
