,date,value,name_B07N6MW8NX
0,2020-05-24,12319.0,Paints
1,2020-05-25,12319.0,Paints
2,2020-05-26,12319.0,Paints
3,2020-05-27,12319.0,Paints
4,2020-05-28,22095.0,Paints
5,2020-05-29,22095.0,Paints
6,2020-05-30,25280.0,Paints
7,2020-05-31,25280.0,Paints
8,2020-06-01,25280.0,Paints
9,2020-06-02,23706.0,Paints
10,2020-06-03,24732.0,Paints
11,2020-06-04,24732.0,Paints
12,2020-06-05,24732.0,Paints
13,2020-06-06,24732.0,Paints
14,2020-06-07,27302.0,Paints
15,2020-06-08,27302.0,Paints
16,2020-06-09,27302.0,Paints
17,2020-06-10,27302.0,Paints
18,2020-06-11,27302.0,Paints
19,2020-06-12,27302.0,Paints
20,2020-06-13,27302.0,Paints
21,2020-06-14,27302.0,Paints
22,2020-06-15,36196.0,Paints
23,2020-06-16,36196.0,Paints
24,2020-06-17,36196.0,Paints
25,2020-06-18,36196.0,Paints
26,2020-06-19,36196.0,Paints
27,2020-06-20,36196.0,Paints
28,2020-06-21,36196.0,Paints
29,2020-06-22,2880.0,Paints
30,2020-06-23,3809.0,Paints
31,2020-06-24,5008.0,Paints
32,2020-06-25,5008.0,Paints
33,2020-06-26,5008.0,Paints
34,2020-06-27,5008.0,Paints
35,2020-06-28,5008.0,Paints
36,2020-06-29,1924.0,Paints
37,2020-06-30,1794.0,Paints
38,2020-07-01,1975.0,Paints
39,2020-07-02,1976.0,Paints
40,2020-07-03,2422.0,Paints
41,2020-07-04,2422.0,Paints
42,2020-07-05,2422.0,Paints
43,2020-07-06,1803.0,Paints
44,2020-07-07,1749.0,Paints
45,2020-07-08,2002.0,Paints
46,2020-07-09,2668.0,Paints
47,2020-07-10,1902.0,Paints
48,2020-07-11,2015.0,Paints
49,2020-07-12,2293.0,Paints
50,2020-07-13,1860.0,Paints
51,2020-07-14,1860.0,Paints
52,2020-07-15,1892.0,Paints
53,2020-07-16,1892.0,Paints
54,2020-07-17,1892.0,Paints
55,2020-07-18,1892.0,Paints
56,2020-07-19,2229.0,Paints
57,2020-07-20,2018.0,Paints
58,2020-07-21,2209.0,Paints
59,2020-07-22,2222.0,Paints
60,2020-07-23,2222.0,Paints
61,2020-07-24,2222.0,Paints
62,2020-07-25,1713.0,Paints
63,2020-07-26,1624.0,Paints
64,2020-07-27,1856.0,Paints
65,2020-07-28,1856.0,Paints
66,2020-07-29,1902.0,Paints
67,2020-07-30,2209.0,Paints
68,2020-07-31,2209.0,Paints
69,2020-08-01,2023.0,Paints
70,2020-08-02,2023.0,Paints
71,2020-08-03,2023.0,Paints
72,2020-08-04,2023.0,Paints
73,2020-08-05,2936.0,Paints
74,2020-08-06,2943.0,Paints
75,2020-08-07,2943.0,Paints
76,2020-08-08,2953.0,Paints
77,2020-08-09,2953.0,Paints
78,2020-08-10,2953.0,Paints
79,2020-08-11,3952.0,Paints
80,2020-08-12,3952.0,Paints
81,2020-08-13,4874.0,Paints
82,2020-08-14,4874.0,Paints
83,2020-08-15,4874.0,Paints
84,2020-08-16,6230.0,Paints
85,2020-08-17,6647.0,Paints
86,2020-08-18,6647.0,Paints
87,2020-08-19,6647.0,Paints
88,2020-08-20,6647.0,Paints
89,2020-08-21,6647.0,Paints
90,2020-08-22,3280.0,Paints
91,2020-08-23,3431.0,Paints
92,2020-08-24,4931.0,Paints
93,2020-08-25,4931.0,Paints
94,2020-08-26,5534.0,Paints
95,2020-08-27,5534.0,Paints
96,2020-08-28,5534.0,Paints
97,2020-08-29,5534.0,Paints
98,2020-08-30,2737.0,Paints
99,2020-08-31,2975.0,Paints
100,2020-09-01,2975.0,Paints
101,2020-09-02,1760.0,Paints
102,2020-09-03,2161.0,Paints
103,2020-09-04,2161.0,Paints
104,2020-09-05,2161.0,Paints
105,2020-09-06,2297.0,Paints
106,2020-09-07,2297.0,Paints
107,2020-09-08,2448.0,Paints
108,2020-09-09,1767.0,Paints
109,2020-09-10,1752.0,Paints
110,2020-09-11,1752.0,Paints
111,2020-09-12,1752.0,Paints
112,2020-09-13,1411.0,Paints
113,2020-09-14,1426.0,Paints
114,2020-09-15,1747.0,Paints
115,2020-09-16,3499.0,Paints
116,2020-09-17,3499.0,Paints
