,date,value,name_B08238TVHK
0,2019-12-05,34613.0,Closet Systems
1,2019-12-06,34528.0,Closet Systems
2,2019-12-07,33257.0,Closet Systems
3,2019-12-08,31636.0,Closet Systems
4,2019-12-09,29774.0,Closet Systems
5,2019-12-10,30277.0,Closet Systems
6,2019-12-11,44105.0,Closet Systems
7,2019-12-12,44105.0,Closet Systems
8,2019-12-13,43910.0,Closet Systems
9,2019-12-14,43910.0,Closet Systems
10,2019-12-15,43910.0,Closet Systems
11,2019-12-16,26872.0,Closet Systems
12,2019-12-17,26872.0,Closet Systems
13,2019-12-18,26872.0,Closet Systems
14,2019-12-19,26872.0,Closet Systems
15,2019-12-20,39182.0,Closet Systems
16,2019-12-21,42008.0,Closet Systems
17,2019-12-22,42008.0,Closet Systems
18,2019-12-23,35731.0,Closet Systems
19,2019-12-24,32535.0,Closet Systems
20,2019-12-25,32535.0,Closet Systems
21,2019-12-26,28050.0,Closet Systems
22,2019-12-27,28050.0,Closet Systems
23,2019-12-28,28050.0,Closet Systems
24,2019-12-29,14924.0,Closet Systems
25,2019-12-30,14924.0,Closet Systems
26,2019-12-31,14924.0,Closet Systems
27,2020-01-01,14924.0,Closet Systems
28,2020-01-02,16017.0,Closet Systems
29,2020-01-03,16017.0,Closet Systems
30,2020-01-04,16017.0,Closet Systems
31,2020-01-05,12756.0,Closet Systems
32,2020-01-06,12756.0,Closet Systems
33,2020-01-07,12756.0,Closet Systems
34,2020-01-08,12932.0,Closet Systems
35,2020-01-09,12932.0,Closet Systems
36,2020-01-10,12932.0,Closet Systems
37,2020-01-11,12932.0,Closet Systems
38,2020-01-12,15298.0,Closet Systems
39,2020-01-13,15298.0,Closet Systems
40,2020-01-14,15298.0,Closet Systems
41,2020-01-15,15298.0,Closet Systems
42,2020-01-16,15298.0,Closet Systems
43,2020-01-17,21079.0,Closet Systems
44,2020-01-18,21079.0,Closet Systems
45,2020-01-19,21079.0,Closet Systems
46,2020-01-20,21079.0,Closet Systems
47,2020-01-21,21079.0,Closet Systems
48,2020-01-22,21079.0,Closet Systems
49,2020-01-23,21079.0,Closet Systems
50,2020-01-24,21079.0,Closet Systems
51,2020-01-25,21079.0,Closet Systems
52,2020-01-26,21079.0,Closet Systems
53,2020-01-27,12439.0,Closet Systems
54,2020-01-28,12439.0,Closet Systems
55,2020-01-29,12439.0,Closet Systems
56,2020-01-30,12439.0,Closet Systems
57,2020-01-31,12439.0,Closet Systems
58,2020-02-01,12439.0,Closet Systems
59,2020-02-02,19008.0,Closet Systems
60,2020-02-03,19008.0,Closet Systems
61,2020-02-04,15415.0,Closet Systems
62,2020-02-05,15415.0,Closet Systems
63,2020-02-06,15415.0,Closet Systems
64,2020-02-07,15415.0,Closet Systems
65,2020-02-08,15415.0,Closet Systems
66,2020-02-09,15415.0,Closet Systems
67,2020-02-10,15415.0,Closet Systems
68,2020-02-11,21562.0,Closet Systems
69,2020-02-12,21562.0,Closet Systems
70,2020-02-13,21562.0,Closet Systems
71,2020-02-14,19398.0,Closet Systems
72,2020-02-15,19398.0,Closet Systems
73,2020-02-16,19398.0,Closet Systems
74,2020-02-17,15130.0,Closet Systems
75,2020-02-18,15130.0,Closet Systems
76,2020-02-19,15130.0,Closet Systems
77,2020-02-20,15130.0,Closet Systems
78,2020-02-21,15130.0,Closet Systems
79,2020-02-22,15130.0,Closet Systems
80,2020-02-23,15130.0,Closet Systems
81,2020-02-24,15130.0,Closet Systems
82,2020-02-25,5337.0,Closet Systems
83,2020-02-26,5337.0,Closet Systems
84,2020-02-27,5337.0,Closet Systems
85,2020-02-28,5337.0,Closet Systems
86,2020-02-29,5337.0,Closet Systems
87,2020-03-01,15481.0,Closet Systems
88,2020-03-02,15481.0,Closet Systems
89,2020-03-03,15481.0,Closet Systems
90,2020-03-04,15481.0,Closet Systems
91,2020-03-05,15481.0,Closet Systems
92,2020-03-06,15481.0,Closet Systems
93,2020-03-07,15481.0,Closet Systems
94,2020-03-08,15481.0,Closet Systems
95,2020-03-09,13549.0,Closet Systems
96,2020-03-10,16099.0,Closet Systems
97,2020-03-11,16099.0,Closet Systems
98,2020-03-12,16099.0,Closet Systems
99,2020-03-13,16099.0,Closet Systems
100,2020-03-14,16099.0,Closet Systems
101,2020-03-15,16099.0,Closet Systems
102,2020-03-16,20827.0,Closet Systems
103,2020-03-17,20827.0,Closet Systems
104,2020-03-18,20827.0,Closet Systems
105,2020-03-19,18670.0,Closet Systems
106,2020-03-20,18670.0,Closet Systems
107,2020-03-21,18670.0,Closet Systems
108,2020-03-22,18670.0,Closet Systems
109,2020-03-23,18670.0,Closet Systems
110,2020-03-24,13625.0,Closet Systems
111,2020-03-25,13625.0,Closet Systems
112,2020-03-26,268501.0,Closet Systems
113,2020-03-27,1323596.0,Closet Systems
114,2020-03-28,1323596.0,Closet Systems
115,2020-03-29,1323596.0,Closet Systems
116,2020-03-30,1323596.0,Closet Systems
117,2020-03-31,15767.0,Closet Systems
118,2020-04-01,15767.0,Closet Systems
119,2020-04-02,15767.0,Closet Systems
120,2020-04-03,13965.0,Closet Systems
121,2020-04-04,13965.0,Closet Systems
122,2020-04-05,13965.0,Closet Systems
123,2020-04-06,15188.0,Closet Systems
124,2020-04-07,15188.0,Closet Systems
125,2020-04-08,15188.0,Closet Systems
126,2020-04-09,15188.0,Closet Systems
127,2020-04-10,15188.0,Closet Systems
128,2020-04-11,15188.0,Closet Systems
129,2020-04-12,16753.0,Closet Systems
130,2020-04-13,16753.0,Closet Systems
131,2020-04-14,16753.0,Closet Systems
132,2020-04-15,16753.0,Closet Systems
133,2020-04-16,16753.0,Closet Systems
134,2020-04-17,16753.0,Closet Systems
135,2020-04-18,16753.0,Closet Systems
136,2020-04-19,16753.0,Closet Systems
137,2020-04-20,15367.0,Closet Systems
138,2020-04-21,15367.0,Closet Systems
139,2020-04-22,15367.0,Closet Systems
140,2020-04-23,15367.0,Closet Systems
141,2020-04-24,15367.0,Closet Systems
142,2020-04-25,15367.0,Closet Systems
143,2020-04-26,22499.0,Closet Systems
144,2020-04-27,22499.0,Closet Systems
145,2020-04-28,22499.0,Closet Systems
146,2020-04-29,22499.0,Closet Systems
147,2020-04-30,22499.0,Closet Systems
148,2020-05-01,22499.0,Closet Systems
149,2020-05-02,22499.0,Closet Systems
150,2020-05-03,32478.0,Closet Systems
151,2020-05-04,32478.0,Closet Systems
152,2020-05-05,32478.0,Closet Systems
153,2020-05-06,32478.0,Closet Systems
154,2020-05-07,32478.0,Closet Systems
155,2020-05-08,21876.0,Closet Systems
156,2020-05-09,23421.0,Closet Systems
157,2020-05-10,23421.0,Closet Systems
158,2020-05-11,23421.0,Closet Systems
159,2020-05-12,23421.0,Closet Systems
160,2020-05-13,23421.0,Closet Systems
161,2020-05-14,23421.0,Closet Systems
162,2020-05-15,23421.0,Closet Systems
163,2020-05-16,23421.0,Closet Systems
164,2020-05-17,22218.0,Closet Systems
165,2020-05-18,22218.0,Closet Systems
166,2020-05-19,13717.0,Closet Systems
167,2020-05-20,13717.0,Closet Systems
168,2020-05-21,13717.0,Closet Systems
169,2020-05-22,13717.0,Closet Systems
170,2020-05-23,13717.0,Closet Systems
171,2020-05-24,13717.0,Closet Systems
172,2020-05-25,14264.0,Closet Systems
173,2020-05-26,14264.0,Closet Systems
174,2020-05-27,14264.0,Closet Systems
175,2020-05-28,19371.0,Closet Systems
176,2020-05-29,19371.0,Closet Systems
177,2020-05-30,19371.0,Closet Systems
178,2020-05-31,19371.0,Closet Systems
179,2020-06-01,19371.0,Closet Systems
180,2020-06-02,19371.0,Closet Systems
181,2020-06-03,17473.0,Closet Systems
182,2020-06-04,17473.0,Closet Systems
183,2020-06-05,17473.0,Closet Systems
184,2020-06-06,17473.0,Closet Systems
185,2020-06-07,17473.0,Closet Systems
186,2020-06-08,23461.0,Closet Systems
187,2020-06-09,23461.0,Closet Systems
188,2020-06-10,23461.0,Closet Systems
189,2020-06-11,23461.0,Closet Systems
190,2020-06-12,25112.0,Closet Systems
191,2020-06-13,25112.0,Closet Systems
192,2020-06-14,25112.0,Closet Systems
193,2020-06-15,25112.0,Closet Systems
194,2020-06-16,21236.0,Closet Systems
195,2020-06-17,23234.0,Closet Systems
196,2020-06-18,23234.0,Closet Systems
197,2020-06-19,23234.0,Closet Systems
198,2020-06-20,23234.0,Closet Systems
199,2020-06-21,21070.0,Closet Systems
200,2020-06-22,19377.0,Closet Systems
201,2020-06-23,21646.0,Closet Systems
202,2020-06-24,21646.0,Closet Systems
203,2020-06-25,32316.0,Closet Systems
204,2020-06-26,23313.0,Closet Systems
205,2020-06-27,23313.0,Closet Systems
206,2020-06-28,23313.0,Closet Systems
207,2020-06-29,23313.0,Closet Systems
208,2020-06-30,63530.0,Closet Systems
209,2020-07-01,53727.0,Closet Systems
210,2020-07-02,53727.0,Closet Systems
211,2020-07-03,53727.0,Closet Systems
212,2020-07-04,53727.0,Closet Systems
