,date,value,name_B08KZCXH3S
0,2020-10-14,11343.0,Free Standing Shoe Racks
1,2020-10-15,11343.0,Free Standing Shoe Racks
2,2020-10-16,11343.0,Free Standing Shoe Racks
3,2020-10-17,11343.0,Free Standing Shoe Racks
4,2020-10-18,11343.0,Free Standing Shoe Racks
5,2020-10-19,11343.0,Free Standing Shoe Racks
6,2020-10-20,11343.0,Free Standing Shoe Racks
7,2020-10-21,11343.0,Free Standing Shoe Racks
8,2020-10-22,11343.0,Free Standing Shoe Racks
9,2020-10-23,11343.0,Free Standing Shoe Racks
10,2020-10-24,11343.0,Free Standing Shoe Racks
11,2020-10-25,11343.0,Free Standing Shoe Racks
12,2020-10-26,11343.0,Free Standing Shoe Racks
13,2020-10-27,11343.0,Free Standing Shoe Racks
14,2020-10-28,11343.0,Free Standing Shoe Racks
15,2020-10-29,11343.0,Free Standing Shoe Racks
16,2020-10-30,11343.0,Free Standing Shoe Racks
17,2020-10-31,11343.0,Free Standing Shoe Racks
18,2020-11-01,11343.0,Free Standing Shoe Racks
19,2020-11-02,11343.0,Free Standing Shoe Racks
20,2020-11-03,11343.0,Free Standing Shoe Racks
21,2020-11-04,11343.0,Free Standing Shoe Racks
22,2020-11-05,11343.0,Free Standing Shoe Racks
23,2020-11-06,11343.0,Free Standing Shoe Racks
24,2020-11-07,11343.0,Free Standing Shoe Racks
25,2020-11-08,11343.0,Free Standing Shoe Racks
26,2020-11-09,11343.0,Free Standing Shoe Racks
27,2020-11-10,11343.0,Free Standing Shoe Racks
28,2020-11-11,11343.0,Free Standing Shoe Racks
29,2020-11-12,11343.0,Free Standing Shoe Racks
30,2020-11-13,11343.0,Free Standing Shoe Racks
31,2020-11-14,11343.0,Free Standing Shoe Racks
32,2020-11-15,11343.0,Free Standing Shoe Racks
33,2020-11-16,11343.0,Free Standing Shoe Racks
34,2020-11-17,11343.0,Free Standing Shoe Racks
35,2020-11-18,18284.0,Free Standing Shoe Racks
36,2020-11-19,18284.0,Free Standing Shoe Racks
37,2020-11-20,18636.0,Free Standing Shoe Racks
38,2020-11-21,18636.0,Free Standing Shoe Racks
39,2020-11-22,18636.0,Free Standing Shoe Racks
40,2020-11-23,18636.0,Free Standing Shoe Racks
41,2020-11-24,18636.0,Free Standing Shoe Racks
42,2020-11-25,18636.0,Free Standing Shoe Racks
43,2020-11-26,28588.0,Free Standing Shoe Racks
44,2020-11-27,28588.0,Free Standing Shoe Racks
45,2020-11-28,28588.0,Free Standing Shoe Racks
46,2020-11-29,28588.0,Free Standing Shoe Racks
47,2020-11-30,28588.0,Free Standing Shoe Racks
48,2020-12-01,31039.0,Free Standing Shoe Racks
49,2020-12-02,31039.0,Free Standing Shoe Racks
50,2020-12-03,31039.0,Free Standing Shoe Racks
51,2020-12-04,31039.0,Free Standing Shoe Racks
52,2020-12-05,31039.0,Free Standing Shoe Racks
53,2020-12-06,24769.0,Free Standing Shoe Racks
54,2020-12-07,24769.0,Free Standing Shoe Racks
55,2020-12-08,24769.0,Free Standing Shoe Racks
56,2020-12-09,28771.0,Free Standing Shoe Racks
57,2020-12-10,28771.0,Free Standing Shoe Racks
58,2020-12-11,28771.0,Free Standing Shoe Racks
59,2020-12-12,28771.0,Free Standing Shoe Racks
60,2020-12-13,28771.0,Free Standing Shoe Racks
61,2020-12-14,31324.0,Free Standing Shoe Racks
62,2020-12-15,31324.0,Free Standing Shoe Racks
63,2020-12-16,31324.0,Free Standing Shoe Racks
64,2020-12-17,31324.0,Free Standing Shoe Racks
65,2020-12-18,31324.0,Free Standing Shoe Racks
66,2020-12-19,31324.0,Free Standing Shoe Racks
67,2020-12-20,21870.0,Free Standing Shoe Racks
68,2020-12-21,20767.0,Free Standing Shoe Racks
69,2020-12-22,20767.0,Free Standing Shoe Racks
70,2020-12-23,20767.0,Free Standing Shoe Racks
71,2020-12-24,20767.0,Free Standing Shoe Racks
72,2020-12-25,20767.0,Free Standing Shoe Racks
73,2020-12-26,13323.0,Free Standing Shoe Racks
74,2020-12-27,13323.0,Free Standing Shoe Racks
75,2020-12-28,13323.0,Free Standing Shoe Racks
76,2020-12-29,13323.0,Free Standing Shoe Racks
77,2020-12-30,13323.0,Free Standing Shoe Racks
78,2020-12-31,13323.0,Free Standing Shoe Racks
79,2021-01-01,16948.0,Free Standing Shoe Racks
80,2021-01-02,16948.0,Free Standing Shoe Racks
81,2021-01-03,16948.0,Free Standing Shoe Racks
82,2021-01-04,13266.0,Free Standing Shoe Racks
83,2021-01-05,13266.0,Free Standing Shoe Racks
84,2021-01-06,13266.0,Free Standing Shoe Racks
85,2021-01-07,11734.0,Free Standing Shoe Racks
86,2021-01-08,11734.0,Free Standing Shoe Racks
87,2021-01-09,11734.0,Free Standing Shoe Racks
