,date,value,name_B07Y86JVNN
0,2019-10-22,815072.0,Panels
1,2019-10-23,962481.0,Panels
2,2019-10-24,1059514.0,Panels
3,2019-10-25,344802.0,Panels
4,2019-10-26,481949.0,Panels
5,2019-10-27,615934.0,Panels
6,2019-10-28,385488.0,Panels
7,2019-10-29,580729.0,Panels
8,2019-10-30,625804.0,Panels
9,2019-10-31,708865.0,Panels
10,2019-11-01,544104.0,Panels
11,2019-11-02,374603.0,Panels
12,2019-11-03,127368.0,Panels
13,2019-11-04,185325.0,Panels
14,2019-11-05,246614.0,Panels
15,2019-11-06,139406.0,Panels
16,2019-11-07,170634.0,Panels
17,2019-11-08,140244.0,Panels
18,2019-11-09,107293.0,Panels
19,2019-11-10,119800.0,Panels
20,2019-11-11,96524.0,Panels
21,2019-11-12,152299.0,Panels
22,2019-11-13,120219.0,Panels
23,2019-11-14,155213.0,Panels
24,2019-11-15,172911.0,Panels
25,2019-11-16,124344.0,Panels
26,2019-11-17,142874.0,Panels
27,2019-11-18,91580.0,Panels
28,2019-11-19,91580.0,Panels
29,2019-11-20,91580.0,Panels
30,2019-11-21,91580.0,Panels
31,2019-11-22,61230.0,Panels
32,2019-11-23,61230.0,Panels
33,2019-11-24,61230.0,Panels
34,2019-11-25,62160.0,Panels
35,2019-11-26,62160.0,Panels
36,2019-11-27,62160.0,Panels
37,2019-11-28,62160.0,Panels
38,2019-11-29,62160.0,Panels
39,2019-11-30,67645.0,Panels
40,2019-12-01,67645.0,Panels
41,2019-12-02,67645.0,Panels
42,2019-12-03,67645.0,Panels
43,2019-12-04,67645.0,Panels
44,2019-12-05,81200.0,Panels
45,2019-12-06,106503.0,Panels
46,2019-12-07,106503.0,Panels
47,2019-12-08,106503.0,Panels
48,2019-12-09,106503.0,Panels
49,2019-12-10,106503.0,Panels
50,2019-12-11,84918.0,Panels
51,2019-12-12,84918.0,Panels
52,2019-12-13,84918.0,Panels
53,2019-12-14,84918.0,Panels
54,2019-12-15,77169.0,Panels
55,2019-12-16,80149.0,Panels
56,2019-12-17,80149.0,Panels
57,2019-12-18,80149.0,Panels
58,2019-12-19,80149.0,Panels
59,2019-12-20,80149.0,Panels
60,2019-12-21,93972.0,Panels
61,2019-12-22,93006.0,Panels
62,2019-12-23,93006.0,Panels
63,2019-12-24,93006.0,Panels
64,2019-12-25,93006.0,Panels
65,2019-12-26,93006.0,Panels
66,2019-12-27,93006.0,Panels
67,2019-12-28,93006.0,Panels
68,2019-12-29,93006.0,Panels
69,2019-12-30,93006.0,Panels
70,2019-12-31,62780.0,Panels
71,2020-01-01,62780.0,Panels
72,2020-01-02,62780.0,Panels
73,2020-01-03,56475.0,Panels
74,2020-01-04,56475.0,Panels
75,2020-01-05,56475.0,Panels
76,2020-01-06,56475.0,Panels
77,2020-01-07,56475.0,Panels
78,2020-01-08,56475.0,Panels
79,2020-01-09,112465.0,Panels
80,2020-01-10,112465.0,Panels
81,2020-01-11,112465.0,Panels
82,2020-01-12,112465.0,Panels
83,2020-01-13,112465.0,Panels
84,2020-01-14,112465.0,Panels
85,2020-01-15,83216.0,Panels
86,2020-01-16,83216.0,Panels
87,2020-01-17,83216.0,Panels
88,2020-01-18,83216.0,Panels
89,2020-01-19,42905.0,Panels
90,2020-01-20,42905.0,Panels
91,2020-01-21,42905.0,Panels
92,2020-01-22,42905.0,Panels
93,2020-01-23,42905.0,Panels
94,2020-01-24,42905.0,Panels
95,2020-01-25,64047.0,Panels
96,2020-01-26,64047.0,Panels
97,2020-01-27,64047.0,Panels
98,2020-01-28,64047.0,Panels
99,2020-01-29,64047.0,Panels
100,2020-01-30,64047.0,Panels
101,2020-01-31,64047.0,Panels
102,2020-02-01,83955.0,Panels
