,date,value,name_B08P4FT72L
0,2020-12-01,8899.0,Sponges
1,2020-12-02,8463.0,Sponges
2,2020-12-03,8463.0,Sponges
3,2020-12-04,8463.0,Sponges
4,2020-12-05,8463.0,Sponges
5,2020-12-06,7479.0,Sponges
6,2020-12-07,7479.0,Sponges
7,2020-12-08,7479.0,Sponges
8,2020-12-09,7660.0,Sponges
9,2020-12-10,7660.0,Sponges
10,2020-12-11,7660.0,Sponges
11,2020-12-12,7660.0,Sponges
12,2020-12-13,7660.0,Sponges
13,2020-12-14,7077.0,Sponges
14,2020-12-15,7077.0,Sponges
15,2020-12-16,7077.0,Sponges
16,2020-12-17,11243.0,Sponges
17,2020-12-18,12270.0,Sponges
18,2020-12-19,12270.0,Sponges
19,2020-12-20,10194.0,Sponges
20,2020-12-21,10194.0,Sponges
21,2020-12-22,10194.0,Sponges
22,2020-12-23,10194.0,Sponges
23,2020-12-24,10754.0,Sponges
24,2020-12-25,10754.0,Sponges
25,2020-12-26,10754.0,Sponges
26,2020-12-27,8371.0,Sponges
27,2020-12-28,8335.0,Sponges
28,2020-12-29,8335.0,Sponges
29,2020-12-30,8335.0,Sponges
30,2020-12-31,8335.0,Sponges
31,2021-01-01,8335.0,Sponges
32,2021-01-02,8335.0,Sponges
33,2021-01-03,8335.0,Sponges
34,2021-01-04,7472.0,Sponges
35,2021-01-05,7472.0,Sponges
36,2021-01-06,7472.0,Sponges
37,2021-01-07,8999.0,Sponges
38,2021-01-08,8999.0,Sponges
39,2021-01-09,8999.0,Sponges
40,2021-01-10,8999.0,Sponges
41,2021-01-11,6886.0,Sponges
42,2021-01-12,6886.0,Sponges
43,2021-01-13,6886.0,Sponges
44,2021-01-14,6411.0,Sponges
45,2021-01-15,6411.0,Sponges
46,2021-01-16,6751.0,Sponges
47,2021-01-17,6751.0,Sponges
48,2021-01-18,6751.0,Sponges
49,2021-01-19,6751.0,Sponges
50,2021-01-20,7782.0,Sponges
51,2021-01-21,7782.0,Sponges
52,2021-01-22,7782.0,Sponges
53,2021-01-23,7691.0,Sponges
54,2021-01-24,6552.0,Sponges
55,2021-01-25,6552.0,Sponges
56,2021-01-26,6552.0,Sponges
57,2021-01-27,9023.0,Sponges
58,2021-01-28,9023.0,Sponges
59,2021-01-29,9023.0,Sponges
60,2021-01-30,9023.0,Sponges
61,2021-01-31,9023.0,Sponges
62,2021-02-01,7883.0,Sponges
63,2021-02-02,7883.0,Sponges
64,2021-02-03,7883.0,Sponges
65,2021-02-04,6936.0,Sponges
66,2021-02-05,6936.0,Sponges
67,2021-02-06,6936.0,Sponges
68,2021-02-07,6936.0,Sponges
69,2021-02-08,6936.0,Sponges
70,2021-02-09,8887.0,Sponges
71,2021-02-10,8887.0,Sponges
72,2021-02-11,8887.0,Sponges
73,2021-02-12,8887.0,Sponges
74,2021-02-13,8731.0,Sponges
75,2021-02-14,8731.0,Sponges
76,2021-02-15,8731.0,Sponges
77,2021-02-16,7823.0,Sponges
78,2021-02-17,9422.0,Sponges
79,2021-02-18,9422.0,Sponges
80,2021-02-19,9422.0,Sponges
81,2021-02-20,10182.0,Sponges
82,2021-02-21,10182.0,Sponges
83,2021-02-22,10182.0,Sponges
84,2021-02-23,10182.0,Sponges
85,2021-02-24,10182.0,Sponges
86,2021-02-25,8313.0,Sponges
87,2021-02-26,8313.0,Sponges
88,2021-02-27,8313.0,Sponges
89,2021-02-28,8313.0,Sponges
90,2021-03-01,8313.0,Sponges
91,2021-03-02,8313.0,Sponges
92,2021-03-03,8266.0,Sponges
93,2021-03-04,8850.0,Sponges
94,2021-03-05,8850.0,Sponges
95,2021-03-06,8850.0,Sponges
96,2021-03-07,8850.0,Sponges
97,2021-03-08,7678.0,Sponges
98,2021-03-09,7678.0,Sponges
99,2021-03-10,9432.0,Sponges
100,2021-03-11,7840.0,Sponges
101,2021-03-12,8246.0,Sponges
102,2021-03-13,8246.0,Sponges
103,2021-03-14,8246.0,Sponges
104,2021-03-15,8246.0,Sponges
105,2021-03-16,7216.0,Sponges
106,2021-03-17,7216.0,Sponges
107,2021-03-18,7436.0,Sponges
