,date,value,name_B074MVHZKY
0,2020-05-28,8749.0,Recovery Collars & Cones
1,2020-05-29,8749.0,Recovery Collars & Cones
2,2020-05-30,8749.0,Recovery Collars & Cones
3,2020-05-31,10838.0,Recovery Collars & Cones
4,2020-06-01,10838.0,Recovery Collars & Cones
5,2020-06-02,10838.0,Recovery Collars & Cones
6,2020-06-03,14186.0,Recovery Collars & Cones
7,2020-06-04,14186.0,Recovery Collars & Cones
8,2020-06-05,14186.0,Recovery Collars & Cones
9,2020-06-06,14186.0,Recovery Collars & Cones
10,2020-06-07,14186.0,Recovery Collars & Cones
11,2020-06-08,14186.0,Recovery Collars & Cones
12,2020-06-09,14186.0,Recovery Collars & Cones
13,2020-06-10,10763.0,Recovery Collars & Cones
14,2020-06-11,10763.0,Recovery Collars & Cones
15,2020-06-12,10763.0,Recovery Collars & Cones
16,2020-06-13,10763.0,Recovery Collars & Cones
17,2020-06-14,10763.0,Recovery Collars & Cones
18,2020-06-15,10763.0,Recovery Collars & Cones
19,2020-06-16,5562.0,Recovery Collars & Cones
20,2020-06-17,7205.0,Recovery Collars & Cones
21,2020-06-18,7205.0,Recovery Collars & Cones
22,2020-06-19,7622.0,Recovery Collars & Cones
23,2020-06-20,7622.0,Recovery Collars & Cones
24,2020-06-21,7622.0,Recovery Collars & Cones
25,2020-06-22,7622.0,Recovery Collars & Cones
26,2020-06-23,6013.0,Recovery Collars & Cones
27,2020-06-24,6013.0,Recovery Collars & Cones
28,2020-06-25,4986.0,Recovery Collars & Cones
29,2020-06-26,4986.0,Recovery Collars & Cones
30,2020-06-27,4986.0,Recovery Collars & Cones
31,2020-06-28,5404.0,Recovery Collars & Cones
32,2020-06-29,4901.0,Recovery Collars & Cones
33,2020-06-30,4901.0,Recovery Collars & Cones
34,2020-07-01,4901.0,Recovery Collars & Cones
35,2020-07-02,4415.0,Recovery Collars & Cones
36,2020-07-03,4415.0,Recovery Collars & Cones
37,2020-07-04,4415.0,Recovery Collars & Cones
38,2020-07-05,4415.0,Recovery Collars & Cones
39,2020-07-06,6352.0,Recovery Collars & Cones
40,2020-07-07,5555.0,Recovery Collars & Cones
41,2020-07-08,4792.0,Recovery Collars & Cones
42,2020-07-09,4841.0,Recovery Collars & Cones
43,2020-07-10,6439.0,Recovery Collars & Cones
44,2020-07-11,6439.0,Recovery Collars & Cones
