,date,value,name_B08VF9GCR7
0,2021-02-08,16292.0,Business Card Holders
1,2021-02-09,16292.0,Business Card Holders
2,2021-02-10,16292.0,Business Card Holders
3,2021-02-11,16555.0,Business Card Holders
4,2021-02-12,16555.0,Business Card Holders
5,2021-02-13,16555.0,Business Card Holders
6,2021-02-14,16555.0,Business Card Holders
7,2021-02-15,16555.0,Business Card Holders
8,2021-02-16,16114.0,Business Card Holders
9,2021-02-17,16114.0,Business Card Holders
10,2021-02-18,16114.0,Business Card Holders
11,2021-02-19,17343.0,Business Card Holders
12,2021-02-20,17343.0,Business Card Holders
13,2021-02-21,17343.0,Business Card Holders
14,2021-02-22,17343.0,Business Card Holders
15,2021-02-23,21350.0,Business Card Holders
16,2021-02-24,21350.0,Business Card Holders
17,2021-02-25,21350.0,Business Card Holders
18,2021-02-26,21350.0,Business Card Holders
19,2021-02-27,21350.0,Business Card Holders
20,2021-02-28,21350.0,Business Card Holders
21,2021-03-01,22491.0,Business Card Holders
22,2021-03-02,22491.0,Business Card Holders
23,2021-03-03,22491.0,Business Card Holders
24,2021-03-04,22491.0,Business Card Holders
25,2021-03-05,22491.0,Business Card Holders
26,2021-03-06,14033.0,Business Card Holders
27,2021-03-07,14033.0,Business Card Holders
28,2021-03-08,14033.0,Business Card Holders
29,2021-03-09,23527.0,Business Card Holders
30,2021-03-10,23527.0,Business Card Holders
31,2021-03-11,23527.0,Business Card Holders
32,2021-03-12,23527.0,Business Card Holders
33,2021-03-13,26362.0,Business Card Holders
34,2021-03-14,26362.0,Business Card Holders
35,2021-03-15,26362.0,Business Card Holders
36,2021-03-16,26362.0,Business Card Holders
37,2021-03-17,26362.0,Business Card Holders
38,2021-03-18,25088.0,Business Card Holders
39,2021-03-19,25088.0,Business Card Holders
40,2021-03-20,25088.0,Business Card Holders
41,2021-03-21,24968.0,Business Card Holders
42,2021-03-22,24968.0,Business Card Holders
43,2021-03-23,24968.0,Business Card Holders
44,2021-03-24,24968.0,Business Card Holders
45,2021-03-25,28482.0,Business Card Holders
46,2021-03-26,28482.0,Business Card Holders
47,2021-03-27,25166.0,Business Card Holders
48,2021-03-28,25166.0,Business Card Holders
49,2021-03-29,25166.0,Business Card Holders
50,2021-03-30,21196.0,Business Card Holders
51,2021-03-31,21196.0,Business Card Holders
52,2021-04-01,21196.0,Business Card Holders
53,2021-04-02,20996.0,Business Card Holders
54,2021-04-03,20996.0,Business Card Holders
55,2021-04-04,20996.0,Business Card Holders
56,2021-04-05,24921.0,Business Card Holders
57,2021-04-06,24921.0,Business Card Holders
58,2021-04-07,24921.0,Business Card Holders
59,2021-04-08,18806.0,Business Card Holders
60,2021-04-09,18806.0,Business Card Holders
61,2021-04-10,18806.0,Business Card Holders
62,2021-04-11,18806.0,Business Card Holders
63,2021-04-12,18806.0,Business Card Holders
64,2021-04-13,18806.0,Business Card Holders
65,2021-04-14,16009.0,Business Card Holders
66,2021-04-15,16009.0,Business Card Holders
67,2021-04-16,16009.0,Business Card Holders
68,2021-04-17,13717.0,Business Card Holders
69,2021-04-18,13717.0,Business Card Holders
70,2021-04-19,13717.0,Business Card Holders
71,2021-04-20,26189.0,Business Card Holders
72,2021-04-21,26189.0,Business Card Holders
73,2021-04-22,16889.0,Business Card Holders
74,2021-04-23,16889.0,Business Card Holders
75,2021-04-24,16889.0,Business Card Holders
76,2021-04-25,22237.0,Business Card Holders
77,2021-04-26,22237.0,Business Card Holders
78,2021-04-27,17194.0,Business Card Holders
79,2021-04-28,17194.0,Business Card Holders
80,2021-04-29,17194.0,Business Card Holders
81,2021-04-30,17194.0,Business Card Holders
82,2021-05-01,17194.0,Business Card Holders
83,2021-05-02,17194.0,Business Card Holders
84,2021-05-03,17339.0,Business Card Holders
85,2021-05-04,16084.0,Business Card Holders
86,2021-05-05,16084.0,Business Card Holders
87,2021-05-06,16084.0,Business Card Holders
88,2021-05-07,13895.0,Business Card Holders
89,2021-05-08,13895.0,Business Card Holders
90,2021-05-09,13895.0,Business Card Holders
91,2021-05-10,13659.0,Business Card Holders
92,2021-05-11,13659.0,Business Card Holders
93,2021-05-12,13659.0,Business Card Holders
94,2021-05-13,13659.0,Business Card Holders
95,2021-05-14,12159.0,Business Card Holders
96,2021-05-15,12159.0,Business Card Holders
97,2021-05-16,12159.0,Business Card Holders
98,2021-05-17,12159.0,Business Card Holders
99,2021-05-18,6710.0,Business Card Holders
100,2021-05-19,6710.0,Business Card Holders
101,2021-05-20,6218.0,Business Card Holders
102,2021-05-21,6218.0,Business Card Holders
103,2021-05-22,7981.0,Business Card Holders
104,2021-05-23,7981.0,Business Card Holders
105,2021-05-24,7981.0,Business Card Holders
106,2021-05-25,8751.0,Business Card Holders
107,2021-05-26,8751.0,Business Card Holders
108,2021-05-27,6845.0,Business Card Holders
109,2021-05-28,6519.0,Business Card Holders
110,2021-05-29,6561.0,Business Card Holders
111,2021-05-30,6561.0,Business Card Holders
112,2021-05-31,6561.0,Business Card Holders
113,2021-06-01,6561.0,Business Card Holders
114,2021-06-02,6561.0,Business Card Holders
115,2021-06-03,7803.0,Business Card Holders
116,2021-06-04,6520.0,Business Card Holders
117,2021-06-05,6520.0,Business Card Holders
118,2021-06-06,6520.0,Business Card Holders
119,2021-06-07,6520.0,Business Card Holders
120,2021-06-08,6211.0,Business Card Holders
121,2021-06-09,6211.0,Business Card Holders
122,2021-06-10,6211.0,Business Card Holders
123,2021-06-11,6554.0,Business Card Holders
124,2021-06-12,6554.0,Business Card Holders
125,2021-06-13,6554.0,Business Card Holders
126,2021-06-14,6554.0,Business Card Holders
127,2021-06-15,5512.0,Business Card Holders
128,2021-06-16,5512.0,Business Card Holders
129,2021-06-17,6528.0,Business Card Holders
130,2021-06-18,6528.0,Business Card Holders
131,2021-06-19,6528.0,Business Card Holders
132,2021-06-20,6844.0,Business Card Holders
133,2021-06-21,6844.0,Business Card Holders
134,2021-06-22,7009.0,Business Card Holders
135,2021-06-23,7009.0,Business Card Holders
136,2021-06-24,4635.0,Business Card Holders
137,2021-06-25,4530.0,Business Card Holders
138,2021-06-26,4009.0,Business Card Holders
139,2021-06-27,4009.0,Business Card Holders
140,2021-06-28,6106.0,Business Card Holders
141,2021-06-29,5589.0,Business Card Holders
142,2021-06-30,5589.0,Business Card Holders
143,2021-07-01,8700.0,Business Card Holders
144,2021-07-02,8700.0,Business Card Holders
145,2021-07-03,8700.0,Business Card Holders
146,2021-07-04,8700.0,Business Card Holders
147,2021-07-05,12366.0,Business Card Holders
148,2021-07-06,12366.0,Business Card Holders
149,2021-07-07,9878.0,Business Card Holders
150,2021-07-08,9878.0,Business Card Holders
151,2021-07-09,9643.0,Business Card Holders
152,2021-07-10,11680.0,Business Card Holders
