,date,value,name_B074P3RP4R
0,2020-05-24,467.0,Weight Loss
1,2020-05-25,537.0,Weight Loss
2,2020-05-26,537.0,Weight Loss
3,2020-05-27,460.0,Weight Loss
4,2020-05-28,460.0,Weight Loss
5,2020-05-29,452.0,Weight Loss
6,2020-05-30,452.0,Weight Loss
7,2020-05-31,452.0,Weight Loss
8,2020-06-01,437.0,Weight Loss
9,2020-06-02,399.0,Weight Loss
10,2020-06-03,441.0,Weight Loss
11,2020-06-04,441.0,Weight Loss
12,2020-06-05,375.0,Weight Loss
13,2020-06-06,375.0,Weight Loss
14,2020-06-07,492.0,Weight Loss
15,2020-06-08,448.0,Weight Loss
16,2020-06-09,439.0,Weight Loss
17,2020-06-10,423.0,Weight Loss
18,2020-06-11,434.0,Weight Loss
19,2020-06-12,500.0,Weight Loss
20,2020-06-13,486.0,Weight Loss
21,2020-06-14,486.0,Weight Loss
22,2020-06-15,477.0,Weight Loss
23,2020-06-16,480.0,Weight Loss
24,2020-06-17,391.0,Weight Loss
25,2020-06-18,443.0,Weight Loss
26,2020-06-19,493.0,Weight Loss
27,2020-06-20,561.0,Weight Loss
28,2020-06-21,550.0,Weight Loss
29,2020-06-22,558.0,Weight Loss
30,2020-06-23,553.0,Weight Loss
31,2020-06-24,569.0,Weight Loss
32,2020-06-25,577.0,Weight Loss
33,2020-06-26,543.0,Weight Loss
34,2020-06-27,543.0,Weight Loss
35,2020-06-28,575.0,Weight Loss
36,2020-06-29,563.0,Weight Loss
37,2020-06-30,569.0,Weight Loss
38,2020-07-01,614.0,Weight Loss
39,2020-07-02,657.0,Weight Loss
40,2020-07-03,701.0,Weight Loss
41,2020-07-04,707.0,Weight Loss
42,2020-07-05,707.0,Weight Loss
43,2020-07-06,729.0,Weight Loss
44,2020-07-07,720.0,Weight Loss
45,2020-07-08,720.0,Weight Loss
46,2020-07-09,623.0,Weight Loss
47,2020-07-10,617.0,Weight Loss
48,2020-07-11,624.0,Weight Loss
49,2020-07-12,674.0,Weight Loss
50,2020-07-13,674.0,Weight Loss
51,2020-07-14,638.0,Weight Loss
52,2020-07-15,638.0,Weight Loss
53,2020-07-16,570.0,Weight Loss
54,2020-07-17,528.0,Weight Loss
55,2020-07-18,507.0,Weight Loss
56,2020-07-19,500.0,Weight Loss
57,2020-07-20,558.0,Weight Loss
58,2020-07-21,598.0,Weight Loss
59,2020-07-22,568.0,Weight Loss
60,2020-07-23,534.0,Weight Loss
61,2020-07-24,534.0,Weight Loss
62,2020-07-25,588.0,Weight Loss
63,2020-07-26,610.0,Weight Loss
64,2020-07-27,539.0,Weight Loss
65,2020-07-28,539.0,Weight Loss
66,2020-07-29,592.0,Weight Loss
67,2020-07-30,480.0,Weight Loss
68,2020-07-31,543.0,Weight Loss
69,2020-08-01,520.0,Weight Loss
70,2020-08-02,483.0,Weight Loss
71,2020-08-03,483.0,Weight Loss
72,2020-08-04,460.0,Weight Loss
73,2020-08-05,485.0,Weight Loss
74,2020-08-06,512.0,Weight Loss
75,2020-08-07,512.0,Weight Loss
76,2020-08-08,512.0,Weight Loss
77,2020-08-09,492.0,Weight Loss
78,2020-08-10,458.0,Weight Loss
79,2020-08-11,489.0,Weight Loss
80,2020-08-12,436.0,Weight Loss
81,2020-08-13,423.0,Weight Loss
82,2020-08-14,423.0,Weight Loss
83,2020-08-15,346.0,Weight Loss
84,2020-08-16,301.0,Weight Loss
85,2020-08-17,231.0,Weight Loss
86,2020-08-18,369.0,Weight Loss
87,2020-08-19,355.0,Weight Loss
88,2020-08-20,387.0,Weight Loss
89,2020-08-21,447.0,Weight Loss
90,2020-08-22,510.0,Weight Loss
91,2020-08-23,447.0,Weight Loss
92,2020-08-24,476.0,Weight Loss
93,2020-08-25,598.0,Weight Loss
94,2020-08-26,616.0,Weight Loss
95,2020-08-27,600.0,Weight Loss
96,2020-08-28,600.0,Weight Loss
97,2020-08-29,661.0,Weight Loss
98,2020-08-30,689.0,Weight Loss
99,2020-08-31,612.0,Weight Loss
100,2020-09-01,396.0,Weight Loss
101,2020-09-02,441.0,Weight Loss
102,2020-09-03,423.0,Weight Loss
103,2020-09-04,423.0,Weight Loss
104,2020-09-05,481.0,Weight Loss
105,2020-09-06,481.0,Weight Loss
106,2020-09-07,487.0,Weight Loss
107,2020-09-08,537.0,Weight Loss
108,2020-09-09,495.0,Weight Loss
109,2020-09-10,501.0,Weight Loss
110,2020-09-11,534.0,Weight Loss
111,2020-09-12,534.0,Weight Loss
112,2020-09-13,516.0,Weight Loss
113,2020-09-14,524.0,Weight Loss
114,2020-09-15,519.0,Weight Loss
115,2020-09-16,508.0,Weight Loss
116,2020-09-17,8097.0,Weight Loss
117,2020-09-18,660.0,Weight Loss
118,2020-09-19,660.0,Weight Loss
119,2020-09-20,660.0,Weight Loss
120,2020-09-21,538.0,Weight Loss
121,2020-09-22,593.0,Weight Loss
122,2020-09-23,593.0,Weight Loss
123,2020-09-24,547.0,Weight Loss
