,date,value,name_B07ZBJ5216
0,2019-10-24,78255.0,Wall & Tabletop Frames
1,2019-10-25,60891.0,Wall & Tabletop Frames
2,2019-10-26,62634.0,Wall & Tabletop Frames
3,2019-10-27,62878.0,Wall & Tabletop Frames
4,2019-10-28,78484.0,Wall & Tabletop Frames
5,2019-10-29,73739.0,Wall & Tabletop Frames
6,2019-10-30,73201.0,Wall & Tabletop Frames
7,2019-10-31,52754.0,Wall & Tabletop Frames
8,2019-11-01,85554.0,Wall & Tabletop Frames
9,2019-11-02,74235.0,Wall & Tabletop Frames
10,2019-11-03,83462.0,Wall & Tabletop Frames
11,2019-11-04,89307.0,Wall & Tabletop Frames
12,2019-11-05,128537.0,Wall & Tabletop Frames
13,2019-11-06,118372.0,Wall & Tabletop Frames
14,2019-11-07,65601.0,Wall & Tabletop Frames
15,2019-11-08,65601.0,Wall & Tabletop Frames
16,2019-11-09,65601.0,Wall & Tabletop Frames
17,2019-11-10,65601.0,Wall & Tabletop Frames
18,2019-11-11,79610.0,Wall & Tabletop Frames
19,2019-11-12,79610.0,Wall & Tabletop Frames
20,2019-11-13,84056.0,Wall & Tabletop Frames
21,2019-11-14,84056.0,Wall & Tabletop Frames
22,2019-11-15,82438.0,Wall & Tabletop Frames
23,2019-11-16,82438.0,Wall & Tabletop Frames
24,2019-11-17,82438.0,Wall & Tabletop Frames
25,2019-11-18,89349.0,Wall & Tabletop Frames
26,2019-11-19,89349.0,Wall & Tabletop Frames
27,2019-11-20,89349.0,Wall & Tabletop Frames
28,2019-11-21,89349.0,Wall & Tabletop Frames
29,2019-11-22,90243.0,Wall & Tabletop Frames
30,2019-11-23,90243.0,Wall & Tabletop Frames
31,2019-11-24,90243.0,Wall & Tabletop Frames
32,2019-11-25,90243.0,Wall & Tabletop Frames
33,2019-11-26,90243.0,Wall & Tabletop Frames
34,2019-11-27,90243.0,Wall & Tabletop Frames
35,2019-11-28,90243.0,Wall & Tabletop Frames
36,2019-11-29,90243.0,Wall & Tabletop Frames
37,2019-11-30,90243.0,Wall & Tabletop Frames
38,2019-12-01,90243.0,Wall & Tabletop Frames
39,2019-12-02,90243.0,Wall & Tabletop Frames
40,2019-12-03,90243.0,Wall & Tabletop Frames
41,2019-12-04,90243.0,Wall & Tabletop Frames
42,2019-12-05,90243.0,Wall & Tabletop Frames
43,2019-12-06,90243.0,Wall & Tabletop Frames
44,2019-12-07,90243.0,Wall & Tabletop Frames
45,2019-12-08,90243.0,Wall & Tabletop Frames
46,2019-12-09,57807.0,Wall & Tabletop Frames
47,2019-12-10,57807.0,Wall & Tabletop Frames
48,2019-12-11,57807.0,Wall & Tabletop Frames
49,2019-12-12,57807.0,Wall & Tabletop Frames
50,2019-12-13,57807.0,Wall & Tabletop Frames
51,2019-12-14,57807.0,Wall & Tabletop Frames
52,2019-12-15,57807.0,Wall & Tabletop Frames
53,2019-12-16,57807.0,Wall & Tabletop Frames
54,2019-12-17,57807.0,Wall & Tabletop Frames
55,2019-12-18,49145.0,Wall & Tabletop Frames
56,2019-12-19,49145.0,Wall & Tabletop Frames
57,2019-12-20,49145.0,Wall & Tabletop Frames
58,2019-12-21,49145.0,Wall & Tabletop Frames
59,2019-12-22,49145.0,Wall & Tabletop Frames
60,2019-12-23,29223.0,Wall & Tabletop Frames
61,2019-12-24,29223.0,Wall & Tabletop Frames
62,2019-12-25,29223.0,Wall & Tabletop Frames
63,2019-12-26,29223.0,Wall & Tabletop Frames
