,date,value,name_B08X1DYC7P
0,2021-03-15,24523.0,Screen Expanders & Magnifiers
1,2021-03-16,24523.0,Screen Expanders & Magnifiers
2,2021-03-17,42263.0,Screen Expanders & Magnifiers
3,2021-03-18,42263.0,Screen Expanders & Magnifiers
4,2021-03-19,42263.0,Screen Expanders & Magnifiers
5,2021-03-20,42263.0,Screen Expanders & Magnifiers
6,2021-03-21,42263.0,Screen Expanders & Magnifiers
7,2021-03-22,42263.0,Screen Expanders & Magnifiers
8,2021-03-23,42263.0,Screen Expanders & Magnifiers
9,2021-03-24,42263.0,Screen Expanders & Magnifiers
10,2021-03-25,42263.0,Screen Expanders & Magnifiers
11,2021-03-26,43910.0,Screen Expanders & Magnifiers
12,2021-03-27,43910.0,Screen Expanders & Magnifiers
13,2021-03-28,21658.0,Screen Expanders & Magnifiers
14,2021-03-29,21658.0,Screen Expanders & Magnifiers
15,2021-03-30,21658.0,Screen Expanders & Magnifiers
16,2021-03-31,34340.0,Screen Expanders & Magnifiers
17,2021-04-01,34340.0,Screen Expanders & Magnifiers
18,2021-04-02,34340.0,Screen Expanders & Magnifiers
19,2021-04-03,34340.0,Screen Expanders & Magnifiers
20,2021-04-04,34340.0,Screen Expanders & Magnifiers
21,2021-04-05,20575.0,Screen Expanders & Magnifiers
22,2021-04-06,20575.0,Screen Expanders & Magnifiers
23,2021-04-07,20575.0,Screen Expanders & Magnifiers
24,2021-04-08,20575.0,Screen Expanders & Magnifiers
25,2021-04-09,13818.0,Screen Expanders & Magnifiers
26,2021-04-10,13818.0,Screen Expanders & Magnifiers
27,2021-04-11,13818.0,Screen Expanders & Magnifiers
28,2021-04-12,13818.0,Screen Expanders & Magnifiers
29,2021-04-13,13818.0,Screen Expanders & Magnifiers
30,2021-04-14,12249.0,Screen Expanders & Magnifiers
31,2021-04-15,11119.0,Screen Expanders & Magnifiers
32,2021-04-16,11119.0,Screen Expanders & Magnifiers
33,2021-04-17,11119.0,Screen Expanders & Magnifiers
34,2021-04-18,11119.0,Screen Expanders & Magnifiers
35,2021-04-19,11119.0,Screen Expanders & Magnifiers
36,2021-04-20,11119.0,Screen Expanders & Magnifiers
37,2021-04-21,12349.0,Screen Expanders & Magnifiers
38,2021-04-22,12349.0,Screen Expanders & Magnifiers
39,2021-04-23,12349.0,Screen Expanders & Magnifiers
40,2021-04-24,12349.0,Screen Expanders & Magnifiers
41,2021-04-25,12349.0,Screen Expanders & Magnifiers
42,2021-04-26,6879.0,Screen Expanders & Magnifiers
43,2021-04-27,6260.0,Screen Expanders & Magnifiers
44,2021-04-28,6260.0,Screen Expanders & Magnifiers
45,2021-04-29,6260.0,Screen Expanders & Magnifiers
46,2021-04-30,4069.0,Screen Expanders & Magnifiers
47,2021-05-01,4069.0,Screen Expanders & Magnifiers
48,2021-05-02,1613.0,Screen Expanders & Magnifiers
49,2021-05-03,2662.0,Screen Expanders & Magnifiers
50,2021-05-04,3418.0,Screen Expanders & Magnifiers
51,2021-05-05,4301.0,Screen Expanders & Magnifiers
52,2021-05-06,4489.0,Screen Expanders & Magnifiers
53,2021-05-07,5552.0,Screen Expanders & Magnifiers
54,2021-05-08,6956.0,Screen Expanders & Magnifiers
55,2021-05-09,8783.0,Screen Expanders & Magnifiers
56,2021-05-10,8783.0,Screen Expanders & Magnifiers
57,2021-05-11,8783.0,Screen Expanders & Magnifiers
58,2021-05-12,6847.0,Screen Expanders & Magnifiers
59,2021-05-13,11580.0,Screen Expanders & Magnifiers
60,2021-05-14,11027.0,Screen Expanders & Magnifiers
61,2021-05-15,7701.0,Screen Expanders & Magnifiers
62,2021-05-16,7995.0,Screen Expanders & Magnifiers
63,2021-05-17,6227.0,Screen Expanders & Magnifiers
64,2021-05-18,6227.0,Screen Expanders & Magnifiers
65,2021-05-19,5145.0,Screen Expanders & Magnifiers
66,2021-05-20,7083.0,Screen Expanders & Magnifiers
67,2021-05-21,4869.0,Screen Expanders & Magnifiers
68,2021-05-22,5332.0,Screen Expanders & Magnifiers
69,2021-05-23,5862.0,Screen Expanders & Magnifiers
70,2021-05-24,6020.0,Screen Expanders & Magnifiers
71,2021-05-25,6744.0,Screen Expanders & Magnifiers
72,2021-05-26,6744.0,Screen Expanders & Magnifiers
73,2021-05-27,5497.0,Screen Expanders & Magnifiers
74,2021-05-28,5497.0,Screen Expanders & Magnifiers
75,2021-05-29,4936.0,Screen Expanders & Magnifiers
76,2021-05-30,4936.0,Screen Expanders & Magnifiers
77,2021-05-31,3850.0,Screen Expanders & Magnifiers
78,2021-06-01,4924.0,Screen Expanders & Magnifiers
79,2021-06-02,4883.0,Screen Expanders & Magnifiers
80,2021-06-03,4369.0,Screen Expanders & Magnifiers
81,2021-06-04,3827.0,Screen Expanders & Magnifiers
82,2021-06-05,4777.0,Screen Expanders & Magnifiers
83,2021-06-06,4538.0,Screen Expanders & Magnifiers
84,2021-06-07,3829.0,Screen Expanders & Magnifiers
85,2021-06-08,3342.0,Screen Expanders & Magnifiers
86,2021-06-09,3087.0,Screen Expanders & Magnifiers
87,2021-06-10,3087.0,Screen Expanders & Magnifiers
88,2021-06-11,3226.0,Screen Expanders & Magnifiers
89,2021-06-12,2712.0,Screen Expanders & Magnifiers
90,2021-06-13,3345.0,Screen Expanders & Magnifiers
91,2021-06-14,3345.0,Screen Expanders & Magnifiers
92,2021-06-15,3272.0,Screen Expanders & Magnifiers
93,2021-06-16,3208.0,Screen Expanders & Magnifiers
94,2021-06-17,3208.0,Screen Expanders & Magnifiers
95,2021-06-18,3058.0,Screen Expanders & Magnifiers
96,2021-06-19,3148.0,Screen Expanders & Magnifiers
97,2021-06-20,2307.0,Screen Expanders & Magnifiers
98,2021-06-21,2581.0,Screen Expanders & Magnifiers
99,2021-06-22,2702.0,Screen Expanders & Magnifiers
100,2021-06-23,3492.0,Screen Expanders & Magnifiers
101,2021-06-24,3695.0,Screen Expanders & Magnifiers
102,2021-06-25,3875.0,Screen Expanders & Magnifiers
103,2021-06-26,4664.0,Screen Expanders & Magnifiers
104,2021-06-27,4716.0,Screen Expanders & Magnifiers
105,2021-06-28,4238.0,Screen Expanders & Magnifiers
106,2021-06-29,3582.0,Screen Expanders & Magnifiers
107,2021-06-30,3796.0,Screen Expanders & Magnifiers
108,2021-07-01,4785.0,Screen Expanders & Magnifiers
109,2021-07-02,4785.0,Screen Expanders & Magnifiers
110,2021-07-03,4253.0,Screen Expanders & Magnifiers
111,2021-07-04,4456.0,Screen Expanders & Magnifiers
112,2021-07-05,3815.0,Screen Expanders & Magnifiers
113,2021-07-06,4597.0,Screen Expanders & Magnifiers
114,2021-07-07,4317.0,Screen Expanders & Magnifiers
115,2021-07-08,4317.0,Screen Expanders & Magnifiers
116,2021-07-09,5421.0,Screen Expanders & Magnifiers
117,2021-07-10,4887.0,Screen Expanders & Magnifiers
