,date,value,name_B08W22CDQW
127,2021-06-18,16895.0,Carpet Deodorizers
128,2021-06-19,16895.0,Carpet Deodorizers
129,2021-06-20,16895.0,Carpet Deodorizers
130,2021-06-21,15375.0,Carpet Deodorizers
131,2021-06-22,14904.0,Carpet Deodorizers
132,2021-06-23,14904.0,Carpet Deodorizers
133,2021-06-24,14904.0,Carpet Deodorizers
134,2021-06-25,14904.0,Carpet Deodorizers
135,2021-06-26,14736.0,Carpet Deodorizers
136,2021-06-27,14736.0,Carpet Deodorizers
137,2021-06-28,13887.0,Carpet Deodorizers
138,2021-06-29,13842.0,Carpet Deodorizers
139,2021-06-30,13842.0,Carpet Deodorizers
140,2021-07-01,13842.0,Carpet Deodorizers
141,2021-07-02,13842.0,Carpet Deodorizers
142,2021-07-03,7159.0,Carpet Deodorizers
143,2021-07-04,7159.0,Carpet Deodorizers
144,2021-07-05,7159.0,Carpet Deodorizers
145,2021-07-06,7159.0,Carpet Deodorizers
146,2021-07-07,8120.0,Carpet Deodorizers
147,2021-07-08,7666.0,Carpet Deodorizers
148,2021-07-09,7291.0,Carpet Deodorizers
149,2021-07-10,7428.0,Carpet Deodorizers
