,date,value,name_B079Z4QBFN
0,2020-05-22,1893.0,Filters
1,2020-05-23,1893.0,Filters
2,2020-05-24,1395.0,Filters
3,2020-05-25,1402.0,Filters
4,2020-05-26,1402.0,Filters
5,2020-05-27,1659.0,Filters
6,2020-05-28,1524.0,Filters
7,2020-05-29,1524.0,Filters
8,2020-05-30,1158.0,Filters
9,2020-05-31,1158.0,Filters
10,2020-06-01,1211.0,Filters
11,2020-06-02,1211.0,Filters
12,2020-06-03,1211.0,Filters
13,2020-06-04,1001.0,Filters
14,2020-06-05,1001.0,Filters
15,2020-06-06,1001.0,Filters
16,2020-06-07,1074.0,Filters
17,2020-06-08,899.0,Filters
18,2020-06-09,899.0,Filters
19,2020-06-10,883.0,Filters
20,2020-06-11,983.0,Filters
21,2020-06-12,1049.0,Filters
22,2020-06-13,1049.0,Filters
23,2020-06-14,1049.0,Filters
24,2020-06-15,1111.0,Filters
25,2020-06-16,1111.0,Filters
26,2020-06-17,1216.0,Filters
27,2020-06-18,1025.0,Filters
28,2020-06-19,1000.0,Filters
29,2020-06-20,987.0,Filters
30,2020-06-21,942.0,Filters
31,2020-06-22,1018.0,Filters
32,2020-06-23,1043.0,Filters
33,2020-06-24,1104.0,Filters
34,2020-06-25,1104.0,Filters
35,2020-06-26,1168.0,Filters
36,2020-06-27,1168.0,Filters
37,2020-06-28,1168.0,Filters
38,2020-06-29,1079.0,Filters
39,2020-06-30,956.0,Filters
40,2020-07-01,956.0,Filters
41,2020-07-02,1194.0,Filters
42,2020-07-03,1194.0,Filters
43,2020-07-04,1664.0,Filters
44,2020-07-05,1648.0,Filters
45,2020-07-06,1648.0,Filters
46,2020-07-07,1648.0,Filters
47,2020-07-08,2553.0,Filters
48,2020-07-09,3149.0,Filters
49,2020-07-10,3149.0,Filters
50,2020-07-11,3149.0,Filters
51,2020-07-12,2727.0,Filters
52,2020-07-13,2977.0,Filters
53,2020-07-14,2939.0,Filters
54,2020-07-15,2939.0,Filters
55,2020-07-16,2939.0,Filters
56,2020-07-17,3316.0,Filters
57,2020-07-18,3316.0,Filters
58,2020-07-19,3316.0,Filters
59,2020-07-20,3305.0,Filters
60,2020-07-21,3781.0,Filters
61,2020-07-22,3781.0,Filters
62,2020-07-23,4071.0,Filters
63,2020-07-24,4071.0,Filters
64,2020-07-25,4071.0,Filters
65,2020-07-26,3826.0,Filters
66,2020-07-27,3826.0,Filters
67,2020-07-28,3826.0,Filters
68,2020-07-29,3350.0,Filters
69,2020-07-30,3415.0,Filters
70,2020-07-31,3415.0,Filters
71,2020-08-01,3415.0,Filters
72,2020-08-02,3374.0,Filters
73,2020-08-03,3516.0,Filters
74,2020-08-04,3516.0,Filters
75,2020-08-05,3253.0,Filters
76,2020-08-06,3253.0,Filters
77,2020-08-07,3531.0,Filters
78,2020-08-08,3531.0,Filters
79,2020-08-09,3248.0,Filters
80,2020-08-10,3248.0,Filters
81,2020-08-11,3137.0,Filters
82,2020-08-12,3137.0,Filters
83,2020-08-13,2809.0,Filters
84,2020-08-14,2809.0,Filters
85,2020-08-15,3453.0,Filters
86,2020-08-16,3201.0,Filters
87,2020-08-17,3201.0,Filters
88,2020-08-18,2557.0,Filters
89,2020-08-19,2557.0,Filters
90,2020-08-20,2557.0,Filters
91,2020-08-21,3144.0,Filters
92,2020-08-22,3144.0,Filters
93,2020-08-23,3306.0,Filters
94,2020-08-24,3306.0,Filters
95,2020-08-25,3306.0,Filters
96,2020-08-26,3306.0,Filters
97,2020-08-27,3030.0,Filters
98,2020-08-28,2519.0,Filters
99,2020-08-29,2789.0,Filters
100,2020-08-30,2789.0,Filters
101,2020-08-31,3460.0,Filters
102,2020-09-01,3460.0,Filters
103,2020-09-02,3221.0,Filters
104,2020-09-03,3221.0,Filters
105,2020-09-04,3221.0,Filters
106,2020-09-05,3075.0,Filters
107,2020-09-06,3075.0,Filters
108,2020-09-07,3185.0,Filters
109,2020-09-08,2931.0,Filters
110,2020-09-09,3066.0,Filters
111,2020-09-10,3066.0,Filters
112,2020-09-11,3066.0,Filters
113,2020-09-12,3066.0,Filters
114,2020-09-13,3066.0,Filters
115,2020-09-14,4298.0,Filters
116,2020-09-15,5467.0,Filters
117,2020-09-16,5073.0,Filters
118,2020-09-17,4839.0,Filters
119,2020-09-18,4742.0,Filters
120,2020-09-19,4742.0,Filters
121,2020-09-20,4946.0,Filters
122,2020-09-21,4946.0,Filters
123,2020-09-22,4946.0,Filters
124,2020-09-23,4946.0,Filters
125,2020-09-24,5904.0,Filters
126,2020-09-25,5904.0,Filters
127,2020-09-26,5162.0,Filters
128,2020-09-27,3905.0,Filters
129,2020-09-28,4016.0,Filters
130,2020-09-29,4453.0,Filters
131,2020-09-30,5056.0,Filters
132,2020-10-01,5688.0,Filters
133,2020-10-02,5688.0,Filters
134,2020-10-03,6571.0,Filters
135,2020-10-04,7380.0,Filters
136,2020-10-05,6056.0,Filters
137,2020-10-06,5617.0,Filters
138,2020-10-07,5617.0,Filters
139,2020-10-08,6806.0,Filters
140,2020-10-09,6568.0,Filters
141,2020-10-10,6568.0,Filters
142,2020-10-11,6691.0,Filters
143,2020-10-12,7936.0,Filters
144,2020-10-13,7695.0,Filters
145,2020-10-14,7352.0,Filters
146,2020-10-15,7352.0,Filters
147,2020-10-16,8646.0,Filters
148,2020-10-17,4822.0,Filters
149,2020-10-18,4484.0,Filters
150,2020-10-19,4875.0,Filters
151,2020-10-20,4875.0,Filters
152,2020-10-21,5720.0,Filters
153,2020-10-22,5352.0,Filters
154,2020-10-23,5352.0,Filters
155,2020-10-24,5463.0,Filters
156,2020-10-25,5463.0,Filters
157,2020-10-26,5812.0,Filters
158,2020-10-27,5812.0,Filters
159,2020-10-28,5793.0,Filters
160,2020-10-29,5793.0,Filters
161,2020-10-30,5680.0,Filters
162,2020-10-31,5680.0,Filters
163,2020-11-01,5405.0,Filters
164,2020-11-02,5405.0,Filters
165,2020-11-03,5666.0,Filters
166,2020-11-04,5666.0,Filters
167,2020-11-05,5666.0,Filters
168,2020-11-06,6749.0,Filters
169,2020-11-07,6749.0,Filters
170,2020-11-08,5885.0,Filters
171,2020-11-09,5885.0,Filters
172,2020-11-10,4647.0,Filters
173,2020-11-11,4741.0,Filters
174,2020-11-12,4741.0,Filters
175,2020-11-13,4741.0,Filters
176,2020-11-14,4392.0,Filters
177,2020-11-15,4392.0,Filters
178,2020-11-16,4392.0,Filters
179,2020-11-17,4996.0,Filters
180,2020-11-18,4996.0,Filters
181,2020-11-19,5402.0,Filters
182,2020-11-20,5586.0,Filters
183,2020-11-21,5586.0,Filters
184,2020-11-22,7363.0,Filters
185,2020-11-23,6662.0,Filters
186,2020-11-24,6195.0,Filters
187,2020-11-25,7143.0,Filters
188,2020-11-26,7279.0,Filters
189,2020-11-27,7279.0,Filters
190,2020-11-28,9830.0,Filters
191,2020-11-29,9830.0,Filters
192,2020-11-30,9255.0,Filters
193,2020-12-01,8168.0,Filters
194,2020-12-02,5657.0,Filters
195,2020-12-03,5240.0,Filters
196,2020-12-04,5240.0,Filters
197,2020-12-05,6252.0,Filters
198,2020-12-06,6252.0,Filters
199,2020-12-07,5731.0,Filters
200,2020-12-08,5731.0,Filters
201,2020-12-09,6487.0,Filters
202,2020-12-10,5429.0,Filters
203,2020-12-11,6522.0,Filters
204,2020-12-12,5748.0,Filters
205,2020-12-13,5462.0,Filters
206,2020-12-14,5028.0,Filters
207,2020-12-15,5447.0,Filters
208,2020-12-16,6074.0,Filters
209,2020-12-17,5496.0,Filters
210,2020-12-18,5095.0,Filters
211,2020-12-19,5095.0,Filters
212,2020-12-20,6264.0,Filters
213,2020-12-21,5437.0,Filters
214,2020-12-22,5006.0,Filters
215,2020-12-23,5091.0,Filters
216,2020-12-24,4060.0,Filters
