,date,value,name_B08FGP37Z4
154,2021-03-16,42628.0,Planters
155,2021-03-17,38890.0,Planters
156,2021-03-18,38890.0,Planters
157,2021-03-19,38890.0,Planters
158,2021-03-20,38890.0,Planters
159,2021-03-21,48662.0,Planters
160,2021-03-22,48662.0,Planters
161,2021-03-23,48662.0,Planters
162,2021-03-24,52910.0,Planters
163,2021-03-25,52910.0,Planters
164,2021-03-26,52910.0,Planters
165,2021-03-27,43972.0,Planters
166,2021-03-28,43972.0,Planters
167,2021-03-29,43972.0,Planters
168,2021-03-30,43972.0,Planters
169,2021-03-31,43972.0,Planters
170,2021-04-01,43972.0,Planters
171,2021-04-02,43972.0,Planters
172,2021-04-03,43972.0,Planters
173,2021-04-04,43972.0,Planters
174,2021-04-05,39213.0,Planters
175,2021-04-06,39213.0,Planters
176,2021-04-07,39213.0,Planters
177,2021-04-08,39213.0,Planters
178,2021-04-09,39213.0,Planters
179,2021-04-10,39213.0,Planters
180,2021-04-11,39213.0,Planters
181,2021-04-12,39213.0,Planters
182,2021-04-13,53257.0,Planters
183,2021-04-14,74189.0,Planters
184,2021-04-15,74189.0,Planters
185,2021-04-16,74189.0,Planters
186,2021-04-17,74189.0,Planters
187,2021-04-18,74189.0,Planters
188,2021-04-19,74189.0,Planters
189,2021-04-20,74189.0,Planters
190,2021-04-21,46418.0,Planters
191,2021-04-22,46418.0,Planters
192,2021-04-23,46418.0,Planters
193,2021-04-24,46418.0,Planters
194,2021-04-25,46418.0,Planters
195,2021-04-26,46418.0,Planters
196,2021-04-27,46418.0,Planters
197,2021-04-28,46418.0,Planters
198,2021-04-29,46418.0,Planters
199,2021-04-30,46418.0,Planters
200,2021-05-01,46418.0,Planters
201,2021-05-02,154514.0,Planters
202,2021-05-03,154514.0,Planters
203,2021-05-04,154514.0,Planters
204,2021-05-05,154514.0,Planters
205,2021-05-06,154514.0,Planters
206,2021-05-07,154514.0,Planters
207,2021-05-08,154514.0,Planters
208,2021-05-09,154514.0,Planters
209,2021-05-10,154514.0,Planters
210,2021-05-11,154514.0,Planters
211,2021-05-12,68446.0,Planters
212,2021-05-13,76052.0,Planters
213,2021-05-14,76052.0,Planters
214,2021-05-15,76052.0,Planters
215,2021-05-16,76052.0,Planters
216,2021-05-17,76052.0,Planters
217,2021-05-18,91377.0,Planters
218,2021-05-19,91377.0,Planters
219,2021-05-20,91377.0,Planters
220,2021-05-21,91377.0,Planters
221,2021-05-22,91377.0,Planters
222,2021-05-23,91377.0,Planters
223,2021-05-24,96121.0,Planters
224,2021-05-25,96121.0,Planters
225,2021-05-26,96121.0,Planters
226,2021-05-27,96121.0,Planters
