,date,value,name_B00Q4RRJ1G
144,2020-07-18,16152.0,Ankle Braces
145,2020-07-19,16152.0,Ankle Braces
146,2020-07-20,20752.0,Ankle Braces
147,2020-07-21,20277.0,Ankle Braces
148,2020-07-22,16527.0,Ankle Braces
149,2020-07-23,16527.0,Ankle Braces
150,2020-07-24,17621.0,Ankle Braces
151,2020-07-25,18215.0,Ankle Braces
152,2020-07-26,18793.0,Ankle Braces
153,2020-07-27,18713.0,Ankle Braces
154,2020-07-28,18437.0,Ankle Braces
155,2020-07-29,21784.0,Ankle Braces
156,2020-07-30,19328.0,Ankle Braces
157,2020-07-31,18225.0,Ankle Braces
158,2020-08-01,18225.0,Ankle Braces
159,2020-08-02,26564.0,Ankle Braces
160,2020-08-03,26564.0,Ankle Braces
161,2020-08-04,20287.0,Ankle Braces
162,2020-08-05,21413.0,Ankle Braces
163,2020-08-06,21413.0,Ankle Braces
164,2020-08-07,16919.0,Ankle Braces
165,2020-08-08,16919.0,Ankle Braces
166,2020-08-09,16919.0,Ankle Braces
167,2020-08-10,19596.0,Ankle Braces
168,2020-08-11,19473.0,Ankle Braces
169,2020-08-12,18823.0,Ankle Braces
170,2020-08-13,18823.0,Ankle Braces
171,2020-08-14,18863.0,Ankle Braces
172,2020-08-15,18863.0,Ankle Braces
173,2020-08-16,18863.0,Ankle Braces
174,2020-08-17,14646.0,Ankle Braces
175,2020-08-18,14646.0,Ankle Braces
176,2020-08-19,14646.0,Ankle Braces
177,2020-08-20,14211.0,Ankle Braces
178,2020-08-21,12490.0,Ankle Braces
179,2020-08-22,17069.0,Ankle Braces
180,2020-08-23,13234.0,Ankle Braces
181,2020-08-24,13234.0,Ankle Braces
182,2020-08-25,13683.0,Ankle Braces
183,2020-08-26,15700.0,Ankle Braces
184,2020-08-27,12616.0,Ankle Braces
185,2020-08-28,12642.0,Ankle Braces
186,2020-08-29,13997.0,Ankle Braces
187,2020-08-30,13997.0,Ankle Braces
188,2020-08-31,14509.0,Ankle Braces
189,2020-09-01,16166.0,Ankle Braces
190,2020-09-02,16166.0,Ankle Braces
191,2020-09-03,14283.0,Ankle Braces
192,2020-09-04,11477.0,Ankle Braces
193,2020-09-05,11477.0,Ankle Braces
194,2020-09-06,12084.0,Ankle Braces
195,2020-09-07,13785.0,Ankle Braces
196,2020-09-08,13100.0,Ankle Braces
197,2020-09-09,11906.0,Ankle Braces
198,2020-09-10,13531.0,Ankle Braces
199,2020-09-11,13531.0,Ankle Braces
200,2020-09-12,13531.0,Ankle Braces
201,2020-09-13,13593.0,Ankle Braces
202,2020-09-14,14557.0,Ankle Braces
203,2020-09-15,13177.0,Ankle Braces
204,2020-09-16,13177.0,Ankle Braces
205,2020-09-17,9711.0,Ankle Braces
206,2020-09-18,13331.0,Ankle Braces
207,2020-09-19,13331.0,Ankle Braces
208,2020-09-20,13417.0,Ankle Braces
209,2020-09-21,13407.0,Ankle Braces
210,2020-09-22,12960.0,Ankle Braces
211,2020-09-23,12051.0,Ankle Braces
212,2020-09-24,14477.0,Ankle Braces
213,2020-09-25,14477.0,Ankle Braces
214,2020-09-26,14477.0,Ankle Braces
215,2020-09-27,14477.0,Ankle Braces
216,2020-09-28,10610.0,Ankle Braces
217,2020-09-29,10610.0,Ankle Braces
218,2020-09-30,12230.0,Ankle Braces
219,2020-10-01,12230.0,Ankle Braces
220,2020-10-02,12230.0,Ankle Braces
221,2020-10-03,16240.0,Ankle Braces
