,date,value,name_B07Q59KRJP
0,2019-04-12,518726.0,Fitted Sheets
1,2019-04-13,518726.0,Fitted Sheets
2,2019-04-14,320309.0,Fitted Sheets
3,2019-04-15,384356.0,Fitted Sheets
4,2019-04-16,384356.0,Fitted Sheets
5,2019-04-17,230204.0,Fitted Sheets
6,2019-04-18,139552.0,Fitted Sheets
7,2019-04-19,166498.0,Fitted Sheets
8,2019-04-20,166498.0,Fitted Sheets
9,2019-04-21,294367.0,Fitted Sheets
10,2019-04-22,133081.0,Fitted Sheets
11,2019-04-23,142820.0,Fitted Sheets
12,2019-04-24,142820.0,Fitted Sheets
13,2019-04-25,91153.0,Fitted Sheets
14,2019-04-26,103270.0,Fitted Sheets
15,2019-04-27,267303.0,Fitted Sheets
16,2019-04-28,267303.0,Fitted Sheets
17,2019-04-29,326671.0,Fitted Sheets
18,2019-04-30,326671.0,Fitted Sheets
19,2019-05-01,326671.0,Fitted Sheets
20,2019-05-02,326671.0,Fitted Sheets
21,2019-05-03,326671.0,Fitted Sheets
22,2019-05-04,326671.0,Fitted Sheets
23,2019-05-05,326671.0,Fitted Sheets
24,2019-05-06,71735.0,Fitted Sheets
25,2019-05-07,71735.0,Fitted Sheets
26,2019-05-08,90193.0,Fitted Sheets
27,2019-05-09,68258.0,Fitted Sheets
28,2019-05-10,94562.0,Fitted Sheets
29,2019-05-11,94562.0,Fitted Sheets
30,2019-05-12,125168.0,Fitted Sheets
31,2019-05-13,69818.0,Fitted Sheets
32,2019-05-14,69818.0,Fitted Sheets
33,2019-05-15,96955.0,Fitted Sheets
34,2019-05-16,96955.0,Fitted Sheets
35,2019-05-17,96955.0,Fitted Sheets
36,2019-05-18,96955.0,Fitted Sheets
37,2019-05-19,83141.0,Fitted Sheets
38,2019-05-20,43667.0,Fitted Sheets
39,2019-05-21,42794.0,Fitted Sheets
40,2019-05-22,52994.0,Fitted Sheets
41,2019-05-23,63877.0,Fitted Sheets
42,2019-05-24,111067.0,Fitted Sheets
43,2019-05-25,67248.0,Fitted Sheets
44,2019-05-26,74170.0,Fitted Sheets
45,2019-05-27,50531.0,Fitted Sheets
46,2019-05-28,42132.0,Fitted Sheets
47,2019-05-29,49180.0,Fitted Sheets
48,2019-05-30,24829.0,Fitted Sheets
49,2019-05-31,24829.0,Fitted Sheets
50,2019-06-01,64851.0,Fitted Sheets
51,2019-06-02,34984.0,Fitted Sheets
52,2019-06-03,41872.0,Fitted Sheets
53,2019-06-04,47123.0,Fitted Sheets
54,2019-06-05,44120.0,Fitted Sheets
55,2019-06-06,77927.0,Fitted Sheets
56,2019-06-07,40674.0,Fitted Sheets
57,2019-06-08,33847.0,Fitted Sheets
58,2019-06-09,45093.0,Fitted Sheets
59,2019-06-10,53417.0,Fitted Sheets
60,2019-06-11,32658.0,Fitted Sheets
61,2019-06-12,44879.0,Fitted Sheets
62,2019-06-13,25321.0,Fitted Sheets
63,2019-06-14,54067.0,Fitted Sheets
64,2019-06-15,41208.0,Fitted Sheets
65,2019-06-16,41208.0,Fitted Sheets
66,2019-06-17,17024.0,Fitted Sheets
67,2019-06-18,17024.0,Fitted Sheets
68,2019-06-19,27924.0,Fitted Sheets
69,2019-06-20,28885.0,Fitted Sheets
70,2019-06-21,29001.0,Fitted Sheets
71,2019-06-22,24889.0,Fitted Sheets
72,2019-06-23,18718.0,Fitted Sheets
73,2019-06-24,20694.0,Fitted Sheets
74,2019-06-25,27866.0,Fitted Sheets
75,2019-06-26,35802.0,Fitted Sheets
76,2019-06-27,27682.0,Fitted Sheets
77,2019-06-28,32211.0,Fitted Sheets
78,2019-06-29,31362.0,Fitted Sheets
79,2019-06-30,23413.0,Fitted Sheets
80,2019-07-01,10541.0,Fitted Sheets
81,2019-07-02,21709.0,Fitted Sheets
82,2019-07-03,27472.0,Fitted Sheets
83,2019-07-04,29946.0,Fitted Sheets
84,2019-07-05,32636.0,Fitted Sheets
85,2019-07-06,43230.0,Fitted Sheets
86,2019-07-07,50352.0,Fitted Sheets
