,date,value,name_B08HVG2PPY
0,2020-11-03,583811.0,Blender Replacement Parts
1,2020-11-04,326293.0,Blender Replacement Parts
2,2020-11-05,217703.0,Blender Replacement Parts
3,2020-11-06,217703.0,Blender Replacement Parts
4,2020-11-07,136110.0,Blender Replacement Parts
5,2020-11-08,90502.0,Blender Replacement Parts
6,2020-11-09,93431.0,Blender Replacement Parts
7,2020-11-10,118920.0,Blender Replacement Parts
8,2020-11-11,135097.0,Blender Replacement Parts
9,2020-11-12,93042.0,Blender Replacement Parts
10,2020-11-13,111926.0,Blender Replacement Parts
11,2020-11-14,111926.0,Blender Replacement Parts
12,2020-11-15,137102.0,Blender Replacement Parts
13,2020-11-16,175506.0,Blender Replacement Parts
14,2020-11-17,185234.0,Blender Replacement Parts
15,2020-11-18,185234.0,Blender Replacement Parts
16,2020-11-19,185234.0,Blender Replacement Parts
17,2020-11-20,274344.0,Blender Replacement Parts
18,2020-11-21,274344.0,Blender Replacement Parts
19,2020-11-22,235116.0,Blender Replacement Parts
20,2020-11-23,239161.0,Blender Replacement Parts
21,2020-11-24,348721.0,Blender Replacement Parts
22,2020-11-25,329333.0,Blender Replacement Parts
23,2020-11-26,421320.0,Blender Replacement Parts
24,2020-11-27,393321.0,Blender Replacement Parts
25,2020-11-28,165243.0,Blender Replacement Parts
26,2020-11-29,165243.0,Blender Replacement Parts
27,2020-11-30,279240.0,Blender Replacement Parts
28,2020-12-01,347617.0,Blender Replacement Parts
29,2020-12-02,193650.0,Blender Replacement Parts
30,2020-12-03,242342.0,Blender Replacement Parts
31,2020-12-04,267846.0,Blender Replacement Parts
32,2020-12-05,334436.0,Blender Replacement Parts
33,2020-12-06,333285.0,Blender Replacement Parts
34,2020-12-07,286797.0,Blender Replacement Parts
35,2020-12-08,164884.0,Blender Replacement Parts
36,2020-12-09,172070.0,Blender Replacement Parts
37,2020-12-10,188209.0,Blender Replacement Parts
38,2020-12-11,228242.0,Blender Replacement Parts
39,2020-12-12,128041.0,Blender Replacement Parts
40,2020-12-13,238887.0,Blender Replacement Parts
41,2020-12-14,212490.0,Blender Replacement Parts
42,2020-12-15,188043.0,Blender Replacement Parts
43,2020-12-16,195320.0,Blender Replacement Parts
44,2020-12-17,220834.0,Blender Replacement Parts
45,2020-12-18,172189.0,Blender Replacement Parts
46,2020-12-19,120270.0,Blender Replacement Parts
47,2020-12-20,185678.0,Blender Replacement Parts
48,2020-12-21,88389.0,Blender Replacement Parts
49,2020-12-22,88389.0,Blender Replacement Parts
50,2020-12-23,55366.0,Blender Replacement Parts
51,2020-12-24,56700.0,Blender Replacement Parts
52,2020-12-25,57832.0,Blender Replacement Parts
53,2020-12-26,70697.0,Blender Replacement Parts
54,2020-12-27,111033.0,Blender Replacement Parts
55,2020-12-28,122207.0,Blender Replacement Parts
56,2020-12-29,123156.0,Blender Replacement Parts
57,2020-12-30,143865.0,Blender Replacement Parts
58,2020-12-31,159826.0,Blender Replacement Parts
59,2021-01-01,244514.0,Blender Replacement Parts
60,2021-01-02,269156.0,Blender Replacement Parts
61,2021-01-03,294276.0,Blender Replacement Parts
62,2021-01-04,236751.0,Blender Replacement Parts
63,2021-01-05,236751.0,Blender Replacement Parts
64,2021-01-06,207278.0,Blender Replacement Parts
65,2021-01-07,372231.0,Blender Replacement Parts
66,2021-01-08,372231.0,Blender Replacement Parts
67,2021-01-09,197882.0,Blender Replacement Parts
68,2021-01-10,293294.0,Blender Replacement Parts
69,2021-01-11,284086.0,Blender Replacement Parts
70,2021-01-12,260852.0,Blender Replacement Parts
71,2021-01-13,380942.0,Blender Replacement Parts
72,2021-01-14,361065.0,Blender Replacement Parts
