,date,value,name_B0919JDCX2
0,2021-04-16,82500,Action Figures
1,2021-04-17,139164,Action Figures
2,2021-04-18,137174,Action Figures
3,2021-04-19,157155,Action Figures
4,2021-04-20,102961,Action Figures
5,2021-04-21,138611,Action Figures
6,2021-04-22,92109,Action Figures
7,2021-04-23,78097,Action Figures
8,2021-04-24,70758,Action Figures
9,2021-04-25,46719,Action Figures
10,2021-04-26,29789,Action Figures
11,2021-04-27,37548,Action Figures
12,2021-04-28,19229,Action Figures
13,2021-04-29,16145,Action Figures
14,2021-04-30,13724,Action Figures
15,2021-05-01,11897,Action Figures
16,2021-05-02,12265,Action Figures
17,2021-05-03,15034,Action Figures
18,2021-05-04,15593,Action Figures
19,2021-05-05,13362,Action Figures
20,2021-05-06,18569,Action Figures
21,2021-05-07,10582,Action Figures
22,2021-05-08,7426,Action Figures
23,2021-05-09,9012,Action Figures
24,2021-05-10,11012,Action Figures
25,2021-05-11,8905,Action Figures
26,2021-05-12,8617,Action Figures
27,2021-05-13,7830,Action Figures
28,2021-05-14,8783,Action Figures
29,2021-05-15,9584,Action Figures
30,2021-05-16,16514,Action Figures
31,2021-05-17,29166,Action Figures
32,2021-05-18,27699,Action Figures
33,2021-05-19,32084,Action Figures
34,2021-05-20,33217,Action Figures
35,2021-05-21,17453,Action Figures
36,2021-05-22,21107,Action Figures
37,2021-05-23,16132,Action Figures
38,2021-05-24,23051,Action Figures
39,2021-05-25,37826,Action Figures
40,2021-05-26,55871,Action Figures
41,2021-05-27,80395,Action Figures
42,2021-05-28,98493,Action Figures
43,2021-05-29,32526,Action Figures
44,2021-05-30,27709,Action Figures
45,2021-05-31,23745,Action Figures
46,2021-06-01,10338,Action Figures
47,2021-06-02,10002,Action Figures
48,2021-06-03,8495,Action Figures
49,2021-06-04,9846,Action Figures
50,2021-06-05,10882,Action Figures
51,2021-06-06,14279,Action Figures
52,2021-06-07,12773,Action Figures
53,2021-06-08,15930,Action Figures
54,2021-06-09,20020,Action Figures
55,2021-06-10,20909,Action Figures
56,2021-06-11,16614,Action Figures
57,2021-06-12,17769,Action Figures
58,2021-06-13,19220,Action Figures
59,2021-06-14,32195,Action Figures
60,2021-06-15,22696,Action Figures
61,2021-06-16,19300,Action Figures
62,2021-06-17,21215,Action Figures
63,2021-06-18,12988,Action Figures
64,2021-06-19,11907,Action Figures
65,2021-06-20,9002,Action Figures
66,2021-06-21,17104,Action Figures
67,2021-06-22,25509,Action Figures
68,2021-06-23,18503,Action Figures
69,2021-06-24,19941,Action Figures
70,2021-06-25,14200,Action Figures
71,2021-06-26,13668,Action Figures
72,2021-06-27,12912,Action Figures
73,2021-06-28,17115,Action Figures
74,2021-06-29,25785,Action Figures
75,2021-06-30,23783,Action Figures
76,2021-07-01,23026,Action Figures
77,2021-07-02,27475,Action Figures
78,2021-07-03,23634,Action Figures
79,2021-07-04,22580,Action Figures
80,2021-07-05,18124,Action Figures
81,2021-07-06,13490,Action Figures
82,2021-07-07,15048,Action Figures
83,2021-07-08,20899,Action Figures
84,2021-07-09,14158,Action Figures
