,date,value,name_B08VRC7FWG
0,2021-02-13,25314.0,Turmeric
1,2021-02-14,25314.0,Turmeric
2,2021-02-15,25314.0,Turmeric
3,2021-02-16,27352.0,Turmeric
4,2021-02-17,27352.0,Turmeric
5,2021-02-18,27352.0,Turmeric
6,2021-02-19,27352.0,Turmeric
7,2021-02-20,36669.0,Turmeric
8,2021-02-21,36669.0,Turmeric
9,2021-02-22,36669.0,Turmeric
10,2021-02-23,36669.0,Turmeric
11,2021-02-24,36669.0,Turmeric
12,2021-02-25,30694.0,Turmeric
13,2021-02-26,30694.0,Turmeric
14,2021-02-27,30694.0,Turmeric
15,2021-02-28,30694.0,Turmeric
16,2021-03-01,28905.0,Turmeric
17,2021-03-02,28905.0,Turmeric
18,2021-03-03,28905.0,Turmeric
19,2021-03-04,22991.0,Turmeric
20,2021-03-05,22991.0,Turmeric
21,2021-03-06,22991.0,Turmeric
22,2021-03-07,22991.0,Turmeric
23,2021-03-08,22991.0,Turmeric
24,2021-03-09,22991.0,Turmeric
25,2021-03-10,33197.0,Turmeric
26,2021-03-11,33197.0,Turmeric
27,2021-03-12,33197.0,Turmeric
28,2021-03-13,39558.0,Turmeric
29,2021-03-14,39558.0,Turmeric
30,2021-03-15,28854.0,Turmeric
31,2021-03-16,28854.0,Turmeric
32,2021-03-17,28854.0,Turmeric
33,2021-03-18,25086.0,Turmeric
34,2021-03-19,25086.0,Turmeric
35,2021-03-20,25086.0,Turmeric
36,2021-03-21,25086.0,Turmeric
37,2021-03-22,28345.0,Turmeric
38,2021-03-23,28345.0,Turmeric
39,2021-03-24,28345.0,Turmeric
40,2021-03-25,30615.0,Turmeric
41,2021-03-26,30615.0,Turmeric
42,2021-03-27,30615.0,Turmeric
43,2021-03-28,30615.0,Turmeric
44,2021-03-29,35970.0,Turmeric
45,2021-03-30,35970.0,Turmeric
46,2021-03-31,35970.0,Turmeric
47,2021-04-01,24999.0,Turmeric
48,2021-04-02,24999.0,Turmeric
49,2021-04-03,24999.0,Turmeric
50,2021-04-04,24999.0,Turmeric
51,2021-04-05,24999.0,Turmeric
52,2021-04-06,33878.0,Turmeric
53,2021-04-07,33878.0,Turmeric
54,2021-04-08,33878.0,Turmeric
55,2021-04-09,33878.0,Turmeric
56,2021-04-10,33878.0,Turmeric
57,2021-04-11,33878.0,Turmeric
58,2021-04-12,30295.0,Turmeric
59,2021-04-13,30295.0,Turmeric
60,2021-04-14,30295.0,Turmeric
61,2021-04-15,33044.0,Turmeric
62,2021-04-16,33044.0,Turmeric
63,2021-04-17,33044.0,Turmeric
64,2021-04-18,33044.0,Turmeric
65,2021-04-19,31131.0,Turmeric
66,2021-04-20,31131.0,Turmeric
67,2021-04-21,46687.0,Turmeric
68,2021-04-22,30808.0,Turmeric
69,2021-04-23,30959.0,Turmeric
70,2021-04-24,30959.0,Turmeric
71,2021-04-25,30959.0,Turmeric
72,2021-04-26,25907.0,Turmeric
73,2021-04-27,25907.0,Turmeric
74,2021-04-28,24984.0,Turmeric
75,2021-04-29,24984.0,Turmeric
76,2021-04-30,27856.0,Turmeric
77,2021-05-01,27856.0,Turmeric
78,2021-05-02,27856.0,Turmeric
79,2021-05-03,25219.0,Turmeric
80,2021-05-04,25219.0,Turmeric
81,2021-05-05,25219.0,Turmeric
82,2021-05-06,27140.0,Turmeric
83,2021-05-07,27140.0,Turmeric
84,2021-05-08,27140.0,Turmeric
85,2021-05-09,27140.0,Turmeric
86,2021-05-10,28564.0,Turmeric
87,2021-05-11,28564.0,Turmeric
88,2021-05-12,28564.0,Turmeric
89,2021-05-13,28564.0,Turmeric
90,2021-05-14,28564.0,Turmeric
91,2021-05-15,28564.0,Turmeric
92,2021-05-16,23760.0,Turmeric
93,2021-05-17,23760.0,Turmeric
94,2021-05-18,36989.0,Turmeric
95,2021-05-19,36989.0,Turmeric
96,2021-05-20,31462.0,Turmeric
97,2021-05-21,24045.0,Turmeric
98,2021-05-22,24045.0,Turmeric
99,2021-05-23,24045.0,Turmeric
100,2021-05-24,24045.0,Turmeric
101,2021-05-25,38997.0,Turmeric
102,2021-05-26,38997.0,Turmeric
103,2021-05-27,38997.0,Turmeric
104,2021-05-28,27022.0,Turmeric
105,2021-05-29,27022.0,Turmeric
106,2021-05-30,27022.0,Turmeric
107,2021-05-31,27022.0,Turmeric
108,2021-06-01,27022.0,Turmeric
109,2021-06-02,26277.0,Turmeric
110,2021-06-03,26277.0,Turmeric
111,2021-06-04,26277.0,Turmeric
112,2021-06-05,32613.0,Turmeric
113,2021-06-06,32613.0,Turmeric
114,2021-06-07,31676.0,Turmeric
115,2021-06-08,31676.0,Turmeric
116,2021-06-09,31676.0,Turmeric
117,2021-06-10,33333.0,Turmeric
118,2021-06-11,33333.0,Turmeric
119,2021-06-12,33333.0,Turmeric
120,2021-06-13,33333.0,Turmeric
121,2021-06-14,27431.0,Turmeric
122,2021-06-15,21290.0,Turmeric
123,2021-06-16,21290.0,Turmeric
124,2021-06-17,24560.0,Turmeric
125,2021-06-18,24560.0,Turmeric
126,2021-06-19,24560.0,Turmeric
127,2021-06-20,18860.0,Turmeric
128,2021-06-21,17647.0,Turmeric
