,date,value,name_B088LWW7JN
144,2020-10-09,68239.0,Bed Pillows
145,2020-10-10,68239.0,Bed Pillows
146,2020-10-11,68239.0,Bed Pillows
147,2020-10-12,68239.0,Bed Pillows
148,2020-10-13,68239.0,Bed Pillows
149,2020-10-14,93450.0,Bed Pillows
150,2020-10-15,87570.0,Bed Pillows
151,2020-10-16,82547.0,Bed Pillows
152,2020-10-17,82547.0,Bed Pillows
153,2020-10-18,82547.0,Bed Pillows
154,2020-10-19,109630.0,Bed Pillows
155,2020-10-20,109630.0,Bed Pillows
156,2020-10-21,109630.0,Bed Pillows
157,2020-10-22,109630.0,Bed Pillows
158,2020-10-23,109630.0,Bed Pillows
159,2020-10-24,120097.0,Bed Pillows
160,2020-10-25,96564.0,Bed Pillows
161,2020-10-26,96564.0,Bed Pillows
162,2020-10-27,113430.0,Bed Pillows
163,2020-10-28,113430.0,Bed Pillows
164,2020-10-29,113430.0,Bed Pillows
165,2020-10-30,113430.0,Bed Pillows
166,2020-10-31,113430.0,Bed Pillows
167,2020-11-01,113430.0,Bed Pillows
168,2020-11-02,113430.0,Bed Pillows
169,2020-11-03,113430.0,Bed Pillows
170,2020-11-04,113430.0,Bed Pillows
171,2020-11-05,113430.0,Bed Pillows
172,2020-11-06,118252.0,Bed Pillows
173,2020-11-07,118252.0,Bed Pillows
174,2020-11-08,118252.0,Bed Pillows
175,2020-11-09,118252.0,Bed Pillows
176,2020-11-10,118252.0,Bed Pillows
177,2020-11-11,118252.0,Bed Pillows
178,2020-11-12,118252.0,Bed Pillows
179,2020-11-13,118252.0,Bed Pillows
180,2020-11-14,102241.0,Bed Pillows
181,2020-11-15,102241.0,Bed Pillows
182,2020-11-16,102241.0,Bed Pillows
183,2020-11-17,102241.0,Bed Pillows
184,2020-11-18,102241.0,Bed Pillows
185,2020-11-19,102241.0,Bed Pillows
186,2020-11-20,95068.0,Bed Pillows
187,2020-11-21,95068.0,Bed Pillows
188,2020-11-22,95068.0,Bed Pillows
189,2020-11-23,95068.0,Bed Pillows
190,2020-11-24,95068.0,Bed Pillows
191,2020-11-25,95068.0,Bed Pillows
192,2020-11-26,89779.0,Bed Pillows
193,2020-11-27,89779.0,Bed Pillows
194,2020-11-28,89779.0,Bed Pillows
195,2020-11-29,89779.0,Bed Pillows
196,2020-11-30,89779.0,Bed Pillows
197,2020-12-01,38977.0,Bed Pillows
198,2020-12-02,38977.0,Bed Pillows
199,2020-12-03,69073.0,Bed Pillows
200,2020-12-04,69073.0,Bed Pillows
201,2020-12-05,108312.0,Bed Pillows
202,2020-12-06,108312.0,Bed Pillows
203,2020-12-07,108312.0,Bed Pillows
204,2020-12-08,108312.0,Bed Pillows
205,2020-12-09,108312.0,Bed Pillows
206,2020-12-10,108312.0,Bed Pillows
207,2020-12-11,108312.0,Bed Pillows
208,2020-12-12,102133.0,Bed Pillows
209,2020-12-13,124780.0,Bed Pillows
210,2020-12-14,124780.0,Bed Pillows
211,2020-12-15,124780.0,Bed Pillows
212,2020-12-16,89069.0,Bed Pillows
213,2020-12-17,63396.0,Bed Pillows
214,2020-12-18,63396.0,Bed Pillows
