,date,value,name_B08VKRTL34
0,2021-02-19,218111.0,Self-Stick Notes
1,2021-02-20,113603.0,Self-Stick Notes
2,2021-02-21,113603.0,Self-Stick Notes
3,2021-02-22,113603.0,Self-Stick Notes
4,2021-02-23,113603.0,Self-Stick Notes
5,2021-02-24,113603.0,Self-Stick Notes
6,2021-02-25,113603.0,Self-Stick Notes
7,2021-02-26,113603.0,Self-Stick Notes
8,2021-02-27,111614.0,Self-Stick Notes
9,2021-02-28,111614.0,Self-Stick Notes
10,2021-03-01,111614.0,Self-Stick Notes
11,2021-03-02,111614.0,Self-Stick Notes
12,2021-03-03,111614.0,Self-Stick Notes
13,2021-03-04,111614.0,Self-Stick Notes
14,2021-03-05,240996.0,Self-Stick Notes
15,2021-03-06,240996.0,Self-Stick Notes
16,2021-03-07,240996.0,Self-Stick Notes
17,2021-03-08,240996.0,Self-Stick Notes
18,2021-03-09,240996.0,Self-Stick Notes
19,2021-03-10,240996.0,Self-Stick Notes
20,2021-03-11,240996.0,Self-Stick Notes
21,2021-03-12,27219.0,Self-Stick Notes
22,2021-03-13,57159.0,Self-Stick Notes
23,2021-03-14,57159.0,Self-Stick Notes
24,2021-03-15,57159.0,Self-Stick Notes
25,2021-03-16,57159.0,Self-Stick Notes
26,2021-03-17,57159.0,Self-Stick Notes
27,2021-03-18,28448.0,Self-Stick Notes
28,2021-03-19,47338.0,Self-Stick Notes
29,2021-03-20,47338.0,Self-Stick Notes
30,2021-03-21,30011.0,Self-Stick Notes
31,2021-03-22,30011.0,Self-Stick Notes
32,2021-03-23,30011.0,Self-Stick Notes
33,2021-03-24,30011.0,Self-Stick Notes
34,2021-03-25,30011.0,Self-Stick Notes
35,2021-03-26,39143.0,Self-Stick Notes
36,2021-03-27,39143.0,Self-Stick Notes
37,2021-03-28,39143.0,Self-Stick Notes
38,2021-03-29,39143.0,Self-Stick Notes
39,2021-03-30,39143.0,Self-Stick Notes
40,2021-03-31,39143.0,Self-Stick Notes
41,2021-04-01,98157.0,Self-Stick Notes
42,2021-04-02,116224.0,Self-Stick Notes
43,2021-04-03,116224.0,Self-Stick Notes
44,2021-04-04,116224.0,Self-Stick Notes
45,2021-04-05,116224.0,Self-Stick Notes
46,2021-04-06,116224.0,Self-Stick Notes
47,2021-04-07,86728.0,Self-Stick Notes
48,2021-04-08,86728.0,Self-Stick Notes
49,2021-04-09,86728.0,Self-Stick Notes
50,2021-04-10,58655.0,Self-Stick Notes
51,2021-04-11,58655.0,Self-Stick Notes
