,date,value,name_B08TC1CX1D
0,2021-01-23,23304.0,Sanitary Napkins
1,2021-01-24,23304.0,Sanitary Napkins
2,2021-01-25,26099.0,Sanitary Napkins
3,2021-01-26,26099.0,Sanitary Napkins
4,2021-01-27,26099.0,Sanitary Napkins
5,2021-01-28,28320.0,Sanitary Napkins
6,2021-01-29,28320.0,Sanitary Napkins
7,2021-01-30,28320.0,Sanitary Napkins
8,2021-01-31,28320.0,Sanitary Napkins
9,2021-02-01,27618.0,Sanitary Napkins
10,2021-02-02,27618.0,Sanitary Napkins
11,2021-02-03,27618.0,Sanitary Napkins
12,2021-02-04,27618.0,Sanitary Napkins
13,2021-02-05,27618.0,Sanitary Napkins
14,2021-02-06,26470.0,Sanitary Napkins
15,2021-02-07,26470.0,Sanitary Napkins
16,2021-02-08,26470.0,Sanitary Napkins
17,2021-02-09,26470.0,Sanitary Napkins
18,2021-02-10,32283.0,Sanitary Napkins
19,2021-02-11,32283.0,Sanitary Napkins
20,2021-02-12,32283.0,Sanitary Napkins
21,2021-02-13,32283.0,Sanitary Napkins
22,2021-02-14,32283.0,Sanitary Napkins
23,2021-02-15,32283.0,Sanitary Napkins
24,2021-02-16,32283.0,Sanitary Napkins
25,2021-02-17,32283.0,Sanitary Napkins
26,2021-02-18,32283.0,Sanitary Napkins
27,2021-02-19,28589.0,Sanitary Napkins
28,2021-02-20,25009.0,Sanitary Napkins
29,2021-02-21,25009.0,Sanitary Napkins
30,2021-02-22,25009.0,Sanitary Napkins
31,2021-02-23,25009.0,Sanitary Napkins
32,2021-02-24,25009.0,Sanitary Napkins
33,2021-02-25,28412.0,Sanitary Napkins
34,2021-02-26,28412.0,Sanitary Napkins
35,2021-02-27,28412.0,Sanitary Napkins
36,2021-02-28,28412.0,Sanitary Napkins
37,2021-03-01,23479.0,Sanitary Napkins
38,2021-03-02,27833.0,Sanitary Napkins
39,2021-03-03,27833.0,Sanitary Napkins
40,2021-03-04,27833.0,Sanitary Napkins
41,2021-03-05,27833.0,Sanitary Napkins
42,2021-03-06,27833.0,Sanitary Napkins
43,2021-03-07,27833.0,Sanitary Napkins
44,2021-03-08,31458.0,Sanitary Napkins
45,2021-03-09,31458.0,Sanitary Napkins
46,2021-03-10,37470.0,Sanitary Napkins
47,2021-03-11,37470.0,Sanitary Napkins
48,2021-03-12,27747.0,Sanitary Napkins
49,2021-03-13,27747.0,Sanitary Napkins
50,2021-03-14,27747.0,Sanitary Napkins
51,2021-03-15,27747.0,Sanitary Napkins
52,2021-03-16,27747.0,Sanitary Napkins
53,2021-03-17,27747.0,Sanitary Napkins
54,2021-03-18,21151.0,Sanitary Napkins
55,2021-03-19,21151.0,Sanitary Napkins
56,2021-03-20,21151.0,Sanitary Napkins
57,2021-03-21,21151.0,Sanitary Napkins
58,2021-03-22,21151.0,Sanitary Napkins
59,2021-03-23,28253.0,Sanitary Napkins
60,2021-03-24,28253.0,Sanitary Napkins
61,2021-03-25,28253.0,Sanitary Napkins
62,2021-03-26,28253.0,Sanitary Napkins
63,2021-03-27,28253.0,Sanitary Napkins
64,2021-03-28,28253.0,Sanitary Napkins
65,2021-03-29,26025.0,Sanitary Napkins
66,2021-03-30,26025.0,Sanitary Napkins
67,2021-03-31,26025.0,Sanitary Napkins
68,2021-04-01,26025.0,Sanitary Napkins
69,2021-04-02,26025.0,Sanitary Napkins
70,2021-04-03,24079.0,Sanitary Napkins
71,2021-04-04,24079.0,Sanitary Napkins
72,2021-04-05,18268.0,Sanitary Napkins
73,2021-04-06,18268.0,Sanitary Napkins
74,2021-04-07,18268.0,Sanitary Napkins
75,2021-04-08,37579.0,Sanitary Napkins
76,2021-04-09,37579.0,Sanitary Napkins
77,2021-04-10,37579.0,Sanitary Napkins
78,2021-04-11,37579.0,Sanitary Napkins
79,2021-04-12,37579.0,Sanitary Napkins
80,2021-04-13,37579.0,Sanitary Napkins
81,2021-04-14,22477.0,Sanitary Napkins
82,2021-04-15,22477.0,Sanitary Napkins
83,2021-04-16,22477.0,Sanitary Napkins
84,2021-04-17,22477.0,Sanitary Napkins
85,2021-04-18,22477.0,Sanitary Napkins
86,2021-04-19,22477.0,Sanitary Napkins
87,2021-04-20,22477.0,Sanitary Napkins
88,2021-04-21,22472.0,Sanitary Napkins
89,2021-04-22,24150.0,Sanitary Napkins
90,2021-04-23,20775.0,Sanitary Napkins
91,2021-04-24,20775.0,Sanitary Napkins
92,2021-04-25,20775.0,Sanitary Napkins
93,2021-04-26,20775.0,Sanitary Napkins
94,2021-04-27,20775.0,Sanitary Napkins
95,2021-04-28,23065.0,Sanitary Napkins
96,2021-04-29,23065.0,Sanitary Napkins
97,2021-04-30,23065.0,Sanitary Napkins
98,2021-05-01,23065.0,Sanitary Napkins
99,2021-05-02,23065.0,Sanitary Napkins
100,2021-05-03,23516.0,Sanitary Napkins
101,2021-05-04,23516.0,Sanitary Napkins
102,2021-05-05,23516.0,Sanitary Napkins
103,2021-05-06,24941.0,Sanitary Napkins
104,2021-05-07,28516.0,Sanitary Napkins
105,2021-05-08,28516.0,Sanitary Napkins
106,2021-05-09,28516.0,Sanitary Napkins
107,2021-05-10,28516.0,Sanitary Napkins
108,2021-05-11,25715.0,Sanitary Napkins
109,2021-05-12,25715.0,Sanitary Napkins
110,2021-05-13,25715.0,Sanitary Napkins
111,2021-05-14,24492.0,Sanitary Napkins
112,2021-05-15,29519.0,Sanitary Napkins
113,2021-05-16,29519.0,Sanitary Napkins
114,2021-05-17,29519.0,Sanitary Napkins
115,2021-05-18,30169.0,Sanitary Napkins
116,2021-05-19,30169.0,Sanitary Napkins
117,2021-05-20,27252.0,Sanitary Napkins
118,2021-05-21,21296.0,Sanitary Napkins
119,2021-05-22,21296.0,Sanitary Napkins
120,2021-05-23,21296.0,Sanitary Napkins
121,2021-05-24,21697.0,Sanitary Napkins
122,2021-05-25,26427.0,Sanitary Napkins
123,2021-05-26,26427.0,Sanitary Napkins
124,2021-05-27,26427.0,Sanitary Napkins
125,2021-05-28,26427.0,Sanitary Napkins
126,2021-05-29,24789.0,Sanitary Napkins
127,2021-05-30,24789.0,Sanitary Napkins
128,2021-05-31,24789.0,Sanitary Napkins
129,2021-06-01,21491.0,Sanitary Napkins
130,2021-06-02,21491.0,Sanitary Napkins
