,date,value,name_B08P73FSGM
0,2020-12-09,193084.0,Comforter Sets
1,2020-12-10,193084.0,Comforter Sets
2,2020-12-11,193084.0,Comforter Sets
3,2020-12-12,196755.0,Comforter Sets
4,2020-12-13,196755.0,Comforter Sets
5,2020-12-14,217201.0,Comforter Sets
6,2020-12-15,124628.0,Comforter Sets
7,2020-12-16,160431.0,Comforter Sets
8,2020-12-17,162933.0,Comforter Sets
9,2020-12-18,162933.0,Comforter Sets
10,2020-12-19,162933.0,Comforter Sets
11,2020-12-20,162933.0,Comforter Sets
12,2020-12-21,162933.0,Comforter Sets
13,2020-12-22,162933.0,Comforter Sets
14,2020-12-23,261560.0,Comforter Sets
15,2020-12-24,410150.0,Comforter Sets
16,2020-12-25,410150.0,Comforter Sets
17,2020-12-26,410150.0,Comforter Sets
18,2020-12-27,410150.0,Comforter Sets
19,2020-12-28,637795.0,Comforter Sets
20,2020-12-29,637795.0,Comforter Sets
21,2020-12-30,715510.0,Comforter Sets
22,2020-12-31,715510.0,Comforter Sets
23,2021-01-01,715510.0,Comforter Sets
24,2021-01-02,715510.0,Comforter Sets
25,2021-01-03,715510.0,Comforter Sets
26,2021-01-04,240810.0,Comforter Sets
27,2021-01-05,240810.0,Comforter Sets
28,2021-01-06,240810.0,Comforter Sets
29,2021-01-07,240810.0,Comforter Sets
30,2021-01-08,84817.0,Comforter Sets
31,2021-01-09,77022.0,Comforter Sets
32,2021-01-10,65914.0,Comforter Sets
33,2021-01-11,65914.0,Comforter Sets
34,2021-01-12,53919.0,Comforter Sets
35,2021-01-13,53919.0,Comforter Sets
36,2021-01-14,53919.0,Comforter Sets
37,2021-01-15,60568.0,Comforter Sets
38,2021-01-16,60568.0,Comforter Sets
39,2021-01-17,60568.0,Comforter Sets
40,2021-01-18,60568.0,Comforter Sets
41,2021-01-19,56216.0,Comforter Sets
42,2021-01-20,56216.0,Comforter Sets
43,2021-01-21,56216.0,Comforter Sets
44,2021-01-22,36014.0,Comforter Sets
45,2021-01-23,36014.0,Comforter Sets
46,2021-01-24,36014.0,Comforter Sets
47,2021-01-25,36014.0,Comforter Sets
48,2021-01-26,38738.0,Comforter Sets
49,2021-01-27,38738.0,Comforter Sets
50,2021-01-28,38738.0,Comforter Sets
51,2021-01-29,27941.0,Comforter Sets
52,2021-01-30,30378.0,Comforter Sets
53,2021-01-31,30378.0,Comforter Sets
54,2021-02-01,30378.0,Comforter Sets
55,2021-02-02,31387.0,Comforter Sets
56,2021-02-03,43103.0,Comforter Sets
57,2021-02-04,43103.0,Comforter Sets
58,2021-02-05,43103.0,Comforter Sets
59,2021-02-06,43103.0,Comforter Sets
60,2021-02-07,112695.0,Comforter Sets
61,2021-02-08,112695.0,Comforter Sets
62,2021-02-09,112695.0,Comforter Sets
63,2021-02-10,112695.0,Comforter Sets
64,2021-02-11,112695.0,Comforter Sets
65,2021-02-12,112695.0,Comforter Sets
66,2021-02-13,143549.0,Comforter Sets
