,date,value,name_B092931BX3
0,2021-04-19,12232.0,LED Bulbs
1,2021-04-20,12098.0,LED Bulbs
2,2021-04-21,12098.0,LED Bulbs
3,2021-04-22,11901.0,LED Bulbs
4,2021-04-23,11901.0,LED Bulbs
5,2021-04-24,12751.0,LED Bulbs
6,2021-04-25,12751.0,LED Bulbs
7,2021-04-26,10071.0,LED Bulbs
8,2021-04-27,10071.0,LED Bulbs
9,2021-04-28,10071.0,LED Bulbs
10,2021-04-29,11548.0,LED Bulbs
11,2021-04-30,10174.0,LED Bulbs
12,2021-05-01,10174.0,LED Bulbs
13,2021-05-02,9824.0,LED Bulbs
14,2021-05-03,9824.0,LED Bulbs
15,2021-05-04,10131.0,LED Bulbs
16,2021-05-05,7402.0,LED Bulbs
17,2021-05-06,7402.0,LED Bulbs
18,2021-05-07,7402.0,LED Bulbs
19,2021-05-08,9417.0,LED Bulbs
20,2021-05-09,9417.0,LED Bulbs
21,2021-05-10,9417.0,LED Bulbs
22,2021-05-11,10228.0,LED Bulbs
23,2021-05-12,9804.0,LED Bulbs
24,2021-05-13,9804.0,LED Bulbs
25,2021-05-14,9804.0,LED Bulbs
26,2021-05-15,11435.0,LED Bulbs
27,2021-05-16,11961.0,LED Bulbs
28,2021-05-17,11961.0,LED Bulbs
29,2021-05-18,12284.0,LED Bulbs
30,2021-05-19,12284.0,LED Bulbs
31,2021-05-20,11786.0,LED Bulbs
32,2021-05-21,11786.0,LED Bulbs
33,2021-05-22,13528.0,LED Bulbs
34,2021-05-23,10605.0,LED Bulbs
35,2021-05-24,10605.0,LED Bulbs
36,2021-05-25,11771.0,LED Bulbs
37,2021-05-26,11771.0,LED Bulbs
38,2021-05-27,11771.0,LED Bulbs
39,2021-05-28,9389.0,LED Bulbs
40,2021-05-29,9389.0,LED Bulbs
41,2021-05-30,8041.0,LED Bulbs
42,2021-05-31,8041.0,LED Bulbs
43,2021-06-01,8257.0,LED Bulbs
44,2021-06-02,8257.0,LED Bulbs
45,2021-06-03,11111.0,LED Bulbs
46,2021-06-04,11111.0,LED Bulbs
47,2021-06-05,8618.0,LED Bulbs
48,2021-06-06,8618.0,LED Bulbs
49,2021-06-07,10125.0,LED Bulbs
50,2021-06-08,10879.0,LED Bulbs
51,2021-06-09,10879.0,LED Bulbs
52,2021-06-10,11336.0,LED Bulbs
53,2021-06-11,11336.0,LED Bulbs
54,2021-06-12,9218.0,LED Bulbs
55,2021-06-13,9218.0,LED Bulbs
56,2021-06-14,9218.0,LED Bulbs
57,2021-06-15,6337.0,LED Bulbs
58,2021-06-16,6337.0,LED Bulbs
59,2021-06-17,4360.0,LED Bulbs
60,2021-06-18,3995.0,LED Bulbs
61,2021-06-19,3995.0,LED Bulbs
62,2021-06-20,4101.0,LED Bulbs
63,2021-06-21,4995.0,LED Bulbs
64,2021-06-22,4995.0,LED Bulbs
65,2021-06-23,2975.0,LED Bulbs
66,2021-06-24,2975.0,LED Bulbs
67,2021-06-25,5341.0,LED Bulbs
68,2021-06-26,5341.0,LED Bulbs
69,2021-06-27,5341.0,LED Bulbs
70,2021-06-28,7459.0,LED Bulbs
71,2021-06-29,7459.0,LED Bulbs
72,2021-06-30,7479.0,LED Bulbs
73,2021-07-01,7479.0,LED Bulbs
74,2021-07-02,5846.0,LED Bulbs
75,2021-07-03,5846.0,LED Bulbs
76,2021-07-04,5846.0,LED Bulbs
77,2021-07-05,7937.0,LED Bulbs
78,2021-07-06,7937.0,LED Bulbs
79,2021-07-07,7937.0,LED Bulbs
80,2021-07-08,6517.0,LED Bulbs
81,2021-07-09,6517.0,LED Bulbs
82,2021-07-10,6379.0,LED Bulbs
83,2021-07-11,6397.0,LED Bulbs
