,date,value,name_B07YDKP4X8
0,2019-12-04,517381.0,Floating Shelves
1,2019-12-05,517381.0,Floating Shelves
2,2019-12-06,517381.0,Floating Shelves
3,2019-12-07,517381.0,Floating Shelves
4,2019-12-08,517381.0,Floating Shelves
5,2019-12-09,517381.0,Floating Shelves
6,2019-12-10,323701.0,Floating Shelves
7,2019-12-11,323701.0,Floating Shelves
8,2019-12-12,323701.0,Floating Shelves
9,2019-12-13,323701.0,Floating Shelves
10,2019-12-14,323701.0,Floating Shelves
11,2019-12-15,323701.0,Floating Shelves
12,2019-12-16,323701.0,Floating Shelves
13,2019-12-17,205614.0,Floating Shelves
14,2019-12-18,205614.0,Floating Shelves
15,2019-12-19,205614.0,Floating Shelves
16,2019-12-20,205614.0,Floating Shelves
17,2019-12-21,205614.0,Floating Shelves
18,2019-12-22,138660.0,Floating Shelves
19,2019-12-23,173758.0,Floating Shelves
20,2019-12-24,173758.0,Floating Shelves
21,2019-12-25,173758.0,Floating Shelves
22,2019-12-26,173758.0,Floating Shelves
23,2019-12-27,173758.0,Floating Shelves
24,2019-12-28,82290.0,Floating Shelves
25,2019-12-29,82290.0,Floating Shelves
26,2019-12-30,82290.0,Floating Shelves
27,2019-12-31,82290.0,Floating Shelves
28,2020-01-01,82290.0,Floating Shelves
29,2020-01-02,82290.0,Floating Shelves
30,2020-01-03,95607.0,Floating Shelves
31,2020-01-04,95607.0,Floating Shelves
32,2020-01-05,95607.0,Floating Shelves
33,2020-01-06,87724.0,Floating Shelves
34,2020-01-07,87724.0,Floating Shelves
35,2020-01-08,66628.0,Floating Shelves
36,2020-01-09,66628.0,Floating Shelves
37,2020-01-10,66628.0,Floating Shelves
38,2020-01-11,66628.0,Floating Shelves
39,2020-01-12,66628.0,Floating Shelves
40,2020-01-13,38732.0,Floating Shelves
41,2020-01-14,38732.0,Floating Shelves
42,2020-01-15,30157.0,Floating Shelves
43,2020-01-16,30157.0,Floating Shelves
44,2020-01-17,30157.0,Floating Shelves
45,2020-01-18,30157.0,Floating Shelves
46,2020-01-19,30157.0,Floating Shelves
47,2020-01-20,30157.0,Floating Shelves
48,2020-01-21,30157.0,Floating Shelves
49,2020-01-22,58871.0,Floating Shelves
50,2020-01-23,60600.0,Floating Shelves
51,2020-01-24,60600.0,Floating Shelves
52,2020-01-25,31286.0,Floating Shelves
53,2020-01-26,16538.0,Floating Shelves
54,2020-01-27,16538.0,Floating Shelves
55,2020-01-28,16538.0,Floating Shelves
56,2020-01-29,16538.0,Floating Shelves
57,2020-01-30,16538.0,Floating Shelves
58,2020-01-31,16538.0,Floating Shelves
59,2020-02-01,16538.0,Floating Shelves
60,2020-02-02,29294.0,Floating Shelves
61,2020-02-03,29294.0,Floating Shelves
62,2020-02-04,23946.0,Floating Shelves
63,2020-02-05,23946.0,Floating Shelves
64,2020-02-06,22115.0,Floating Shelves
65,2020-02-07,22115.0,Floating Shelves
66,2020-02-08,27350.0,Floating Shelves
67,2020-02-09,23128.0,Floating Shelves
68,2020-02-10,23128.0,Floating Shelves
69,2020-02-11,23420.0,Floating Shelves
70,2020-02-12,23420.0,Floating Shelves
71,2020-02-13,23420.0,Floating Shelves
72,2020-02-14,32576.0,Floating Shelves
73,2020-02-15,32576.0,Floating Shelves
74,2020-02-16,32576.0,Floating Shelves
75,2020-02-17,32576.0,Floating Shelves
76,2020-02-18,32576.0,Floating Shelves
77,2020-02-19,34264.0,Floating Shelves
78,2020-02-20,27126.0,Floating Shelves
79,2020-02-21,27126.0,Floating Shelves
80,2020-02-22,32325.0,Floating Shelves
81,2020-02-23,32325.0,Floating Shelves
82,2020-02-24,32325.0,Floating Shelves
83,2020-02-25,32325.0,Floating Shelves
84,2020-02-26,21871.0,Floating Shelves
85,2020-02-27,21560.0,Floating Shelves
86,2020-02-28,19681.0,Floating Shelves
87,2020-02-29,21774.0,Floating Shelves
88,2020-03-01,28156.0,Floating Shelves
89,2020-03-02,22276.0,Floating Shelves
90,2020-03-03,29722.0,Floating Shelves
91,2020-03-04,32350.0,Floating Shelves
92,2020-03-05,32350.0,Floating Shelves
93,2020-03-06,32350.0,Floating Shelves
94,2020-03-07,24472.0,Floating Shelves
95,2020-03-08,24472.0,Floating Shelves
96,2020-03-09,34853.0,Floating Shelves
97,2020-03-10,39293.0,Floating Shelves
98,2020-03-11,27620.0,Floating Shelves
99,2020-03-12,27620.0,Floating Shelves
100,2020-03-13,27620.0,Floating Shelves
101,2020-03-14,34103.0,Floating Shelves
102,2020-03-15,34103.0,Floating Shelves
103,2020-03-16,34103.0,Floating Shelves
104,2020-03-17,34103.0,Floating Shelves
105,2020-03-18,34103.0,Floating Shelves
106,2020-03-19,44644.0,Floating Shelves
107,2020-03-20,44644.0,Floating Shelves
108,2020-03-21,44644.0,Floating Shelves
109,2020-03-22,44644.0,Floating Shelves
110,2020-03-23,44644.0,Floating Shelves
111,2020-03-24,19105.0,Floating Shelves
112,2020-03-25,19105.0,Floating Shelves
113,2020-03-26,17887.0,Floating Shelves
114,2020-03-27,17887.0,Floating Shelves
115,2020-03-28,19462.0,Floating Shelves
116,2020-03-29,17279.0,Floating Shelves
117,2020-03-30,17279.0,Floating Shelves
118,2020-03-31,19754.0,Floating Shelves
119,2020-04-01,16489.0,Floating Shelves
120,2020-04-02,16489.0,Floating Shelves
121,2020-04-03,16291.0,Floating Shelves
122,2020-04-04,17652.0,Floating Shelves
123,2020-04-05,13857.0,Floating Shelves
124,2020-04-06,13857.0,Floating Shelves
125,2020-04-07,17390.0,Floating Shelves
126,2020-04-08,25960.0,Floating Shelves
127,2020-04-09,25960.0,Floating Shelves
128,2020-04-10,35605.0,Floating Shelves
129,2020-04-11,35605.0,Floating Shelves
130,2020-04-12,35605.0,Floating Shelves
131,2020-04-13,21573.0,Floating Shelves
132,2020-04-14,21573.0,Floating Shelves
133,2020-04-15,21573.0,Floating Shelves
134,2020-04-16,10454.0,Floating Shelves
135,2020-04-17,8372.0,Floating Shelves
136,2020-04-18,8372.0,Floating Shelves
137,2020-04-19,13316.0,Floating Shelves
138,2020-04-20,13316.0,Floating Shelves
139,2020-04-21,11932.0,Floating Shelves
140,2020-04-22,11932.0,Floating Shelves
141,2020-04-23,9794.0,Floating Shelves
142,2020-04-24,10080.0,Floating Shelves
143,2020-04-25,10080.0,Floating Shelves
144,2020-04-26,10080.0,Floating Shelves
145,2020-04-27,8341.0,Floating Shelves
146,2020-04-28,11973.0,Floating Shelves
147,2020-04-29,11973.0,Floating Shelves
148,2020-04-30,10680.0,Floating Shelves
149,2020-05-01,10680.0,Floating Shelves
150,2020-05-02,8086.0,Floating Shelves
151,2020-05-03,8086.0,Floating Shelves
152,2020-05-04,8086.0,Floating Shelves
153,2020-05-05,9873.0,Floating Shelves
