,date,value,name_B08PW1JKWJ
0,2020-12-16,30775.0,Open Storage Bins
1,2020-12-17,30775.0,Open Storage Bins
2,2020-12-18,32107.0,Open Storage Bins
3,2020-12-19,32107.0,Open Storage Bins
4,2020-12-20,32107.0,Open Storage Bins
5,2020-12-21,32107.0,Open Storage Bins
6,2020-12-22,32107.0,Open Storage Bins
7,2020-12-23,42118.0,Open Storage Bins
8,2020-12-24,39268.0,Open Storage Bins
9,2020-12-25,43834.0,Open Storage Bins
10,2020-12-26,43834.0,Open Storage Bins
11,2020-12-27,39540.0,Open Storage Bins
12,2020-12-28,57404.0,Open Storage Bins
13,2020-12-29,57404.0,Open Storage Bins
14,2020-12-30,48576.0,Open Storage Bins
15,2020-12-31,60324.0,Open Storage Bins
16,2021-01-01,60324.0,Open Storage Bins
17,2021-01-02,41218.0,Open Storage Bins
18,2021-01-03,41218.0,Open Storage Bins
19,2021-01-04,39515.0,Open Storage Bins
20,2021-01-05,24676.0,Open Storage Bins
21,2021-01-06,24279.0,Open Storage Bins
22,2021-01-07,24279.0,Open Storage Bins
23,2021-01-08,32848.0,Open Storage Bins
24,2021-01-09,23289.0,Open Storage Bins
25,2021-01-10,23289.0,Open Storage Bins
26,2021-01-11,23289.0,Open Storage Bins
27,2021-01-12,37591.0,Open Storage Bins
28,2021-01-13,35693.0,Open Storage Bins
29,2021-01-14,35693.0,Open Storage Bins
30,2021-01-15,32686.0,Open Storage Bins
31,2021-01-16,31026.0,Open Storage Bins
32,2021-01-17,31026.0,Open Storage Bins
33,2021-01-18,31026.0,Open Storage Bins
34,2021-01-19,31026.0,Open Storage Bins
35,2021-01-20,31026.0,Open Storage Bins
36,2021-01-21,31026.0,Open Storage Bins
37,2021-01-22,124197.0,Open Storage Bins
38,2021-01-23,159382.0,Open Storage Bins
39,2021-01-24,159382.0,Open Storage Bins
40,2021-01-25,159382.0,Open Storage Bins
41,2021-01-26,220842.0,Open Storage Bins
42,2021-01-27,220842.0,Open Storage Bins
43,2021-01-28,132208.0,Open Storage Bins
44,2021-01-29,132208.0,Open Storage Bins
45,2021-01-30,132208.0,Open Storage Bins
46,2021-01-31,132208.0,Open Storage Bins
47,2021-02-01,70768.0,Open Storage Bins
48,2021-02-02,70768.0,Open Storage Bins
49,2021-02-03,91707.0,Open Storage Bins
50,2021-02-04,91707.0,Open Storage Bins
51,2021-02-05,91707.0,Open Storage Bins
52,2021-02-06,91707.0,Open Storage Bins
53,2021-02-07,91707.0,Open Storage Bins
54,2021-02-08,98029.0,Open Storage Bins
55,2021-02-09,98049.0,Open Storage Bins
56,2021-02-10,98049.0,Open Storage Bins
57,2021-02-11,98049.0,Open Storage Bins
58,2021-02-12,98049.0,Open Storage Bins
59,2021-02-13,98049.0,Open Storage Bins
60,2021-02-14,168859.0,Open Storage Bins
61,2021-02-15,168859.0,Open Storage Bins
62,2021-02-16,168859.0,Open Storage Bins
63,2021-02-17,168859.0,Open Storage Bins
64,2021-02-18,168859.0,Open Storage Bins
65,2021-02-19,172291.0,Open Storage Bins
66,2021-02-20,172291.0,Open Storage Bins
67,2021-02-21,172291.0,Open Storage Bins
68,2021-02-22,336949.0,Open Storage Bins
69,2021-02-23,336949.0,Open Storage Bins
70,2021-02-24,336949.0,Open Storage Bins
71,2021-02-25,541282.0,Open Storage Bins
72,2021-02-26,541282.0,Open Storage Bins
73,2021-02-27,541282.0,Open Storage Bins
74,2021-02-28,541282.0,Open Storage Bins
75,2021-03-01,213919.0,Open Storage Bins
76,2021-03-02,192643.0,Open Storage Bins
77,2021-03-03,192643.0,Open Storage Bins
78,2021-03-04,168211.0,Open Storage Bins
79,2021-03-05,168211.0,Open Storage Bins
80,2021-03-06,168211.0,Open Storage Bins
81,2021-03-07,168211.0,Open Storage Bins
82,2021-03-08,168211.0,Open Storage Bins
83,2021-03-09,54759.0,Open Storage Bins
84,2021-03-10,54759.0,Open Storage Bins
85,2021-03-11,54759.0,Open Storage Bins
86,2021-03-12,54759.0,Open Storage Bins
87,2021-03-13,48230.0,Open Storage Bins
88,2021-03-14,29358.0,Open Storage Bins
89,2021-03-15,29358.0,Open Storage Bins
90,2021-03-16,29358.0,Open Storage Bins
91,2021-03-17,27313.0,Open Storage Bins
92,2021-03-18,32027.0,Open Storage Bins
93,2021-03-19,32027.0,Open Storage Bins
94,2021-03-20,32027.0,Open Storage Bins
95,2021-03-21,39724.0,Open Storage Bins
96,2021-03-22,39724.0,Open Storage Bins
97,2021-03-23,39724.0,Open Storage Bins
98,2021-03-24,39724.0,Open Storage Bins
99,2021-03-25,38046.0,Open Storage Bins
100,2021-03-26,38046.0,Open Storage Bins
101,2021-03-27,38046.0,Open Storage Bins
102,2021-03-28,32730.0,Open Storage Bins
103,2021-03-29,32730.0,Open Storage Bins
104,2021-03-30,32730.0,Open Storage Bins
105,2021-03-31,32730.0,Open Storage Bins
106,2021-04-01,32730.0,Open Storage Bins
107,2021-04-02,38237.0,Open Storage Bins
108,2021-04-03,38237.0,Open Storage Bins
109,2021-04-04,38237.0,Open Storage Bins
110,2021-04-05,38237.0,Open Storage Bins
111,2021-04-06,34747.0,Open Storage Bins
112,2021-04-07,32072.0,Open Storage Bins
113,2021-04-08,34947.0,Open Storage Bins
114,2021-04-09,34947.0,Open Storage Bins
115,2021-04-10,33674.0,Open Storage Bins
116,2021-04-11,28744.0,Open Storage Bins
117,2021-04-12,28744.0,Open Storage Bins
118,2021-04-13,25985.0,Open Storage Bins
119,2021-04-14,36502.0,Open Storage Bins
120,2021-04-15,36502.0,Open Storage Bins
121,2021-04-16,36502.0,Open Storage Bins
122,2021-04-17,41595.0,Open Storage Bins
123,2021-04-18,41595.0,Open Storage Bins
124,2021-04-19,41595.0,Open Storage Bins
125,2021-04-20,24460.0,Open Storage Bins
126,2021-04-21,24460.0,Open Storage Bins
127,2021-04-22,30522.0,Open Storage Bins
128,2021-04-23,30522.0,Open Storage Bins
129,2021-04-24,30522.0,Open Storage Bins
130,2021-04-25,25923.0,Open Storage Bins
131,2021-04-26,25923.0,Open Storage Bins
132,2021-04-27,25923.0,Open Storage Bins
133,2021-04-28,27268.0,Open Storage Bins
134,2021-04-29,54212.0,Open Storage Bins
135,2021-04-30,54212.0,Open Storage Bins
136,2021-05-01,54212.0,Open Storage Bins
137,2021-05-02,72970.0,Open Storage Bins
138,2021-05-03,72970.0,Open Storage Bins
139,2021-05-04,62656.0,Open Storage Bins
140,2021-05-05,59275.0,Open Storage Bins
141,2021-05-06,59275.0,Open Storage Bins
142,2021-05-07,71483.0,Open Storage Bins
143,2021-05-08,71483.0,Open Storage Bins
144,2021-05-09,71483.0,Open Storage Bins
145,2021-05-10,87253.0,Open Storage Bins
146,2021-05-11,112643.0,Open Storage Bins
147,2021-05-12,112643.0,Open Storage Bins
148,2021-05-13,112643.0,Open Storage Bins
149,2021-05-14,103624.0,Open Storage Bins
150,2021-05-15,103624.0,Open Storage Bins
151,2021-05-16,103624.0,Open Storage Bins
152,2021-05-17,103624.0,Open Storage Bins
153,2021-05-18,127325.0,Open Storage Bins
154,2021-05-19,127325.0,Open Storage Bins
155,2021-05-20,127325.0,Open Storage Bins
156,2021-05-21,94267.0,Open Storage Bins
157,2021-05-22,82493.0,Open Storage Bins
158,2021-05-23,82493.0,Open Storage Bins
159,2021-05-24,82493.0,Open Storage Bins
160,2021-05-25,101472.0,Open Storage Bins
161,2021-05-26,101472.0,Open Storage Bins
162,2021-05-27,101472.0,Open Storage Bins
163,2021-05-28,101472.0,Open Storage Bins
164,2021-05-29,93028.0,Open Storage Bins
165,2021-05-30,93028.0,Open Storage Bins
166,2021-05-31,93028.0,Open Storage Bins
167,2021-06-01,75370.0,Open Storage Bins
168,2021-06-02,95245.0,Open Storage Bins
169,2021-06-03,95245.0,Open Storage Bins
170,2021-06-04,95245.0,Open Storage Bins
171,2021-06-05,95245.0,Open Storage Bins
172,2021-06-06,95245.0,Open Storage Bins
173,2021-06-07,59946.0,Open Storage Bins
174,2021-06-08,59946.0,Open Storage Bins
175,2021-06-09,59946.0,Open Storage Bins
176,2021-06-10,59946.0,Open Storage Bins
177,2021-06-11,59946.0,Open Storage Bins
178,2021-06-12,59946.0,Open Storage Bins
179,2021-06-13,59946.0,Open Storage Bins
180,2021-06-14,19267.0,Open Storage Bins
181,2021-06-15,19267.0,Open Storage Bins
182,2021-06-16,19267.0,Open Storage Bins
183,2021-06-17,19267.0,Open Storage Bins
184,2021-06-18,19267.0,Open Storage Bins
185,2021-06-19,30279.0,Open Storage Bins
186,2021-06-20,30279.0,Open Storage Bins
187,2021-06-21,30279.0,Open Storage Bins
188,2021-06-22,25705.0,Open Storage Bins
189,2021-06-23,25705.0,Open Storage Bins
190,2021-06-24,25705.0,Open Storage Bins
191,2021-06-25,25705.0,Open Storage Bins
192,2021-06-26,36254.0,Open Storage Bins
193,2021-06-27,36254.0,Open Storage Bins
194,2021-06-28,36254.0,Open Storage Bins
195,2021-06-29,36254.0,Open Storage Bins
196,2021-06-30,36779.0,Open Storage Bins
197,2021-07-01,36779.0,Open Storage Bins
198,2021-07-02,31356.0,Open Storage Bins
199,2021-07-03,31356.0,Open Storage Bins
200,2021-07-04,31356.0,Open Storage Bins
201,2021-07-05,53157.0,Open Storage Bins
202,2021-07-06,53157.0,Open Storage Bins
203,2021-07-07,53157.0,Open Storage Bins
204,2021-07-08,43440.0,Open Storage Bins
205,2021-07-09,50950.0,Open Storage Bins
206,2021-07-10,50950.0,Open Storage Bins
207,2021-07-11,62925.0,Open Storage Bins
