,date,value,name_B08X1VV4WD
0,2021-02-28,2920.0,Flags
1,2021-03-01,2920.0,Flags
2,2021-03-02,2620.0,Flags
3,2021-03-03,2620.0,Flags
4,2021-03-04,1242.0,Flags
5,2021-03-05,1716.0,Flags
6,2021-03-06,1716.0,Flags
7,2021-03-07,2237.0,Flags
8,2021-03-08,2704.0,Flags
9,2021-03-09,2704.0,Flags
10,2021-03-10,1766.0,Flags
11,2021-03-11,1832.0,Flags
12,2021-03-12,1438.0,Flags
13,2021-03-13,2037.0,Flags
14,2021-03-14,2037.0,Flags
15,2021-03-15,2094.0,Flags
16,2021-03-16,1759.0,Flags
17,2021-03-17,1989.0,Flags
18,2021-03-18,2133.0,Flags
19,2021-03-19,2133.0,Flags
20,2021-03-20,2133.0,Flags
21,2021-03-21,2229.0,Flags
22,2021-03-22,1092.0,Flags
23,2021-03-23,1092.0,Flags
24,2021-03-24,2071.0,Flags
25,2021-03-25,1700.0,Flags
26,2021-03-26,1700.0,Flags
27,2021-03-27,1437.0,Flags
28,2021-03-28,1097.0,Flags
29,2021-03-29,1097.0,Flags
30,2021-03-30,1097.0,Flags
31,2021-03-31,1045.0,Flags
32,2021-04-01,1266.0,Flags
33,2021-04-02,1558.0,Flags
34,2021-04-03,1558.0,Flags
35,2021-04-04,1558.0,Flags
36,2021-04-05,1289.0,Flags
37,2021-04-06,1289.0,Flags
38,2021-04-07,1404.0,Flags
39,2021-04-08,1404.0,Flags
40,2021-04-09,1519.0,Flags
41,2021-04-10,1625.0,Flags
42,2021-04-11,1625.0,Flags
43,2021-04-12,948.0,Flags
44,2021-04-13,948.0,Flags
45,2021-04-14,1723.0,Flags
46,2021-04-15,1583.0,Flags
47,2021-04-16,1583.0,Flags
48,2021-04-17,1509.0,Flags
49,2021-04-18,1509.0,Flags
50,2021-04-19,1742.0,Flags
51,2021-04-20,1742.0,Flags
52,2021-04-21,1624.0,Flags
53,2021-04-22,1624.0,Flags
54,2021-04-23,1624.0,Flags
55,2021-04-24,1451.0,Flags
56,2021-04-25,1451.0,Flags
57,2021-04-26,1637.0,Flags
58,2021-04-27,1637.0,Flags
59,2021-04-28,1705.0,Flags
60,2021-04-29,1599.0,Flags
61,2021-04-30,1599.0,Flags
62,2021-05-01,1655.0,Flags
63,2021-05-02,1732.0,Flags
64,2021-05-03,1732.0,Flags
65,2021-05-04,1732.0,Flags
66,2021-05-05,1410.0,Flags
67,2021-05-06,1401.0,Flags
68,2021-05-07,1401.0,Flags
69,2021-05-08,1680.0,Flags
70,2021-05-09,1680.0,Flags
71,2021-05-10,1445.0,Flags
72,2021-05-11,1445.0,Flags
73,2021-05-12,1901.0,Flags
74,2021-05-13,1901.0,Flags
75,2021-05-14,1675.0,Flags
76,2021-05-15,1675.0,Flags
77,2021-05-16,1675.0,Flags
78,2021-05-17,1728.0,Flags
79,2021-05-18,1728.0,Flags
80,2021-05-19,1524.0,Flags
81,2021-05-20,1673.0,Flags
82,2021-05-21,1673.0,Flags
83,2021-05-22,1923.0,Flags
84,2021-05-23,1923.0,Flags
85,2021-05-24,2141.0,Flags
86,2021-05-25,2027.0,Flags
87,2021-05-26,2027.0,Flags
88,2021-05-27,1406.0,Flags
89,2021-05-28,1406.0,Flags
90,2021-05-29,1468.0,Flags
91,2021-05-30,1468.0,Flags
92,2021-05-31,1648.0,Flags
93,2021-06-01,1662.0,Flags
94,2021-06-02,1662.0,Flags
95,2021-06-03,2233.0,Flags
96,2021-06-04,2331.0,Flags
97,2021-06-05,2331.0,Flags
98,2021-06-06,2564.0,Flags
99,2021-06-07,2564.0,Flags
100,2021-06-08,2211.0,Flags
101,2021-06-09,1920.0,Flags
102,2021-06-10,1505.0,Flags
103,2021-06-11,1533.0,Flags
104,2021-06-12,1234.0,Flags
105,2021-06-13,1461.0,Flags
106,2021-06-14,1461.0,Flags
107,2021-06-15,2005.0,Flags
108,2021-06-16,2119.0,Flags
109,2021-06-17,2059.0,Flags
110,2021-06-18,2102.0,Flags
111,2021-06-19,2129.0,Flags
112,2021-06-20,2129.0,Flags
113,2021-06-21,2486.0,Flags
114,2021-06-22,2486.0,Flags
115,2021-06-23,3989.0,Flags
116,2021-06-24,3989.0,Flags
117,2021-06-25,2040.0,Flags
118,2021-06-26,2028.0,Flags
119,2021-06-27,2028.0,Flags
120,2021-06-28,1830.0,Flags
121,2021-06-29,1893.0,Flags
122,2021-06-30,1893.0,Flags
123,2021-07-01,1644.0,Flags
124,2021-07-02,1560.0,Flags
125,2021-07-03,1560.0,Flags
126,2021-07-04,1560.0,Flags
127,2021-07-05,2441.0,Flags
128,2021-07-06,2441.0,Flags
129,2021-07-07,3820.0,Flags
130,2021-07-08,3407.0,Flags
131,2021-07-09,3407.0,Flags
132,2021-07-10,4628.0,Flags
