,date,value,name_B07CGVNSFJ
0,2020-05-25,2131.0,Adhesive Card Holders
1,2020-05-26,2131.0,Adhesive Card Holders
2,2020-05-27,2130.0,Adhesive Card Holders
3,2020-05-28,2130.0,Adhesive Card Holders
4,2020-05-29,2070.0,Adhesive Card Holders
5,2020-05-30,2070.0,Adhesive Card Holders
6,2020-05-31,2070.0,Adhesive Card Holders
7,2020-06-01,1447.0,Adhesive Card Holders
8,2020-06-02,1447.0,Adhesive Card Holders
9,2020-06-03,1447.0,Adhesive Card Holders
10,2020-06-04,1685.0,Adhesive Card Holders
11,2020-06-05,1685.0,Adhesive Card Holders
12,2020-06-06,1685.0,Adhesive Card Holders
13,2020-06-07,2392.0,Adhesive Card Holders
14,2020-06-08,1898.0,Adhesive Card Holders
15,2020-06-09,2130.0,Adhesive Card Holders
16,2020-06-10,1896.0,Adhesive Card Holders
17,2020-06-11,1896.0,Adhesive Card Holders
18,2020-06-12,1896.0,Adhesive Card Holders
19,2020-06-13,1896.0,Adhesive Card Holders
20,2020-06-14,1896.0,Adhesive Card Holders
21,2020-06-15,1545.0,Adhesive Card Holders
22,2020-06-16,1545.0,Adhesive Card Holders
23,2020-06-17,1545.0,Adhesive Card Holders
24,2020-06-18,1545.0,Adhesive Card Holders
25,2020-06-19,1552.0,Adhesive Card Holders
26,2020-06-20,1552.0,Adhesive Card Holders
27,2020-06-21,1552.0,Adhesive Card Holders
28,2020-06-22,1565.0,Adhesive Card Holders
29,2020-06-23,1565.0,Adhesive Card Holders
30,2020-06-24,1565.0,Adhesive Card Holders
31,2020-06-25,1441.0,Adhesive Card Holders
32,2020-06-26,1385.0,Adhesive Card Holders
33,2020-06-27,1385.0,Adhesive Card Holders
34,2020-06-28,1385.0,Adhesive Card Holders
35,2020-06-29,1440.0,Adhesive Card Holders
36,2020-06-30,1425.0,Adhesive Card Holders
37,2020-07-01,1425.0,Adhesive Card Holders
38,2020-07-02,1461.0,Adhesive Card Holders
39,2020-07-03,1461.0,Adhesive Card Holders
40,2020-07-04,1289.0,Adhesive Card Holders
41,2020-07-05,1289.0,Adhesive Card Holders
42,2020-07-06,1289.0,Adhesive Card Holders
43,2020-07-07,1323.0,Adhesive Card Holders
44,2020-07-08,1523.0,Adhesive Card Holders
45,2020-07-09,1271.0,Adhesive Card Holders
46,2020-07-10,1611.0,Adhesive Card Holders
47,2020-07-11,1611.0,Adhesive Card Holders
48,2020-07-12,1611.0,Adhesive Card Holders
49,2020-07-13,1480.0,Adhesive Card Holders
50,2020-07-14,1480.0,Adhesive Card Holders
51,2020-07-15,1480.0,Adhesive Card Holders
52,2020-07-16,1385.0,Adhesive Card Holders
53,2020-07-17,1385.0,Adhesive Card Holders
54,2020-07-18,1385.0,Adhesive Card Holders
55,2020-07-19,1293.0,Adhesive Card Holders
56,2020-07-20,1293.0,Adhesive Card Holders
57,2020-07-21,1293.0,Adhesive Card Holders
58,2020-07-22,1535.0,Adhesive Card Holders
59,2020-07-23,1535.0,Adhesive Card Holders
60,2020-07-24,1535.0,Adhesive Card Holders
61,2020-07-25,1611.0,Adhesive Card Holders
62,2020-07-26,1611.0,Adhesive Card Holders
63,2020-07-27,1329.0,Adhesive Card Holders
64,2020-07-28,1329.0,Adhesive Card Holders
65,2020-07-29,1521.0,Adhesive Card Holders
66,2020-07-30,1521.0,Adhesive Card Holders
67,2020-07-31,1675.0,Adhesive Card Holders
68,2020-08-01,1675.0,Adhesive Card Holders
69,2020-08-02,1675.0,Adhesive Card Holders
70,2020-08-03,1385.0,Adhesive Card Holders
71,2020-08-04,1433.0,Adhesive Card Holders
72,2020-08-05,1375.0,Adhesive Card Holders
73,2020-08-06,1377.0,Adhesive Card Holders
74,2020-08-07,1677.0,Adhesive Card Holders
75,2020-08-08,1472.0,Adhesive Card Holders
76,2020-08-09,1472.0,Adhesive Card Holders
77,2020-08-10,1259.0,Adhesive Card Holders
78,2020-08-11,1277.0,Adhesive Card Holders
79,2020-08-12,1447.0,Adhesive Card Holders
80,2020-08-13,1495.0,Adhesive Card Holders
81,2020-08-14,1495.0,Adhesive Card Holders
82,2020-08-15,1267.0,Adhesive Card Holders
83,2020-08-16,1501.0,Adhesive Card Holders
84,2020-08-17,1465.0,Adhesive Card Holders
85,2020-08-18,1510.0,Adhesive Card Holders
86,2020-08-19,1264.0,Adhesive Card Holders
87,2020-08-20,1736.0,Adhesive Card Holders
88,2020-08-21,1490.0,Adhesive Card Holders
89,2020-08-22,1281.0,Adhesive Card Holders
90,2020-08-23,1331.0,Adhesive Card Holders
91,2020-08-24,1423.0,Adhesive Card Holders
92,2020-08-25,1461.0,Adhesive Card Holders
93,2020-08-26,1707.0,Adhesive Card Holders
94,2020-08-27,1591.0,Adhesive Card Holders
95,2020-08-28,1674.0,Adhesive Card Holders
96,2020-08-29,1748.0,Adhesive Card Holders
97,2020-08-30,1817.0,Adhesive Card Holders
98,2020-08-31,1606.0,Adhesive Card Holders
99,2020-09-01,1165.0,Adhesive Card Holders
100,2020-09-02,1358.0,Adhesive Card Holders
