,date,value,name_B081DC4C4S
0,2019-11-18,20847.0,Repellents
1,2019-11-19,30139.0,Repellents
2,2019-11-20,24661.0,Repellents
3,2019-11-21,30565.0,Repellents
4,2019-11-22,25016.0,Repellents
5,2019-11-23,25016.0,Repellents
6,2019-11-24,25016.0,Repellents
7,2019-11-25,31392.0,Repellents
8,2019-11-26,55538.0,Repellents
9,2019-11-27,55538.0,Repellents
10,2019-11-28,32231.0,Repellents
11,2019-11-29,41570.0,Repellents
12,2019-11-30,41570.0,Repellents
13,2019-12-01,32160.0,Repellents
14,2019-12-02,40746.0,Repellents
15,2019-12-03,52080.0,Repellents
16,2019-12-04,52080.0,Repellents
17,2019-12-05,52080.0,Repellents
18,2019-12-06,22938.0,Repellents
19,2019-12-07,33893.0,Repellents
20,2019-12-08,45896.0,Repellents
21,2019-12-09,43120.0,Repellents
22,2019-12-10,21739.0,Repellents
23,2019-12-11,25023.0,Repellents
24,2019-12-12,35280.0,Repellents
25,2019-12-13,35280.0,Repellents
26,2019-12-14,27240.0,Repellents
27,2019-12-15,27240.0,Repellents
28,2019-12-16,22139.0,Repellents
29,2019-12-17,22139.0,Repellents
30,2019-12-18,22139.0,Repellents
31,2019-12-19,20069.0,Repellents
32,2019-12-20,24025.0,Repellents
33,2019-12-21,24025.0,Repellents
34,2019-12-22,24025.0,Repellents
35,2019-12-23,33962.0,Repellents
36,2019-12-24,40603.0,Repellents
37,2019-12-25,40603.0,Repellents
38,2019-12-26,40603.0,Repellents
39,2019-12-27,34192.0,Repellents
40,2019-12-28,34192.0,Repellents
41,2019-12-29,34192.0,Repellents
42,2019-12-30,34192.0,Repellents
43,2019-12-31,43401.0,Repellents
44,2020-01-01,43401.0,Repellents
45,2020-01-02,43401.0,Repellents
46,2020-01-03,43401.0,Repellents
47,2020-01-04,43401.0,Repellents
48,2020-01-05,26407.0,Repellents
49,2020-01-06,26407.0,Repellents
50,2020-01-07,26407.0,Repellents
51,2020-01-08,17336.0,Repellents
52,2020-01-09,17336.0,Repellents
53,2020-01-10,17336.0,Repellents
54,2020-01-11,29023.0,Repellents
55,2020-01-12,29023.0,Repellents
56,2020-01-13,12766.0,Repellents
57,2020-01-14,12766.0,Repellents
58,2020-01-15,18936.0,Repellents
59,2020-01-16,18936.0,Repellents
60,2020-01-17,18936.0,Repellents
61,2020-01-18,18936.0,Repellents
62,2020-01-19,18936.0,Repellents
63,2020-01-20,32667.0,Repellents
64,2020-01-21,32667.0,Repellents
65,2020-01-22,46913.0,Repellents
66,2020-01-23,46913.0,Repellents
67,2020-01-24,46913.0,Repellents
68,2020-01-25,26201.0,Repellents
69,2020-01-26,26201.0,Repellents
70,2020-01-27,26201.0,Repellents
71,2020-01-28,26201.0,Repellents
72,2020-01-29,36198.0,Repellents
73,2020-01-30,36198.0,Repellents
74,2020-01-31,8643.0,Repellents
75,2020-02-01,8643.0,Repellents
76,2020-02-02,8643.0,Repellents
77,2020-02-03,15870.0,Repellents
78,2020-02-04,15870.0,Repellents
79,2020-02-05,15870.0,Repellents
80,2020-02-06,15870.0,Repellents
81,2020-02-07,11910.0,Repellents
82,2020-02-08,11910.0,Repellents
83,2020-02-09,11910.0,Repellents
84,2020-02-10,14659.0,Repellents
85,2020-02-11,14659.0,Repellents
86,2020-02-12,14659.0,Repellents
87,2020-02-13,16917.0,Repellents
88,2020-02-14,16917.0,Repellents
89,2020-02-15,16917.0,Repellents
90,2020-02-16,16917.0,Repellents
91,2020-02-17,18553.0,Repellents
92,2020-02-18,18553.0,Repellents
93,2020-02-19,18553.0,Repellents
94,2020-02-20,13857.0,Repellents
95,2020-02-21,13857.0,Repellents
96,2020-02-22,13857.0,Repellents
97,2020-02-23,15893.0,Repellents
98,2020-02-24,15893.0,Repellents
99,2020-02-25,15893.0,Repellents
100,2020-02-26,13453.0,Repellents
101,2020-02-27,13453.0,Repellents
102,2020-02-28,13453.0,Repellents
103,2020-02-29,14471.0,Repellents
104,2020-03-01,14471.0,Repellents
