,date,value,name_B08HMVR9ZM
0,2021-04-30,4033.0,Balance Bikes
1,2021-05-01,3372.0,Balance Bikes
2,2021-05-02,3372.0,Balance Bikes
3,2021-05-03,3372.0,Balance Bikes
4,2021-05-04,5080.0,Balance Bikes
5,2021-05-05,5080.0,Balance Bikes
6,2021-05-06,2881.0,Balance Bikes
7,2021-05-07,2797.0,Balance Bikes
8,2021-05-08,3961.0,Balance Bikes
9,2021-05-09,3961.0,Balance Bikes
10,2021-05-10,4284.0,Balance Bikes
11,2021-05-11,4284.0,Balance Bikes
12,2021-05-12,4299.0,Balance Bikes
13,2021-05-13,4299.0,Balance Bikes
14,2021-05-14,4299.0,Balance Bikes
15,2021-05-15,4299.0,Balance Bikes
16,2021-05-16,4221.0,Balance Bikes
17,2021-05-17,4221.0,Balance Bikes
18,2021-05-18,3838.0,Balance Bikes
19,2021-05-19,3838.0,Balance Bikes
20,2021-05-20,4792.0,Balance Bikes
21,2021-05-21,4792.0,Balance Bikes
22,2021-05-22,4792.0,Balance Bikes
23,2021-05-23,4708.0,Balance Bikes
24,2021-05-24,4708.0,Balance Bikes
25,2021-05-25,5066.0,Balance Bikes
26,2021-05-26,4127.0,Balance Bikes
27,2021-05-27,4759.0,Balance Bikes
28,2021-05-28,4823.0,Balance Bikes
29,2021-05-29,4390.0,Balance Bikes
30,2021-05-30,4390.0,Balance Bikes
31,2021-05-31,7301.0,Balance Bikes
32,2021-06-01,7301.0,Balance Bikes
33,2021-06-02,6676.0,Balance Bikes
34,2021-06-03,6339.0,Balance Bikes
35,2021-06-04,6339.0,Balance Bikes
36,2021-06-05,5427.0,Balance Bikes
37,2021-06-06,5427.0,Balance Bikes
38,2021-06-07,5320.0,Balance Bikes
39,2021-06-08,6558.0,Balance Bikes
40,2021-06-09,7150.0,Balance Bikes
41,2021-06-10,7150.0,Balance Bikes
42,2021-06-11,6858.0,Balance Bikes
43,2021-06-12,6858.0,Balance Bikes
44,2021-06-13,8317.0,Balance Bikes
45,2021-06-14,8317.0,Balance Bikes
46,2021-06-15,8317.0,Balance Bikes
47,2021-06-16,4620.0,Balance Bikes
48,2021-06-17,3662.0,Balance Bikes
49,2021-06-18,3128.0,Balance Bikes
50,2021-06-19,3128.0,Balance Bikes
51,2021-06-20,3204.0,Balance Bikes
52,2021-06-21,2671.0,Balance Bikes
53,2021-06-22,4750.0,Balance Bikes
54,2021-06-23,4844.0,Balance Bikes
55,2021-06-24,4857.0,Balance Bikes
56,2021-06-25,4857.0,Balance Bikes
57,2021-06-26,4518.0,Balance Bikes
58,2021-06-27,5531.0,Balance Bikes
59,2021-06-28,5798.0,Balance Bikes
60,2021-06-29,5594.0,Balance Bikes
61,2021-06-30,5594.0,Balance Bikes
62,2021-07-01,4945.0,Balance Bikes
63,2021-07-02,3601.0,Balance Bikes
64,2021-07-03,3514.0,Balance Bikes
65,2021-07-04,3514.0,Balance Bikes
66,2021-07-05,3539.0,Balance Bikes
67,2021-07-06,3757.0,Balance Bikes
68,2021-07-07,3501.0,Balance Bikes
69,2021-07-08,3501.0,Balance Bikes
70,2021-07-09,3919.0,Balance Bikes
71,2021-07-10,3919.0,Balance Bikes
72,2021-07-11,3994.0,Balance Bikes
