,date,value,name_B08NP6B77S
0,2020-11-21,324022.0,Throw Pillow Covers
1,2020-11-22,324022.0,Throw Pillow Covers
2,2020-11-23,324022.0,Throw Pillow Covers
3,2020-11-24,67711.0,Throw Pillow Covers
4,2020-11-25,67711.0,Throw Pillow Covers
5,2020-11-26,103864.0,Throw Pillow Covers
6,2020-11-27,103864.0,Throw Pillow Covers
7,2020-11-28,36258.0,Throw Pillow Covers
8,2020-11-29,36258.0,Throw Pillow Covers
9,2020-11-30,36258.0,Throw Pillow Covers
10,2020-12-01,23615.0,Throw Pillow Covers
11,2020-12-02,23615.0,Throw Pillow Covers
12,2020-12-03,74027.0,Throw Pillow Covers
13,2020-12-04,14694.0,Throw Pillow Covers
14,2020-12-05,14694.0,Throw Pillow Covers
15,2020-12-06,14694.0,Throw Pillow Covers
16,2020-12-07,33315.0,Throw Pillow Covers
17,2020-12-08,33315.0,Throw Pillow Covers
18,2020-12-09,33315.0,Throw Pillow Covers
19,2020-12-10,33315.0,Throw Pillow Covers
20,2020-12-11,108654.0,Throw Pillow Covers
21,2020-12-12,165178.0,Throw Pillow Covers
22,2020-12-13,165178.0,Throw Pillow Covers
23,2020-12-14,165178.0,Throw Pillow Covers
24,2020-12-15,89925.0,Throw Pillow Covers
25,2020-12-16,89925.0,Throw Pillow Covers
26,2020-12-17,89925.0,Throw Pillow Covers
27,2020-12-18,89925.0,Throw Pillow Covers
28,2020-12-19,89925.0,Throw Pillow Covers
29,2020-12-20,89925.0,Throw Pillow Covers
30,2020-12-21,189417.0,Throw Pillow Covers
31,2020-12-22,224879.0,Throw Pillow Covers
32,2020-12-23,11298.0,Throw Pillow Covers
33,2020-12-24,11298.0,Throw Pillow Covers
34,2020-12-25,31963.0,Throw Pillow Covers
35,2020-12-26,31963.0,Throw Pillow Covers
36,2020-12-27,31963.0,Throw Pillow Covers
37,2020-12-28,31963.0,Throw Pillow Covers
38,2020-12-29,31963.0,Throw Pillow Covers
39,2020-12-30,119138.0,Throw Pillow Covers
40,2020-12-31,119138.0,Throw Pillow Covers
41,2021-01-01,119138.0,Throw Pillow Covers
42,2021-01-02,211798.0,Throw Pillow Covers
43,2021-01-03,211798.0,Throw Pillow Covers
44,2021-01-04,211798.0,Throw Pillow Covers
45,2021-01-05,178229.0,Throw Pillow Covers
46,2021-01-06,178229.0,Throw Pillow Covers
47,2021-01-07,178229.0,Throw Pillow Covers
48,2021-01-08,178229.0,Throw Pillow Covers
49,2021-01-09,224569.0,Throw Pillow Covers
50,2021-01-10,224569.0,Throw Pillow Covers
51,2021-01-11,224569.0,Throw Pillow Covers
52,2021-01-12,224569.0,Throw Pillow Covers
53,2021-01-13,224569.0,Throw Pillow Covers
54,2021-01-14,224569.0,Throw Pillow Covers
55,2021-01-15,224569.0,Throw Pillow Covers
56,2021-01-16,403853.0,Throw Pillow Covers
57,2021-01-17,403853.0,Throw Pillow Covers
58,2021-01-18,403853.0,Throw Pillow Covers
59,2021-01-19,403853.0,Throw Pillow Covers
60,2021-01-20,403853.0,Throw Pillow Covers
61,2021-01-21,403853.0,Throw Pillow Covers
62,2021-01-22,403853.0,Throw Pillow Covers
63,2021-01-23,403853.0,Throw Pillow Covers
64,2021-01-24,412242.0,Throw Pillow Covers
65,2021-01-25,412242.0,Throw Pillow Covers
66,2021-01-26,412242.0,Throw Pillow Covers
67,2021-01-27,412242.0,Throw Pillow Covers
68,2021-01-28,412242.0,Throw Pillow Covers
69,2021-01-29,412242.0,Throw Pillow Covers
