,date,value,name_B06ZZNJWMG
0,2018-07-13,11662.0,Jar Candles
1,2018-07-14,14900.0,Jar Candles
2,2018-07-15,8831.0,Jar Candles
3,2018-07-16,8831.0,Jar Candles
4,2018-07-17,11398.0,Jar Candles
5,2018-07-18,11398.0,Jar Candles
6,2018-07-19,11398.0,Jar Candles
7,2018-07-20,13703.0,Jar Candles
8,2018-07-21,16310.0,Jar Candles
9,2018-07-22,16310.0,Jar Candles
10,2018-07-23,17184.0,Jar Candles
11,2018-07-24,17184.0,Jar Candles
12,2018-07-25,14656.0,Jar Candles
13,2018-07-26,14656.0,Jar Candles
14,2018-07-27,14656.0,Jar Candles
15,2018-07-28,14656.0,Jar Candles
16,2018-07-29,14523.0,Jar Candles
17,2018-07-30,10946.0,Jar Candles
18,2018-07-31,13702.0,Jar Candles
19,2018-08-01,13702.0,Jar Candles
20,2018-08-02,13702.0,Jar Candles
21,2018-08-03,11778.0,Jar Candles
22,2018-08-04,11778.0,Jar Candles
23,2018-08-05,10665.0,Jar Candles
24,2018-08-06,9924.0,Jar Candles
25,2018-08-07,9924.0,Jar Candles
26,2018-08-08,9924.0,Jar Candles
27,2018-08-09,15198.0,Jar Candles
28,2018-08-10,15198.0,Jar Candles
29,2018-08-11,15198.0,Jar Candles
30,2018-08-12,15198.0,Jar Candles
31,2018-08-13,15415.0,Jar Candles
32,2018-08-14,15415.0,Jar Candles
33,2018-08-15,15415.0,Jar Candles
34,2018-08-16,15415.0,Jar Candles
35,2018-08-17,15415.0,Jar Candles
36,2018-08-18,15415.0,Jar Candles
37,2018-08-19,11146.0,Jar Candles
38,2018-08-20,12430.0,Jar Candles
39,2018-08-21,12430.0,Jar Candles
40,2018-08-22,13969.0,Jar Candles
41,2018-08-23,13969.0,Jar Candles
42,2018-08-24,11456.0,Jar Candles
43,2018-08-25,11456.0,Jar Candles
44,2018-08-26,11456.0,Jar Candles
45,2018-08-27,13283.0,Jar Candles
46,2018-08-28,13001.0,Jar Candles
47,2018-08-29,13001.0,Jar Candles
48,2018-08-30,13001.0,Jar Candles
49,2018-08-31,17638.0,Jar Candles
50,2018-09-01,12369.0,Jar Candles
51,2018-09-02,12369.0,Jar Candles
52,2018-09-03,12369.0,Jar Candles
53,2018-09-04,12369.0,Jar Candles
54,2018-09-05,11759.0,Jar Candles
55,2018-09-06,11759.0,Jar Candles
56,2018-09-07,13037.0,Jar Candles
57,2018-09-08,13037.0,Jar Candles
58,2018-09-09,14041.0,Jar Candles
59,2018-09-10,14041.0,Jar Candles
60,2018-09-11,14041.0,Jar Candles
61,2018-09-12,13615.0,Jar Candles
62,2018-09-13,13547.0,Jar Candles
63,2018-09-14,13547.0,Jar Candles
64,2018-09-15,16886.0,Jar Candles
65,2018-09-16,16886.0,Jar Candles
66,2018-09-17,10647.0,Jar Candles
67,2018-09-18,10647.0,Jar Candles
68,2018-09-19,18921.0,Jar Candles
69,2018-09-20,18921.0,Jar Candles
70,2018-09-21,15455.0,Jar Candles
71,2018-09-22,13965.0,Jar Candles
72,2018-09-23,14771.0,Jar Candles
73,2018-09-24,14771.0,Jar Candles
74,2018-09-25,21384.0,Jar Candles
75,2018-09-26,13295.0,Jar Candles
76,2018-09-27,13295.0,Jar Candles
77,2018-09-28,16294.0,Jar Candles
78,2018-09-29,16294.0,Jar Candles
79,2018-09-30,16294.0,Jar Candles
80,2018-10-01,13890.0,Jar Candles
81,2018-10-02,10907.0,Jar Candles
82,2018-10-03,16718.0,Jar Candles
83,2018-10-04,16718.0,Jar Candles
84,2018-10-05,16718.0,Jar Candles
85,2018-10-06,16213.0,Jar Candles
86,2018-10-07,12002.0,Jar Candles
87,2018-10-08,12002.0,Jar Candles
88,2018-10-09,12002.0,Jar Candles
89,2018-10-10,12753.0,Jar Candles
90,2018-10-11,9299.0,Jar Candles
91,2018-10-12,9299.0,Jar Candles
92,2018-10-13,8583.0,Jar Candles
93,2018-10-14,8981.0,Jar Candles
94,2018-10-15,8981.0,Jar Candles
95,2018-10-16,10712.0,Jar Candles
96,2018-10-17,10069.0,Jar Candles
97,2018-10-18,13055.0,Jar Candles
98,2018-10-19,12570.0,Jar Candles
99,2018-10-20,12570.0,Jar Candles
100,2018-10-21,9162.0,Jar Candles
101,2018-10-22,9162.0,Jar Candles
102,2018-10-23,12053.0,Jar Candles
103,2018-10-24,10574.0,Jar Candles
104,2018-10-25,16726.0,Jar Candles
105,2018-10-26,16726.0,Jar Candles
106,2018-10-27,11465.0,Jar Candles
107,2018-10-28,13422.0,Jar Candles
108,2018-10-29,13285.0,Jar Candles
109,2018-10-30,14972.0,Jar Candles
110,2018-10-31,14972.0,Jar Candles
111,2018-11-01,14972.0,Jar Candles
112,2018-11-02,8765.0,Jar Candles
113,2018-11-03,10206.0,Jar Candles
114,2018-11-04,10206.0,Jar Candles
115,2018-11-05,10206.0,Jar Candles
116,2018-11-06,8945.0,Jar Candles
117,2018-11-07,8945.0,Jar Candles
118,2018-11-08,8945.0,Jar Candles
119,2018-11-09,8945.0,Jar Candles
120,2018-11-10,8945.0,Jar Candles
121,2018-11-11,8945.0,Jar Candles
122,2018-11-12,10347.0,Jar Candles
123,2018-11-13,11342.0,Jar Candles
124,2018-11-14,9392.0,Jar Candles
125,2018-11-15,8483.0,Jar Candles
