,date,value,name_B07MLT3PHY
0,2019-01-17,87425.0,Balance Bikes
1,2019-01-18,173082.0,Balance Bikes
2,2019-01-19,173082.0,Balance Bikes
3,2019-01-20,288664.0,Balance Bikes
4,2019-01-21,107018.0,Balance Bikes
5,2019-01-22,107018.0,Balance Bikes
6,2019-01-23,151891.0,Balance Bikes
7,2019-01-24,151891.0,Balance Bikes
8,2019-01-25,151797.0,Balance Bikes
9,2019-01-26,151797.0,Balance Bikes
10,2019-01-27,52765.0,Balance Bikes
11,2019-01-28,105589.0,Balance Bikes
12,2019-01-29,137914.0,Balance Bikes
13,2019-01-30,150444.0,Balance Bikes
14,2019-01-31,55857.0,Balance Bikes
15,2019-02-01,48303.0,Balance Bikes
16,2019-02-02,51311.0,Balance Bikes
17,2019-02-03,29753.0,Balance Bikes
18,2019-02-04,48711.0,Balance Bikes
19,2019-02-05,34303.0,Balance Bikes
20,2019-02-06,26076.0,Balance Bikes
21,2019-02-07,10683.0,Balance Bikes
22,2019-02-08,10683.0,Balance Bikes
23,2019-02-09,7978.0,Balance Bikes
24,2019-02-10,8064.0,Balance Bikes
25,2019-02-11,10221.0,Balance Bikes
26,2019-02-12,9966.0,Balance Bikes
27,2019-02-13,14827.0,Balance Bikes
28,2019-02-14,10034.0,Balance Bikes
29,2019-02-15,12270.0,Balance Bikes
30,2019-02-16,4941.0,Balance Bikes
31,2019-02-17,4573.0,Balance Bikes
32,2019-02-18,5373.0,Balance Bikes
33,2019-02-19,4065.0,Balance Bikes
34,2019-02-20,4005.0,Balance Bikes
35,2019-02-21,2836.0,Balance Bikes
36,2019-02-22,3999.0,Balance Bikes
37,2019-02-23,5987.0,Balance Bikes
38,2019-02-24,8149.0,Balance Bikes
39,2019-02-25,7608.0,Balance Bikes
40,2019-02-26,7608.0,Balance Bikes
41,2019-02-27,3234.0,Balance Bikes
42,2019-02-28,4066.0,Balance Bikes
43,2019-03-01,3596.0,Balance Bikes
44,2019-03-02,3911.0,Balance Bikes
45,2019-03-03,3111.0,Balance Bikes
46,2019-03-04,3111.0,Balance Bikes
47,2019-03-05,3572.0,Balance Bikes
48,2019-03-06,3841.0,Balance Bikes
49,2019-03-07,4854.0,Balance Bikes
50,2019-03-08,4665.0,Balance Bikes
51,2019-03-09,4665.0,Balance Bikes
52,2019-03-10,5275.0,Balance Bikes
53,2019-03-11,8292.0,Balance Bikes
54,2019-03-12,8292.0,Balance Bikes
55,2019-03-13,8292.0,Balance Bikes
56,2019-03-14,7431.0,Balance Bikes
57,2019-03-15,7431.0,Balance Bikes
58,2019-03-16,7431.0,Balance Bikes
59,2019-03-17,7431.0,Balance Bikes
60,2019-03-18,11572.0,Balance Bikes
61,2019-03-19,10494.0,Balance Bikes
62,2019-03-20,8415.0,Balance Bikes
63,2019-03-21,8246.0,Balance Bikes
64,2019-03-22,12348.0,Balance Bikes
65,2019-03-23,12800.0,Balance Bikes
66,2019-03-24,22887.0,Balance Bikes
67,2019-03-25,36991.0,Balance Bikes
68,2019-03-26,36991.0,Balance Bikes
69,2019-03-27,62119.0,Balance Bikes
70,2019-03-28,62119.0,Balance Bikes
71,2019-03-29,76536.0,Balance Bikes
72,2019-03-30,76536.0,Balance Bikes
73,2019-03-31,96266.0,Balance Bikes
74,2019-04-01,96266.0,Balance Bikes
75,2019-04-02,125269.0,Balance Bikes
76,2019-04-03,125269.0,Balance Bikes
77,2019-04-04,133199.0,Balance Bikes
78,2019-04-05,148781.0,Balance Bikes
79,2019-04-06,148781.0,Balance Bikes
80,2019-04-07,154605.0,Balance Bikes
81,2019-04-08,154605.0,Balance Bikes
82,2019-04-09,162268.0,Balance Bikes
83,2019-04-10,180649.0,Balance Bikes
84,2019-04-11,180649.0,Balance Bikes
85,2019-04-12,180649.0,Balance Bikes
86,2019-04-13,180649.0,Balance Bikes
87,2019-04-14,180649.0,Balance Bikes
88,2019-04-15,180649.0,Balance Bikes
89,2019-04-16,142119.0,Balance Bikes
90,2019-04-17,142119.0,Balance Bikes
91,2019-04-18,187071.0,Balance Bikes
92,2019-04-19,187071.0,Balance Bikes
93,2019-04-20,108552.0,Balance Bikes
94,2019-04-21,108552.0,Balance Bikes
95,2019-04-22,108552.0,Balance Bikes
96,2019-04-23,205428.0,Balance Bikes
97,2019-04-24,205428.0,Balance Bikes
98,2019-04-25,205428.0,Balance Bikes
99,2019-04-26,205428.0,Balance Bikes
100,2019-04-27,233312.0,Balance Bikes
101,2019-04-28,242426.0,Balance Bikes
102,2019-04-29,33574.0,Balance Bikes
103,2019-04-30,33574.0,Balance Bikes
104,2019-05-01,33574.0,Balance Bikes
105,2019-05-02,33574.0,Balance Bikes
106,2019-05-03,33574.0,Balance Bikes
107,2019-05-04,19432.0,Balance Bikes
108,2019-05-05,19432.0,Balance Bikes
109,2019-05-06,17378.0,Balance Bikes
110,2019-05-07,8890.0,Balance Bikes
111,2019-05-08,11968.0,Balance Bikes
112,2019-05-09,5870.0,Balance Bikes
113,2019-05-10,6769.0,Balance Bikes
114,2019-05-11,5049.0,Balance Bikes
115,2019-05-12,4925.0,Balance Bikes
116,2019-05-13,5439.0,Balance Bikes
117,2019-05-14,4166.0,Balance Bikes
118,2019-05-15,4166.0,Balance Bikes
119,2019-05-16,2398.0,Balance Bikes
120,2019-05-17,3382.0,Balance Bikes
121,2019-05-18,3238.0,Balance Bikes
122,2019-05-19,4745.0,Balance Bikes
123,2019-05-20,6262.0,Balance Bikes
124,2019-05-21,5089.0,Balance Bikes
125,2019-05-22,4873.0,Balance Bikes
126,2019-05-23,4676.0,Balance Bikes
127,2019-05-24,4411.0,Balance Bikes
128,2019-05-25,5427.0,Balance Bikes
129,2019-05-26,5615.0,Balance Bikes
130,2019-05-27,5614.0,Balance Bikes
131,2019-05-28,5614.0,Balance Bikes
132,2019-05-29,4939.0,Balance Bikes
133,2019-05-30,4536.0,Balance Bikes
134,2019-05-31,4328.0,Balance Bikes
135,2019-06-01,4299.0,Balance Bikes
136,2019-06-02,4460.0,Balance Bikes
137,2019-06-03,3613.0,Balance Bikes
138,2019-06-04,5971.0,Balance Bikes
139,2019-06-05,9939.0,Balance Bikes
140,2019-06-06,12141.0,Balance Bikes
141,2019-06-07,10558.0,Balance Bikes
142,2019-06-08,12696.0,Balance Bikes
143,2019-06-09,12696.0,Balance Bikes
144,2019-06-10,14715.0,Balance Bikes
145,2019-06-11,14901.0,Balance Bikes
146,2019-06-12,14438.0,Balance Bikes
147,2019-06-13,13274.0,Balance Bikes
148,2019-06-14,17692.0,Balance Bikes
149,2019-06-15,13543.0,Balance Bikes
150,2019-06-16,12808.0,Balance Bikes
151,2019-06-17,13982.0,Balance Bikes
152,2019-06-18,12692.0,Balance Bikes
153,2019-06-19,11289.0,Balance Bikes
154,2019-06-20,12501.0,Balance Bikes
155,2019-06-21,10391.0,Balance Bikes
156,2019-06-22,12598.0,Balance Bikes
157,2019-06-23,13685.0,Balance Bikes
158,2019-06-24,18137.0,Balance Bikes
159,2019-06-25,16789.0,Balance Bikes
160,2019-06-26,13548.0,Balance Bikes
161,2019-06-27,13518.0,Balance Bikes
162,2019-06-28,17944.0,Balance Bikes
163,2019-06-29,22511.0,Balance Bikes
164,2019-06-30,36358.0,Balance Bikes
165,2019-07-01,53846.0,Balance Bikes
166,2019-07-02,63175.0,Balance Bikes
167,2019-07-03,78496.0,Balance Bikes
168,2019-07-04,79859.0,Balance Bikes
169,2019-07-05,94369.0,Balance Bikes
170,2019-07-06,87179.0,Balance Bikes
171,2019-07-07,99991.0,Balance Bikes
172,2019-07-08,102169.0,Balance Bikes
173,2019-07-09,38241.0,Balance Bikes
174,2019-07-10,35211.0,Balance Bikes
175,2019-07-11,40662.0,Balance Bikes
176,2019-07-12,20918.0,Balance Bikes
177,2019-07-13,49317.0,Balance Bikes
178,2019-07-14,18762.0,Balance Bikes
179,2019-07-15,28863.0,Balance Bikes
180,2019-07-16,25618.0,Balance Bikes
181,2019-07-17,15560.0,Balance Bikes
182,2019-07-18,10329.0,Balance Bikes
183,2019-07-19,13115.0,Balance Bikes
184,2019-07-20,14155.0,Balance Bikes
185,2019-07-21,14155.0,Balance Bikes
186,2019-07-22,9141.0,Balance Bikes
187,2019-07-23,9968.0,Balance Bikes
188,2019-07-24,7926.0,Balance Bikes
189,2019-07-25,5844.0,Balance Bikes
190,2019-07-26,6375.0,Balance Bikes
191,2019-07-27,6375.0,Balance Bikes
192,2019-07-28,8037.0,Balance Bikes
193,2019-07-29,6978.0,Balance Bikes
194,2019-07-30,6978.0,Balance Bikes
195,2019-07-31,7591.0,Balance Bikes
196,2019-08-01,7061.0,Balance Bikes
197,2019-08-02,7061.0,Balance Bikes
198,2019-08-03,9440.0,Balance Bikes
199,2019-08-04,9440.0,Balance Bikes
200,2019-08-05,5778.0,Balance Bikes
201,2019-08-06,5778.0,Balance Bikes
202,2019-08-07,5487.0,Balance Bikes
203,2019-08-08,5487.0,Balance Bikes
204,2019-08-09,4906.0,Balance Bikes
205,2019-08-10,4906.0,Balance Bikes
206,2019-08-11,4093.0,Balance Bikes
207,2019-08-12,3868.0,Balance Bikes
208,2019-08-13,3765.0,Balance Bikes
209,2019-08-14,3895.0,Balance Bikes
210,2019-08-15,3624.0,Balance Bikes
211,2019-08-16,3304.0,Balance Bikes
212,2019-08-17,4001.0,Balance Bikes
213,2019-08-18,4001.0,Balance Bikes
214,2019-08-19,4225.0,Balance Bikes
215,2019-08-20,4225.0,Balance Bikes
216,2019-08-21,4576.0,Balance Bikes
217,2019-08-22,3721.0,Balance Bikes
218,2019-08-23,3263.0,Balance Bikes
219,2019-08-24,3693.0,Balance Bikes
220,2019-08-25,4198.0,Balance Bikes
221,2019-08-26,4608.0,Balance Bikes
222,2019-08-27,5028.0,Balance Bikes
223,2019-08-28,4476.0,Balance Bikes
224,2019-08-29,4476.0,Balance Bikes
225,2019-08-30,4476.0,Balance Bikes
226,2019-08-31,4476.0,Balance Bikes
227,2019-09-01,2983.0,Balance Bikes
228,2019-09-02,3049.0,Balance Bikes
229,2019-09-03,3032.0,Balance Bikes
230,2019-09-04,2999.0,Balance Bikes
231,2019-09-05,2827.0,Balance Bikes
232,2019-09-06,2717.0,Balance Bikes
233,2019-09-07,3317.0,Balance Bikes
234,2019-09-08,3161.0,Balance Bikes
235,2019-09-09,2785.0,Balance Bikes
236,2019-09-10,2553.0,Balance Bikes
237,2019-09-11,2224.0,Balance Bikes
238,2019-09-12,1885.0,Balance Bikes
239,2019-09-13,2004.0,Balance Bikes
240,2019-09-14,2390.0,Balance Bikes
241,2019-09-15,2390.0,Balance Bikes
242,2019-09-16,2359.0,Balance Bikes
243,2019-09-17,2135.0,Balance Bikes
244,2019-09-18,1899.0,Balance Bikes
245,2019-09-19,2329.0,Balance Bikes
246,2019-09-20,2800.0,Balance Bikes
247,2019-09-21,2227.0,Balance Bikes
248,2019-09-22,2315.0,Balance Bikes
249,2019-09-23,3145.0,Balance Bikes
250,2019-09-24,2443.0,Balance Bikes
251,2019-09-25,2419.0,Balance Bikes
252,2019-09-26,1605.0,Balance Bikes
253,2019-09-27,1926.0,Balance Bikes
254,2019-09-28,2086.0,Balance Bikes
255,2019-09-29,2086.0,Balance Bikes
256,2019-09-30,2675.0,Balance Bikes
257,2019-10-01,2675.0,Balance Bikes
258,2019-10-02,2675.0,Balance Bikes
259,2019-10-03,1804.0,Balance Bikes
260,2019-10-04,1804.0,Balance Bikes
261,2019-10-05,1804.0,Balance Bikes
