,date,value,name_B07TKCH5GG
0,2019-07-10,70126.0,Toasters
1,2019-07-11,59373.0,Toasters
2,2019-07-12,81531.0,Toasters
3,2019-07-13,109311.0,Toasters
4,2019-07-14,91179.0,Toasters
5,2019-07-15,132098.0,Toasters
6,2019-07-16,31922.0,Toasters
7,2019-07-17,19341.0,Toasters
8,2019-07-18,15428.0,Toasters
9,2019-07-19,17719.0,Toasters
10,2019-07-20,18688.0,Toasters
11,2019-07-21,14179.0,Toasters
12,2019-07-22,11235.0,Toasters
13,2019-07-23,15325.0,Toasters
14,2019-07-24,9208.0,Toasters
15,2019-07-25,8030.0,Toasters
16,2019-07-26,8808.0,Toasters
17,2019-07-27,5429.0,Toasters
18,2019-07-28,6458.0,Toasters
19,2019-07-29,6127.0,Toasters
20,2019-07-30,4269.0,Toasters
21,2019-07-31,3434.0,Toasters
22,2019-08-01,3723.0,Toasters
23,2019-08-02,3536.0,Toasters
24,2019-08-03,4031.0,Toasters
25,2019-08-04,3237.0,Toasters
26,2019-08-05,2666.0,Toasters
27,2019-08-06,3499.0,Toasters
28,2019-08-07,3018.0,Toasters
29,2019-08-08,3041.0,Toasters
30,2019-08-09,2570.0,Toasters
31,2019-08-10,2021.0,Toasters
32,2019-08-11,1958.0,Toasters
33,2019-08-12,2472.0,Toasters
34,2019-08-13,2983.0,Toasters
35,2019-08-14,2983.0,Toasters
36,2019-08-15,4198.0,Toasters
37,2019-08-16,4992.0,Toasters
38,2019-08-17,11543.0,Toasters
39,2019-08-18,11543.0,Toasters
40,2019-08-19,11543.0,Toasters
41,2019-08-20,30730.0,Toasters
42,2019-08-21,36789.0,Toasters
43,2019-08-22,47896.0,Toasters
44,2019-08-23,47896.0,Toasters
45,2019-08-24,47896.0,Toasters
46,2019-08-25,55359.0,Toasters
47,2019-08-26,55359.0,Toasters
48,2019-08-27,61542.0,Toasters
49,2019-08-28,67917.0,Toasters
50,2019-08-29,68265.0,Toasters
51,2019-08-30,68265.0,Toasters
52,2019-08-31,68265.0,Toasters
53,2019-09-01,68265.0,Toasters
54,2019-09-02,68265.0,Toasters
55,2019-09-03,68265.0,Toasters
56,2019-09-04,102851.0,Toasters
57,2019-09-05,102851.0,Toasters
58,2019-09-06,102851.0,Toasters
59,2019-09-07,112869.0,Toasters
60,2019-09-08,112869.0,Toasters
61,2019-09-09,112869.0,Toasters
62,2019-09-10,112869.0,Toasters
63,2019-09-11,133424.0,Toasters
64,2019-09-12,133424.0,Toasters
65,2019-09-13,133424.0,Toasters
66,2019-09-14,133424.0,Toasters
67,2019-09-15,133424.0,Toasters
68,2019-09-16,133424.0,Toasters
69,2019-09-17,121767.0,Toasters
70,2019-09-18,121767.0,Toasters
71,2019-09-19,66743.0,Toasters
72,2019-09-20,82974.0,Toasters
73,2019-09-21,82974.0,Toasters
74,2019-09-22,37221.0,Toasters
75,2019-09-23,70738.0,Toasters
76,2019-09-24,70738.0,Toasters
77,2019-09-25,70738.0,Toasters
78,2019-09-26,102860.0,Toasters
79,2019-09-27,102860.0,Toasters
80,2019-09-28,102860.0,Toasters
81,2019-09-29,145496.0,Toasters
82,2019-09-30,145496.0,Toasters
83,2019-10-01,145496.0,Toasters
84,2019-10-02,145496.0,Toasters
85,2019-10-03,145496.0,Toasters
86,2019-10-04,145496.0,Toasters
87,2019-10-05,145496.0,Toasters
88,2019-10-06,15786.0,Toasters
89,2019-10-07,15786.0,Toasters
90,2019-10-08,13537.0,Toasters
91,2019-10-09,15387.0,Toasters
92,2019-10-10,10510.0,Toasters
93,2019-10-11,10510.0,Toasters
94,2019-10-12,10510.0,Toasters
95,2019-10-13,8388.0,Toasters
96,2019-10-14,8388.0,Toasters
97,2019-10-15,8130.0,Toasters
98,2019-10-16,9128.0,Toasters
99,2019-10-17,12045.0,Toasters
100,2019-10-18,8305.0,Toasters
101,2019-10-19,8305.0,Toasters
102,2019-10-20,6459.0,Toasters
103,2019-10-21,10963.0,Toasters
104,2019-10-22,10963.0,Toasters
105,2019-10-23,10963.0,Toasters
106,2019-10-24,12422.0,Toasters
