,date,value,name_B092H9CTQJ
0,2021-04-19,56107.0,Shade Sails
1,2021-04-20,80870.0,Shade Sails
2,2021-04-21,80870.0,Shade Sails
3,2021-04-22,80870.0,Shade Sails
4,2021-04-23,53116.0,Shade Sails
5,2021-04-24,53116.0,Shade Sails
6,2021-04-25,53116.0,Shade Sails
7,2021-04-26,53116.0,Shade Sails
8,2021-04-27,36339.0,Shade Sails
9,2021-04-28,53373.0,Shade Sails
10,2021-04-29,53373.0,Shade Sails
11,2021-04-30,53373.0,Shade Sails
12,2021-05-01,53373.0,Shade Sails
13,2021-05-02,53373.0,Shade Sails
14,2021-05-03,53373.0,Shade Sails
15,2021-05-04,52591.0,Shade Sails
16,2021-05-05,39677.0,Shade Sails
17,2021-05-06,39677.0,Shade Sails
18,2021-05-07,21646.0,Shade Sails
19,2021-05-08,27895.0,Shade Sails
20,2021-05-09,27895.0,Shade Sails
21,2021-05-10,27895.0,Shade Sails
22,2021-05-11,27895.0,Shade Sails
23,2021-05-12,40259.0,Shade Sails
24,2021-05-13,40259.0,Shade Sails
25,2021-05-14,24483.0,Shade Sails
26,2021-05-15,24483.0,Shade Sails
27,2021-05-16,24483.0,Shade Sails
28,2021-05-17,32770.0,Shade Sails
29,2021-05-18,32770.0,Shade Sails
30,2021-05-19,21626.0,Shade Sails
31,2021-05-20,30574.0,Shade Sails
32,2021-05-21,30574.0,Shade Sails
33,2021-05-22,30574.0,Shade Sails
34,2021-05-23,30574.0,Shade Sails
35,2021-05-24,21877.0,Shade Sails
36,2021-05-25,21877.0,Shade Sails
37,2021-05-26,21877.0,Shade Sails
38,2021-05-27,21877.0,Shade Sails
39,2021-05-28,27546.0,Shade Sails
40,2021-05-29,27546.0,Shade Sails
41,2021-05-30,27546.0,Shade Sails
42,2021-05-31,27546.0,Shade Sails
43,2021-06-01,27546.0,Shade Sails
44,2021-06-02,16555.0,Shade Sails
45,2021-06-03,21565.0,Shade Sails
46,2021-06-04,22738.0,Shade Sails
47,2021-06-05,22738.0,Shade Sails
48,2021-06-06,22738.0,Shade Sails
49,2021-06-07,14208.0,Shade Sails
50,2021-06-08,14208.0,Shade Sails
51,2021-06-09,14208.0,Shade Sails
52,2021-06-10,16119.0,Shade Sails
53,2021-06-11,16119.0,Shade Sails
54,2021-06-12,16119.0,Shade Sails
55,2021-06-13,16119.0,Shade Sails
56,2021-06-14,16119.0,Shade Sails
57,2021-06-15,12335.0,Shade Sails
58,2021-06-16,10486.0,Shade Sails
59,2021-06-17,13649.0,Shade Sails
60,2021-06-18,10531.0,Shade Sails
61,2021-06-19,10531.0,Shade Sails
62,2021-06-20,9961.0,Shade Sails
63,2021-06-21,7970.0,Shade Sails
64,2021-06-22,4345.0,Shade Sails
65,2021-06-23,1971.0,Shade Sails
66,2021-06-24,1971.0,Shade Sails
67,2021-06-25,3671.0,Shade Sails
68,2021-06-26,5855.0,Shade Sails
69,2021-06-27,5855.0,Shade Sails
70,2021-06-28,7183.0,Shade Sails
71,2021-06-29,7183.0,Shade Sails
72,2021-06-30,7209.0,Shade Sails
73,2021-07-01,7209.0,Shade Sails
74,2021-07-02,7900.0,Shade Sails
75,2021-07-03,7900.0,Shade Sails
76,2021-07-04,9367.0,Shade Sails
77,2021-07-05,11537.0,Shade Sails
78,2021-07-06,12671.0,Shade Sails
79,2021-07-07,12671.0,Shade Sails
80,2021-07-08,17901.0,Shade Sails
81,2021-07-09,19909.0,Shade Sails
