,date,value,name_B07VVQWB85
0,2020-10-22,151732.0,Toasters
1,2020-10-23,82568.0,Toasters
2,2020-10-24,56489.0,Toasters
3,2020-10-25,46600.0,Toasters
4,2020-10-26,54725.0,Toasters
5,2020-10-27,35240.0,Toasters
6,2020-10-28,33407.0,Toasters
7,2020-10-29,21253.0,Toasters
8,2020-10-30,36998.0,Toasters
9,2020-10-31,26332.0,Toasters
10,2020-11-01,41382.0,Toasters
11,2020-11-02,36074.0,Toasters
12,2020-11-03,29270.0,Toasters
13,2020-11-04,27626.0,Toasters
14,2020-11-05,22117.0,Toasters
15,2020-11-06,26572.0,Toasters
16,2020-11-07,33145.0,Toasters
17,2020-11-08,29232.0,Toasters
18,2020-11-09,34295.0,Toasters
19,2020-11-10,35141.0,Toasters
20,2020-11-11,28778.0,Toasters
21,2020-11-12,35314.0,Toasters
22,2020-11-13,28525.0,Toasters
23,2020-11-14,41734.0,Toasters
24,2020-11-15,33045.0,Toasters
25,2020-11-16,29629.0,Toasters
26,2020-11-17,33871.0,Toasters
27,2020-11-18,28063.0,Toasters
28,2020-11-19,36685.0,Toasters
29,2020-11-20,51330.0,Toasters
30,2020-11-21,55643.0,Toasters
31,2020-11-22,40786.0,Toasters
32,2020-11-23,33705.0,Toasters
33,2020-11-24,32699.0,Toasters
34,2020-11-25,40418.0,Toasters
35,2020-11-26,33696.0,Toasters
36,2020-11-27,21955.0,Toasters
37,2020-11-28,17608.0,Toasters
38,2020-11-29,23819.0,Toasters
39,2020-11-30,20422.0,Toasters
40,2020-12-01,21067.0,Toasters
41,2020-12-02,18951.0,Toasters
42,2020-12-03,24816.0,Toasters
43,2020-12-04,32416.0,Toasters
44,2020-12-05,39470.0,Toasters
45,2020-12-06,35659.0,Toasters
46,2020-12-07,46255.0,Toasters
47,2020-12-08,36959.0,Toasters
48,2020-12-09,34946.0,Toasters
49,2020-12-10,45916.0,Toasters
50,2020-12-11,46972.0,Toasters
51,2020-12-12,36222.0,Toasters
52,2020-12-13,39807.0,Toasters
53,2020-12-14,32694.0,Toasters
54,2020-12-15,30752.0,Toasters
55,2020-12-16,37695.0,Toasters
56,2020-12-17,47180.0,Toasters
57,2020-12-18,41357.0,Toasters
58,2020-12-19,44741.0,Toasters
59,2020-12-20,35096.0,Toasters
60,2020-12-21,42888.0,Toasters
61,2020-12-22,29284.0,Toasters
62,2020-12-23,27690.0,Toasters
63,2020-12-24,21497.0,Toasters
64,2020-12-25,26959.0,Toasters
65,2020-12-26,32585.0,Toasters
66,2020-12-27,34603.0,Toasters
67,2020-12-28,30857.0,Toasters
68,2020-12-29,26574.0,Toasters
69,2020-12-30,25461.0,Toasters
70,2020-12-31,37985.0,Toasters
71,2021-01-01,21146.0,Toasters
72,2021-01-02,30403.0,Toasters
73,2021-01-03,44167.0,Toasters
74,2021-01-04,49172.0,Toasters
75,2021-01-05,73025.0,Toasters
76,2021-01-06,73025.0,Toasters
77,2021-01-07,47991.0,Toasters
78,2021-01-08,55954.0,Toasters
79,2021-01-09,43656.0,Toasters
80,2021-01-10,43656.0,Toasters
81,2021-01-11,51135.0,Toasters
82,2021-01-12,44040.0,Toasters
83,2021-01-13,21920.0,Toasters
84,2021-01-14,26208.0,Toasters
85,2021-01-15,33234.0,Toasters
86,2021-01-16,19870.0,Toasters
87,2021-01-17,19870.0,Toasters
88,2021-01-18,21006.0,Toasters
89,2021-01-19,28099.0,Toasters
90,2021-01-20,37709.0,Toasters
91,2021-01-21,49529.0,Toasters
92,2021-01-22,36630.0,Toasters
93,2021-01-23,52628.0,Toasters
94,2021-01-24,33403.0,Toasters
95,2021-01-25,33117.0,Toasters
96,2021-01-26,40340.0,Toasters
97,2021-01-27,36296.0,Toasters
98,2021-01-28,50753.0,Toasters
99,2021-01-29,54511.0,Toasters
100,2021-01-30,62614.0,Toasters
101,2021-01-31,56179.0,Toasters
102,2021-02-01,52306.0,Toasters
103,2021-02-02,60817.0,Toasters
104,2021-02-03,59813.0,Toasters
105,2021-02-04,72948.0,Toasters
106,2021-02-05,93845.0,Toasters
107,2021-02-06,48327.0,Toasters
108,2021-02-07,42533.0,Toasters
109,2021-02-08,65254.0,Toasters
110,2021-02-09,102198.0,Toasters
111,2021-02-10,97770.0,Toasters
112,2021-02-11,97770.0,Toasters
113,2021-02-12,83370.0,Toasters
114,2021-02-13,55934.0,Toasters
115,2021-02-14,55934.0,Toasters
116,2021-02-15,91557.0,Toasters
117,2021-02-16,56648.0,Toasters
118,2021-02-17,105787.0,Toasters
119,2021-02-18,105787.0,Toasters
120,2021-02-19,141971.0,Toasters
121,2021-02-20,161028.0,Toasters
122,2021-02-21,65718.0,Toasters
123,2021-02-22,70376.0,Toasters
124,2021-02-23,135990.0,Toasters
125,2021-02-24,119477.0,Toasters
126,2021-02-25,85790.0,Toasters
127,2021-02-26,84277.0,Toasters
128,2021-02-27,114094.0,Toasters
129,2021-02-28,87828.0,Toasters
130,2021-03-01,100289.0,Toasters
131,2021-03-02,139237.0,Toasters
132,2021-03-03,64804.0,Toasters
133,2021-03-04,69859.0,Toasters
134,2021-03-05,116284.0,Toasters
135,2021-03-06,140274.0,Toasters
136,2021-03-07,108622.0,Toasters
137,2021-03-08,154539.0,Toasters
138,2021-03-09,149134.0,Toasters
139,2021-03-10,98054.0,Toasters
140,2021-03-11,145322.0,Toasters
141,2021-03-12,170801.0,Toasters
142,2021-03-13,182665.0,Toasters
143,2021-03-14,112257.0,Toasters
144,2021-03-15,124897.0,Toasters
145,2021-03-16,164320.0,Toasters
146,2021-03-17,188325.0,Toasters
147,2021-03-18,150426.0,Toasters
148,2021-03-19,187523.0,Toasters
149,2021-03-20,199581.0,Toasters
150,2021-03-21,89121.0,Toasters
151,2021-03-22,142422.0,Toasters
152,2021-03-23,7226.0,Toasters
153,2021-03-24,7430.0,Toasters
154,2021-03-25,190440.0,Toasters
155,2021-03-26,198745.0,Toasters
156,2021-03-27,156735.0,Toasters
157,2021-03-28,171362.0,Toasters
158,2021-03-29,110139.0,Toasters
159,2021-03-30,200761.0,Toasters
160,2021-03-31,133165.0,Toasters
161,2021-04-01,150368.0,Toasters
162,2021-04-02,180833.0,Toasters
163,2021-04-03,192964.0,Toasters
164,2021-04-04,208824.0,Toasters
165,2021-04-05,132259.0,Toasters
166,2021-04-06,159757.0,Toasters
167,2021-04-07,193428.0,Toasters
168,2021-04-08,217984.0,Toasters
169,2021-04-09,144508.0,Toasters
170,2021-04-10,88010.0,Toasters
171,2021-04-11,87174.0,Toasters
172,2021-04-12,51420.0,Toasters
173,2021-04-13,37805.0,Toasters
174,2021-04-14,40246.0,Toasters
175,2021-04-15,36956.0,Toasters
176,2021-04-16,33711.0,Toasters
177,2021-04-17,24211.0,Toasters
178,2021-04-18,23921.0,Toasters
179,2021-04-19,18806.0,Toasters
180,2021-04-20,19002.0,Toasters
181,2021-04-21,13812.0,Toasters
182,2021-04-22,15710.0,Toasters
183,2021-04-23,19844.0,Toasters
184,2021-04-24,18153.0,Toasters
185,2021-04-25,19984.0,Toasters
186,2021-04-26,19218.0,Toasters
187,2021-04-27,13136.0,Toasters
188,2021-04-28,11277.0,Toasters
189,2021-04-29,10627.0,Toasters
190,2021-04-30,12314.0,Toasters
191,2021-05-01,12473.0,Toasters
192,2021-05-02,13786.0,Toasters
193,2021-05-03,10420.0,Toasters
194,2021-05-04,7919.0,Toasters
195,2021-05-05,8148.0,Toasters
196,2021-05-06,8243.0,Toasters
197,2021-05-07,13942.0,Toasters
198,2021-05-08,16309.0,Toasters
199,2021-05-09,12201.0,Toasters
200,2021-05-10,16966.0,Toasters
201,2021-05-11,12260.0,Toasters
202,2021-05-12,11498.0,Toasters
203,2021-05-13,13064.0,Toasters
204,2021-05-14,15803.0,Toasters
205,2021-05-15,17563.0,Toasters
206,2021-05-16,19264.0,Toasters
207,2021-05-17,29973.0,Toasters
208,2021-05-18,26287.0,Toasters
209,2021-05-19,24822.0,Toasters
210,2021-05-20,16463.0,Toasters
211,2021-05-21,14488.0,Toasters
212,2021-05-22,22491.0,Toasters
213,2021-05-23,24048.0,Toasters
214,2021-05-24,16526.0,Toasters
215,2021-05-25,26289.0,Toasters
216,2021-05-26,22653.0,Toasters
217,2021-05-27,24946.0,Toasters
218,2021-05-28,23011.0,Toasters
219,2021-05-29,22708.0,Toasters
220,2021-05-30,22919.0,Toasters
221,2021-05-31,23996.0,Toasters
222,2021-06-01,33673.0,Toasters
223,2021-06-02,41293.0,Toasters
224,2021-06-03,58979.0,Toasters
225,2021-06-04,76022.0,Toasters
226,2021-06-05,60327.0,Toasters
227,2021-06-06,52015.0,Toasters
228,2021-06-07,79006.0,Toasters
229,2021-06-08,60677.0,Toasters
230,2021-06-09,51097.0,Toasters
231,2021-06-10,47830.0,Toasters
232,2021-06-11,74340.0,Toasters
233,2021-06-12,91488.0,Toasters
234,2021-06-13,75525.0,Toasters
235,2021-06-14,93530.0,Toasters
236,2021-06-15,72580.0,Toasters
237,2021-06-16,105735.0,Toasters
238,2021-06-17,111037.0,Toasters
239,2021-06-18,66558.0,Toasters
240,2021-06-19,102512.0,Toasters
241,2021-06-20,118966.0,Toasters
242,2021-06-21,95012.0,Toasters
243,2021-06-22,34473.0,Toasters
244,2021-06-23,35941.0,Toasters
245,2021-06-24,491.0,Toasters
246,2021-06-25,133.0,Toasters
247,2021-06-26,157.0,Toasters
