,date,value,name_B07WDSWN8D
0,2019-08-16,15806.0,Balance Bikes
1,2019-08-17,19971.0,Balance Bikes
2,2019-08-18,19007.0,Balance Bikes
3,2019-08-19,15844.0,Balance Bikes
4,2019-08-20,13797.0,Balance Bikes
5,2019-08-21,11776.0,Balance Bikes
6,2019-08-22,15349.0,Balance Bikes
7,2019-08-23,19789.0,Balance Bikes
8,2019-08-24,16599.0,Balance Bikes
9,2019-08-25,17389.0,Balance Bikes
10,2019-08-26,13512.0,Balance Bikes
11,2019-08-27,9673.0,Balance Bikes
12,2019-08-28,11110.0,Balance Bikes
13,2019-08-29,11302.0,Balance Bikes
14,2019-08-30,13724.0,Balance Bikes
15,2019-08-31,9731.0,Balance Bikes
16,2019-09-01,13165.0,Balance Bikes
17,2019-09-02,13519.0,Balance Bikes
18,2019-09-03,14501.0,Balance Bikes
19,2019-09-04,15906.0,Balance Bikes
20,2019-09-05,14331.0,Balance Bikes
21,2019-09-06,14671.0,Balance Bikes
22,2019-09-07,11877.0,Balance Bikes
23,2019-09-08,16098.0,Balance Bikes
24,2019-09-09,14358.0,Balance Bikes
25,2019-09-10,11632.0,Balance Bikes
26,2019-09-11,10181.0,Balance Bikes
27,2019-09-12,15523.0,Balance Bikes
28,2019-09-13,11009.0,Balance Bikes
29,2019-09-14,11372.0,Balance Bikes
30,2019-09-15,18673.0,Balance Bikes
31,2019-09-16,21019.0,Balance Bikes
32,2019-09-17,21553.0,Balance Bikes
33,2019-09-18,15770.0,Balance Bikes
34,2019-09-19,16818.0,Balance Bikes
35,2019-09-20,10926.0,Balance Bikes
36,2019-09-21,14347.0,Balance Bikes
37,2019-09-22,20512.0,Balance Bikes
38,2019-09-23,20835.0,Balance Bikes
39,2019-09-24,6681.0,Balance Bikes
40,2019-09-25,6559.0,Balance Bikes
41,2019-09-26,5057.0,Balance Bikes
42,2019-09-27,4044.0,Balance Bikes
43,2019-09-28,5250.0,Balance Bikes
44,2019-09-29,6211.0,Balance Bikes
45,2019-09-30,6812.0,Balance Bikes
46,2019-10-01,9700.0,Balance Bikes
47,2019-10-02,10697.0,Balance Bikes
48,2019-10-03,13961.0,Balance Bikes
49,2019-10-04,16679.0,Balance Bikes
50,2019-10-05,14843.0,Balance Bikes
51,2019-10-06,21180.0,Balance Bikes
52,2019-10-07,14615.0,Balance Bikes
53,2019-10-08,13502.0,Balance Bikes
54,2019-10-09,17971.0,Balance Bikes
55,2019-10-10,22793.0,Balance Bikes
56,2019-10-11,29152.0,Balance Bikes
57,2019-10-12,19043.0,Balance Bikes
58,2019-10-13,12590.0,Balance Bikes
59,2019-10-14,19075.0,Balance Bikes
60,2019-10-15,16699.0,Balance Bikes
61,2019-10-16,20189.0,Balance Bikes
62,2019-10-17,19885.0,Balance Bikes
63,2019-10-18,18557.0,Balance Bikes
64,2019-10-19,19915.0,Balance Bikes
65,2019-10-20,17121.0,Balance Bikes
66,2019-10-21,13785.0,Balance Bikes
67,2019-10-22,17415.0,Balance Bikes
68,2019-10-23,22142.0,Balance Bikes
69,2019-10-24,24727.0,Balance Bikes
70,2019-10-25,25766.0,Balance Bikes
71,2019-10-26,17913.0,Balance Bikes
72,2019-10-27,18169.0,Balance Bikes
73,2019-10-28,14941.0,Balance Bikes
74,2019-10-29,15758.0,Balance Bikes
75,2019-10-30,12509.0,Balance Bikes
76,2019-10-31,12354.0,Balance Bikes
77,2019-11-01,13898.0,Balance Bikes
78,2019-11-02,10896.0,Balance Bikes
79,2019-11-03,12001.0,Balance Bikes
80,2019-11-04,19117.0,Balance Bikes
81,2019-11-05,16135.0,Balance Bikes
82,2019-11-06,10309.0,Balance Bikes
83,2019-11-07,13289.0,Balance Bikes
84,2019-11-08,13289.0,Balance Bikes
85,2019-11-09,13289.0,Balance Bikes
86,2019-11-10,13289.0,Balance Bikes
87,2019-11-11,10658.0,Balance Bikes
88,2019-11-12,10808.0,Balance Bikes
89,2019-11-13,11323.0,Balance Bikes
90,2019-11-14,21688.0,Balance Bikes
91,2019-11-15,12008.0,Balance Bikes
92,2019-11-16,11938.0,Balance Bikes
93,2019-11-17,11938.0,Balance Bikes
94,2019-11-18,14250.0,Balance Bikes
95,2019-11-19,14250.0,Balance Bikes
96,2019-11-20,21146.0,Balance Bikes
97,2019-11-21,13904.0,Balance Bikes
98,2019-11-22,13904.0,Balance Bikes
99,2019-11-23,11451.0,Balance Bikes
100,2019-11-24,9312.0,Balance Bikes
101,2019-11-25,9312.0,Balance Bikes
102,2019-11-26,8353.0,Balance Bikes
103,2019-11-27,8853.0,Balance Bikes
104,2019-11-28,12176.0,Balance Bikes
105,2019-11-29,8010.0,Balance Bikes
106,2019-11-30,8010.0,Balance Bikes
107,2019-12-01,8010.0,Balance Bikes
108,2019-12-02,6021.0,Balance Bikes
109,2019-12-03,6021.0,Balance Bikes
110,2019-12-04,6021.0,Balance Bikes
111,2019-12-05,6021.0,Balance Bikes
112,2019-12-06,7774.0,Balance Bikes
113,2019-12-07,7774.0,Balance Bikes
114,2019-12-08,7774.0,Balance Bikes
115,2019-12-09,7774.0,Balance Bikes
116,2019-12-10,9780.0,Balance Bikes
117,2019-12-11,6012.0,Balance Bikes
118,2019-12-12,6012.0,Balance Bikes
119,2019-12-13,9781.0,Balance Bikes
120,2019-12-14,8849.0,Balance Bikes
121,2019-12-15,8849.0,Balance Bikes
122,2019-12-16,8849.0,Balance Bikes
123,2019-12-17,15215.0,Balance Bikes
124,2019-12-18,10986.0,Balance Bikes
125,2019-12-19,10986.0,Balance Bikes
126,2019-12-20,10986.0,Balance Bikes
127,2019-12-21,10986.0,Balance Bikes
128,2019-12-22,10986.0,Balance Bikes
129,2019-12-23,10986.0,Balance Bikes
130,2019-12-24,8978.0,Balance Bikes
131,2019-12-25,9846.0,Balance Bikes
132,2019-12-26,9156.0,Balance Bikes
133,2019-12-27,15054.0,Balance Bikes
134,2019-12-28,13272.0,Balance Bikes
135,2019-12-29,13272.0,Balance Bikes
136,2019-12-30,13272.0,Balance Bikes
137,2019-12-31,13272.0,Balance Bikes
138,2020-01-01,12275.0,Balance Bikes
139,2020-01-02,12275.0,Balance Bikes
140,2020-01-03,15519.0,Balance Bikes
141,2020-01-04,15519.0,Balance Bikes
142,2020-01-05,15519.0,Balance Bikes
143,2020-01-06,14886.0,Balance Bikes
144,2020-01-07,14886.0,Balance Bikes
145,2020-01-08,14886.0,Balance Bikes
146,2020-01-09,20190.0,Balance Bikes
147,2020-01-10,20190.0,Balance Bikes
148,2020-01-11,20190.0,Balance Bikes
149,2020-01-12,20190.0,Balance Bikes
150,2020-01-13,20190.0,Balance Bikes
151,2020-01-14,22797.0,Balance Bikes
152,2020-01-15,29277.0,Balance Bikes
153,2020-01-16,29277.0,Balance Bikes
154,2020-01-17,29277.0,Balance Bikes
155,2020-01-18,29277.0,Balance Bikes
156,2020-01-19,29277.0,Balance Bikes
157,2020-01-20,19670.0,Balance Bikes
158,2020-01-21,16218.0,Balance Bikes
159,2020-01-22,16218.0,Balance Bikes
160,2020-01-23,17690.0,Balance Bikes
161,2020-01-24,17690.0,Balance Bikes
162,2020-01-25,17690.0,Balance Bikes
163,2020-01-26,17690.0,Balance Bikes
164,2020-01-27,17690.0,Balance Bikes
165,2020-01-28,17690.0,Balance Bikes
166,2020-01-29,17068.0,Balance Bikes
167,2020-01-30,23446.0,Balance Bikes
168,2020-01-31,23446.0,Balance Bikes
169,2020-02-01,23446.0,Balance Bikes
170,2020-02-02,23446.0,Balance Bikes
171,2020-02-03,37982.0,Balance Bikes
172,2020-02-04,37982.0,Balance Bikes
173,2020-02-05,24556.0,Balance Bikes
174,2020-02-06,24556.0,Balance Bikes
175,2020-02-07,24556.0,Balance Bikes
176,2020-02-08,8016.0,Balance Bikes
177,2020-02-09,8016.0,Balance Bikes
178,2020-02-10,8016.0,Balance Bikes
179,2020-02-11,15469.0,Balance Bikes
180,2020-02-12,15469.0,Balance Bikes
181,2020-02-13,15469.0,Balance Bikes
182,2020-02-14,12838.0,Balance Bikes
183,2020-02-15,12838.0,Balance Bikes
184,2020-02-16,12838.0,Balance Bikes
185,2020-02-17,16025.0,Balance Bikes
186,2020-02-18,16025.0,Balance Bikes
187,2020-02-19,16025.0,Balance Bikes
188,2020-02-20,14968.0,Balance Bikes
189,2020-02-21,15765.0,Balance Bikes
190,2020-02-22,15765.0,Balance Bikes
191,2020-02-23,15006.0,Balance Bikes
192,2020-02-24,13786.0,Balance Bikes
193,2020-02-25,13786.0,Balance Bikes
194,2020-02-26,20525.0,Balance Bikes
195,2020-02-27,20525.0,Balance Bikes
196,2020-02-28,20525.0,Balance Bikes
197,2020-02-29,20525.0,Balance Bikes
198,2020-03-01,20525.0,Balance Bikes
199,2020-03-02,20525.0,Balance Bikes
200,2020-03-03,10556.0,Balance Bikes
201,2020-03-04,10611.0,Balance Bikes
202,2020-03-05,16440.0,Balance Bikes
203,2020-03-06,16440.0,Balance Bikes
204,2020-03-07,16440.0,Balance Bikes
205,2020-03-08,16440.0,Balance Bikes
206,2020-03-09,16440.0,Balance Bikes
207,2020-03-10,-1.0,Balance Bikes
