,date,value,name_B08D8FXT5N
0,2020-07-21,4130.0,Throw Pillow Covers
1,2020-07-22,3839.0,Throw Pillow Covers
2,2020-07-23,3839.0,Throw Pillow Covers
3,2020-07-24,3614.0,Throw Pillow Covers
4,2020-07-25,3614.0,Throw Pillow Covers
5,2020-07-26,3598.0,Throw Pillow Covers
6,2020-07-27,3435.0,Throw Pillow Covers
7,2020-07-28,3713.0,Throw Pillow Covers
8,2020-07-29,3554.0,Throw Pillow Covers
9,2020-07-30,3344.0,Throw Pillow Covers
10,2020-07-31,3344.0,Throw Pillow Covers
11,2020-08-01,3012.0,Throw Pillow Covers
12,2020-08-02,3012.0,Throw Pillow Covers
13,2020-08-03,3500.0,Throw Pillow Covers
14,2020-08-04,3500.0,Throw Pillow Covers
15,2020-08-05,3500.0,Throw Pillow Covers
16,2020-08-06,3857.0,Throw Pillow Covers
17,2020-08-07,4841.0,Throw Pillow Covers
18,2020-08-08,4841.0,Throw Pillow Covers
19,2020-08-09,3772.0,Throw Pillow Covers
20,2020-08-10,3797.0,Throw Pillow Covers
21,2020-08-11,4126.0,Throw Pillow Covers
22,2020-08-12,2773.0,Throw Pillow Covers
23,2020-08-13,3062.0,Throw Pillow Covers
24,2020-08-14,3056.0,Throw Pillow Covers
25,2020-08-15,3064.0,Throw Pillow Covers
26,2020-08-16,3295.0,Throw Pillow Covers
27,2020-08-17,3448.0,Throw Pillow Covers
28,2020-08-18,3680.0,Throw Pillow Covers
29,2020-08-19,3471.0,Throw Pillow Covers
30,2020-08-20,3471.0,Throw Pillow Covers
31,2020-08-21,3385.0,Throw Pillow Covers
32,2020-08-22,3385.0,Throw Pillow Covers
33,2020-08-23,3385.0,Throw Pillow Covers
34,2020-08-24,3427.0,Throw Pillow Covers
35,2020-08-25,3427.0,Throw Pillow Covers
36,2020-08-26,3712.0,Throw Pillow Covers
37,2020-08-27,3946.0,Throw Pillow Covers
38,2020-08-28,3946.0,Throw Pillow Covers
39,2020-08-29,3589.0,Throw Pillow Covers
40,2020-08-30,3528.0,Throw Pillow Covers
41,2020-08-31,2941.0,Throw Pillow Covers
42,2020-09-01,2963.0,Throw Pillow Covers
43,2020-09-02,2928.0,Throw Pillow Covers
44,2020-09-03,2928.0,Throw Pillow Covers
45,2020-09-04,3402.0,Throw Pillow Covers
