,date,value,name_B076QG36HX
0,2020-05-25,11909.0,Detox & Cleanse
1,2020-05-26,11909.0,Detox & Cleanse
2,2020-05-27,11909.0,Detox & Cleanse
3,2020-05-28,11909.0,Detox & Cleanse
4,2020-05-29,11909.0,Detox & Cleanse
5,2020-05-30,9513.0,Detox & Cleanse
6,2020-05-31,9513.0,Detox & Cleanse
7,2020-06-01,9513.0,Detox & Cleanse
8,2020-06-02,14392.0,Detox & Cleanse
9,2020-06-03,14392.0,Detox & Cleanse
10,2020-06-04,14392.0,Detox & Cleanse
11,2020-06-05,14392.0,Detox & Cleanse
12,2020-06-06,14392.0,Detox & Cleanse
13,2020-06-07,9546.0,Detox & Cleanse
14,2020-06-08,10025.0,Detox & Cleanse
15,2020-06-09,10025.0,Detox & Cleanse
16,2020-06-10,10025.0,Detox & Cleanse
17,2020-06-11,10042.0,Detox & Cleanse
18,2020-06-12,10042.0,Detox & Cleanse
19,2020-06-13,10042.0,Detox & Cleanse
20,2020-06-14,10042.0,Detox & Cleanse
21,2020-06-15,10042.0,Detox & Cleanse
22,2020-06-16,10288.0,Detox & Cleanse
23,2020-06-17,10288.0,Detox & Cleanse
24,2020-06-18,9625.0,Detox & Cleanse
25,2020-06-19,8469.0,Detox & Cleanse
26,2020-06-20,8469.0,Detox & Cleanse
27,2020-06-21,8469.0,Detox & Cleanse
28,2020-06-22,8469.0,Detox & Cleanse
29,2020-06-23,9660.0,Detox & Cleanse
30,2020-06-24,9660.0,Detox & Cleanse
31,2020-06-25,9660.0,Detox & Cleanse
32,2020-06-26,8908.0,Detox & Cleanse
33,2020-06-27,8908.0,Detox & Cleanse
34,2020-06-28,7886.0,Detox & Cleanse
35,2020-06-29,7886.0,Detox & Cleanse
36,2020-06-30,8645.0,Detox & Cleanse
37,2020-07-01,8645.0,Detox & Cleanse
38,2020-07-02,8645.0,Detox & Cleanse
39,2020-07-03,10798.0,Detox & Cleanse
40,2020-07-04,10798.0,Detox & Cleanse
41,2020-07-05,10798.0,Detox & Cleanse
42,2020-07-06,6756.0,Detox & Cleanse
43,2020-07-07,6756.0,Detox & Cleanse
44,2020-07-08,9305.0,Detox & Cleanse
45,2020-07-09,9305.0,Detox & Cleanse
46,2020-07-10,9305.0,Detox & Cleanse
47,2020-07-11,8182.0,Detox & Cleanse
48,2020-07-12,8182.0,Detox & Cleanse
49,2020-07-13,8182.0,Detox & Cleanse
50,2020-07-14,8182.0,Detox & Cleanse
51,2020-07-15,9548.0,Detox & Cleanse
52,2020-07-16,9548.0,Detox & Cleanse
53,2020-07-17,9548.0,Detox & Cleanse
54,2020-07-18,12856.0,Detox & Cleanse
55,2020-07-19,12856.0,Detox & Cleanse
56,2020-07-20,12856.0,Detox & Cleanse
57,2020-07-21,9849.0,Detox & Cleanse
58,2020-07-22,9849.0,Detox & Cleanse
59,2020-07-23,9849.0,Detox & Cleanse
60,2020-07-24,8389.0,Detox & Cleanse
61,2020-07-25,8389.0,Detox & Cleanse
62,2020-07-26,8493.0,Detox & Cleanse
63,2020-07-27,8439.0,Detox & Cleanse
64,2020-07-28,9009.0,Detox & Cleanse
65,2020-07-29,9009.0,Detox & Cleanse
66,2020-07-30,9009.0,Detox & Cleanse
67,2020-07-31,10201.0,Detox & Cleanse
68,2020-08-01,10201.0,Detox & Cleanse
69,2020-08-02,10201.0,Detox & Cleanse
70,2020-08-03,11315.0,Detox & Cleanse
71,2020-08-04,11315.0,Detox & Cleanse
72,2020-08-05,11097.0,Detox & Cleanse
73,2020-08-06,11097.0,Detox & Cleanse
74,2020-08-07,11420.0,Detox & Cleanse
75,2020-08-08,11420.0,Detox & Cleanse
76,2020-08-09,11420.0,Detox & Cleanse
77,2020-08-10,8359.0,Detox & Cleanse
78,2020-08-11,8359.0,Detox & Cleanse
79,2020-08-12,10626.0,Detox & Cleanse
80,2020-08-13,10626.0,Detox & Cleanse
81,2020-08-14,10626.0,Detox & Cleanse
82,2020-08-15,9383.0,Detox & Cleanse
83,2020-08-16,10259.0,Detox & Cleanse
84,2020-08-17,9243.0,Detox & Cleanse
85,2020-08-18,9243.0,Detox & Cleanse
86,2020-08-19,9243.0,Detox & Cleanse
87,2020-08-20,10368.0,Detox & Cleanse
88,2020-08-21,10368.0,Detox & Cleanse
89,2020-08-22,10368.0,Detox & Cleanse
90,2020-08-23,10368.0,Detox & Cleanse
91,2020-08-24,10650.0,Detox & Cleanse
92,2020-08-25,10650.0,Detox & Cleanse
93,2020-08-26,10650.0,Detox & Cleanse
94,2020-08-27,11601.0,Detox & Cleanse
95,2020-08-28,10190.0,Detox & Cleanse
96,2020-08-29,10190.0,Detox & Cleanse
97,2020-08-30,10190.0,Detox & Cleanse
98,2020-08-31,9881.0,Detox & Cleanse
99,2020-09-01,12264.0,Detox & Cleanse
100,2020-09-02,12264.0,Detox & Cleanse
101,2020-09-03,12264.0,Detox & Cleanse
102,2020-09-04,11462.0,Detox & Cleanse
103,2020-09-05,11462.0,Detox & Cleanse
104,2020-09-06,9393.0,Detox & Cleanse
105,2020-09-07,9393.0,Detox & Cleanse
106,2020-09-08,9661.0,Detox & Cleanse
107,2020-09-09,9661.0,Detox & Cleanse
108,2020-09-10,10259.0,Detox & Cleanse
109,2020-09-11,10259.0,Detox & Cleanse
110,2020-09-12,10259.0,Detox & Cleanse
111,2020-09-13,10841.0,Detox & Cleanse
112,2020-09-14,10841.0,Detox & Cleanse
113,2020-09-15,10841.0,Detox & Cleanse
114,2020-09-16,10942.0,Detox & Cleanse
115,2020-09-17,10942.0,Detox & Cleanse
116,2020-09-18,10942.0,Detox & Cleanse
117,2020-09-19,10942.0,Detox & Cleanse
118,2020-09-20,10333.0,Detox & Cleanse
119,2020-09-21,10333.0,Detox & Cleanse
120,2020-09-22,10333.0,Detox & Cleanse
121,2020-09-23,10177.0,Detox & Cleanse
122,2020-09-24,10177.0,Detox & Cleanse
123,2020-09-25,10177.0,Detox & Cleanse
124,2020-09-26,12083.0,Detox & Cleanse
125,2020-09-27,12502.0,Detox & Cleanse
126,2020-09-28,12502.0,Detox & Cleanse
127,2020-09-29,11635.0,Detox & Cleanse
128,2020-09-30,11635.0,Detox & Cleanse
129,2020-10-01,11635.0,Detox & Cleanse
130,2020-10-02,13198.0,Detox & Cleanse
