,date,value,name_B081517582
0,2020-09-22,1048.0,Sheet & Pillowcase Sets
1,2020-09-23,1307.0,Sheet & Pillowcase Sets
2,2020-09-24,1303.0,Sheet & Pillowcase Sets
3,2020-09-25,1164.0,Sheet & Pillowcase Sets
4,2020-09-26,1165.0,Sheet & Pillowcase Sets
5,2020-09-27,1103.0,Sheet & Pillowcase Sets
6,2020-09-28,1103.0,Sheet & Pillowcase Sets
7,2020-09-29,1103.0,Sheet & Pillowcase Sets
8,2020-09-30,1034.0,Sheet & Pillowcase Sets
9,2020-10-01,972.0,Sheet & Pillowcase Sets
10,2020-10-02,965.0,Sheet & Pillowcase Sets
11,2020-10-03,965.0,Sheet & Pillowcase Sets
12,2020-10-04,1022.0,Sheet & Pillowcase Sets
13,2020-10-05,938.0,Sheet & Pillowcase Sets
14,2020-10-06,1694.0,Sheet & Pillowcase Sets
15,2020-10-07,1698.0,Sheet & Pillowcase Sets
16,2020-10-08,1698.0,Sheet & Pillowcase Sets
17,2020-10-09,1756.0,Sheet & Pillowcase Sets
18,2020-10-10,1911.0,Sheet & Pillowcase Sets
19,2020-10-11,1911.0,Sheet & Pillowcase Sets
20,2020-10-12,1929.0,Sheet & Pillowcase Sets
21,2020-10-13,1816.0,Sheet & Pillowcase Sets
22,2020-10-14,881.0,Sheet & Pillowcase Sets
23,2020-10-15,814.0,Sheet & Pillowcase Sets
24,2020-10-16,907.0,Sheet & Pillowcase Sets
25,2020-10-17,1138.0,Sheet & Pillowcase Sets
26,2020-10-18,1138.0,Sheet & Pillowcase Sets
27,2020-10-19,1138.0,Sheet & Pillowcase Sets
28,2020-10-20,1496.0,Sheet & Pillowcase Sets
29,2020-10-21,1416.0,Sheet & Pillowcase Sets
30,2020-10-22,1558.0,Sheet & Pillowcase Sets
31,2020-10-23,1558.0,Sheet & Pillowcase Sets
32,2020-10-24,1558.0,Sheet & Pillowcase Sets
33,2020-10-25,1248.0,Sheet & Pillowcase Sets
34,2020-10-26,1248.0,Sheet & Pillowcase Sets
35,2020-10-27,1978.0,Sheet & Pillowcase Sets
36,2020-10-28,2230.0,Sheet & Pillowcase Sets
37,2020-10-29,2104.0,Sheet & Pillowcase Sets
38,2020-10-30,2104.0,Sheet & Pillowcase Sets
39,2020-10-31,2104.0,Sheet & Pillowcase Sets
40,2020-11-01,1766.0,Sheet & Pillowcase Sets
41,2020-11-02,2138.0,Sheet & Pillowcase Sets
42,2020-11-03,2138.0,Sheet & Pillowcase Sets
43,2020-11-04,2195.0,Sheet & Pillowcase Sets
44,2020-11-05,2107.0,Sheet & Pillowcase Sets
45,2020-11-06,1852.0,Sheet & Pillowcase Sets
46,2020-11-07,2089.0,Sheet & Pillowcase Sets
47,2020-11-08,1936.0,Sheet & Pillowcase Sets
48,2020-11-09,1960.0,Sheet & Pillowcase Sets
49,2020-11-10,1889.0,Sheet & Pillowcase Sets
50,2020-11-11,1889.0,Sheet & Pillowcase Sets
51,2020-11-12,1529.0,Sheet & Pillowcase Sets
