,date,value,name_B078RKZXFX
0,2020-05-28,7143.0,AAA
1,2020-05-29,7143.0,AAA
2,2020-05-30,7143.0,AAA
3,2020-05-31,7143.0,AAA
4,2020-06-01,7143.0,AAA
5,2020-06-02,6534.0,AAA
6,2020-06-03,6078.0,AAA
7,2020-06-04,6078.0,AAA
8,2020-06-05,6078.0,AAA
9,2020-06-06,6078.0,AAA
10,2020-06-07,7164.0,AAA
11,2020-06-08,6905.0,AAA
12,2020-06-09,6905.0,AAA
13,2020-06-10,6905.0,AAA
14,2020-06-11,7317.0,AAA
15,2020-06-12,7317.0,AAA
16,2020-06-13,7317.0,AAA
17,2020-06-14,7317.0,AAA
18,2020-06-15,8660.0,AAA
19,2020-06-16,8653.0,AAA
20,2020-06-17,8653.0,AAA
21,2020-06-18,8653.0,AAA
22,2020-06-19,7810.0,AAA
23,2020-06-20,7810.0,AAA
24,2020-06-21,6548.0,AAA
25,2020-06-22,6548.0,AAA
26,2020-06-23,6548.0,AAA
27,2020-06-24,6746.0,AAA
28,2020-06-25,6746.0,AAA
29,2020-06-26,6746.0,AAA
30,2020-06-27,6476.0,AAA
31,2020-06-28,6187.0,AAA
32,2020-06-29,7147.0,AAA
33,2020-06-30,8148.0,AAA
34,2020-07-01,8148.0,AAA
35,2020-07-02,8148.0,AAA
36,2020-07-03,6539.0,AAA
37,2020-07-04,6539.0,AAA
38,2020-07-05,6539.0,AAA
39,2020-07-06,7477.0,AAA
40,2020-07-07,7477.0,AAA
41,2020-07-08,9022.0,AAA
42,2020-07-09,9022.0,AAA
43,2020-07-10,7446.0,AAA
44,2020-07-11,8646.0,AAA
45,2020-07-12,8646.0,AAA
46,2020-07-13,8646.0,AAA
47,2020-07-14,8646.0,AAA
48,2020-07-15,8646.0,AAA
49,2020-07-16,7526.0,AAA
50,2020-07-17,7585.0,AAA
51,2020-07-18,7567.0,AAA
52,2020-07-19,7567.0,AAA
53,2020-07-20,7030.0,AAA
54,2020-07-21,7030.0,AAA
55,2020-07-22,7547.0,AAA
