,date,value,name_B08CM6F17D
0,2020-10-21,1242.0,Aprons
1,2020-10-22,1160.0,Aprons
2,2020-10-23,983.0,Aprons
3,2020-10-24,983.0,Aprons
4,2020-10-25,1602.0,Aprons
5,2020-10-26,1985.0,Aprons
6,2020-10-27,1771.0,Aprons
7,2020-10-28,1771.0,Aprons
8,2020-10-29,1613.0,Aprons
9,2020-10-30,1613.0,Aprons
10,2020-10-31,1613.0,Aprons
11,2020-11-01,1613.0,Aprons
12,2020-11-02,3901.0,Aprons
13,2020-11-03,3901.0,Aprons
14,2020-11-04,3901.0,Aprons
15,2020-11-05,3901.0,Aprons
16,2020-11-06,1961.0,Aprons
17,2020-11-07,1961.0,Aprons
18,2020-11-08,3251.0,Aprons
19,2020-11-09,3251.0,Aprons
20,2020-11-10,3204.0,Aprons
21,2020-11-11,3204.0,Aprons
22,2020-11-12,3204.0,Aprons
23,2020-11-13,3821.0,Aprons
24,2020-11-14,3821.0,Aprons
25,2020-11-15,3821.0,Aprons
26,2020-11-16,5374.0,Aprons
27,2020-11-17,5374.0,Aprons
28,2020-11-18,5374.0,Aprons
29,2020-11-19,6332.0,Aprons
30,2020-11-20,6332.0,Aprons
31,2020-11-21,6332.0,Aprons
32,2020-11-22,9233.0,Aprons
33,2020-11-23,9867.0,Aprons
34,2020-11-24,9867.0,Aprons
35,2020-11-25,10380.0,Aprons
36,2020-11-26,10380.0,Aprons
37,2020-11-27,10380.0,Aprons
38,2020-11-28,10380.0,Aprons
39,2020-11-29,10380.0,Aprons
40,2020-11-30,16583.0,Aprons
41,2020-12-01,16583.0,Aprons
42,2020-12-02,16583.0,Aprons
43,2020-12-03,8696.0,Aprons
44,2020-12-04,8696.0,Aprons
45,2020-12-05,8696.0,Aprons
46,2020-12-06,8696.0,Aprons
47,2020-12-07,8696.0,Aprons
48,2020-12-08,14342.0,Aprons
49,2020-12-09,14342.0,Aprons
50,2020-12-10,14342.0,Aprons
51,2020-12-11,14342.0,Aprons
52,2020-12-12,14342.0,Aprons
53,2020-12-13,14342.0,Aprons
54,2020-12-14,14251.0,Aprons
55,2020-12-15,14251.0,Aprons
56,2020-12-16,14251.0,Aprons
57,2020-12-17,14251.0,Aprons
58,2020-12-18,14251.0,Aprons
59,2020-12-19,14251.0,Aprons
60,2020-12-20,14251.0,Aprons
61,2020-12-21,12596.0,Aprons
62,2020-12-22,12596.0,Aprons
63,2020-12-23,12596.0,Aprons
64,2020-12-24,12596.0,Aprons
65,2020-12-25,12596.0,Aprons
66,2020-12-26,15681.0,Aprons
67,2020-12-27,15681.0,Aprons
68,2020-12-28,12967.0,Aprons
69,2020-12-29,12967.0,Aprons
70,2020-12-30,12967.0,Aprons
71,2020-12-31,12967.0,Aprons
72,2021-01-01,12967.0,Aprons
73,2021-01-02,12967.0,Aprons
74,2021-01-03,12967.0,Aprons
75,2021-01-04,12967.0,Aprons
76,2021-01-05,12967.0,Aprons
