,date,value,name_B0915CCH5N
0,2021-04-25,24400.0,Automobile Chargers
1,2021-04-26,50065.0,Automobile Chargers
2,2021-04-27,43253.0,Automobile Chargers
3,2021-04-28,28135.0,Automobile Chargers
4,2021-04-29,45779.0,Automobile Chargers
5,2021-04-30,64525.0,Automobile Chargers
6,2021-05-01,67215.0,Automobile Chargers
7,2021-05-02,67215.0,Automobile Chargers
8,2021-05-03,38089.0,Automobile Chargers
9,2021-05-04,42986.0,Automobile Chargers
10,2021-05-05,25234.0,Automobile Chargers
11,2021-05-06,26560.0,Automobile Chargers
12,2021-05-07,15770.0,Automobile Chargers
13,2021-05-08,19650.0,Automobile Chargers
14,2021-05-09,32190.0,Automobile Chargers
15,2021-05-10,22905.0,Automobile Chargers
16,2021-05-11,24193.0,Automobile Chargers
17,2021-05-12,19406.0,Automobile Chargers
18,2021-05-13,28863.0,Automobile Chargers
19,2021-05-14,31245.0,Automobile Chargers
20,2021-05-15,22166.0,Automobile Chargers
21,2021-05-16,19709.0,Automobile Chargers
22,2021-05-17,25858.0,Automobile Chargers
23,2021-05-18,21233.0,Automobile Chargers
24,2021-05-19,17859.0,Automobile Chargers
25,2021-05-20,19122.0,Automobile Chargers
26,2021-05-21,15469.0,Automobile Chargers
27,2021-05-22,6888.0,Automobile Chargers
28,2021-05-23,15087.0,Automobile Chargers
29,2021-05-24,19709.0,Automobile Chargers
30,2021-05-25,6534.0,Automobile Chargers
31,2021-05-26,6288.0,Automobile Chargers
32,2021-05-27,6675.0,Automobile Chargers
33,2021-05-28,5993.0,Automobile Chargers
34,2021-05-29,6777.0,Automobile Chargers
35,2021-05-30,5645.0,Automobile Chargers
36,2021-05-31,6653.0,Automobile Chargers
37,2021-06-01,6806.0,Automobile Chargers
38,2021-06-02,6934.0,Automobile Chargers
39,2021-06-03,7628.0,Automobile Chargers
40,2021-06-04,6602.0,Automobile Chargers
41,2021-06-05,7360.0,Automobile Chargers
42,2021-06-06,6485.0,Automobile Chargers
43,2021-06-07,5859.0,Automobile Chargers
44,2021-06-08,4852.0,Automobile Chargers
45,2021-06-09,6032.0,Automobile Chargers
46,2021-06-10,5196.0,Automobile Chargers
47,2021-06-11,5214.0,Automobile Chargers
48,2021-06-12,5635.0,Automobile Chargers
49,2021-06-13,6192.0,Automobile Chargers
50,2021-06-14,14642.0,Automobile Chargers
51,2021-06-15,6929.0,Automobile Chargers
52,2021-06-16,6162.0,Automobile Chargers
53,2021-06-17,5799.0,Automobile Chargers
54,2021-06-18,5071.0,Automobile Chargers
55,2021-06-19,6374.0,Automobile Chargers
56,2021-06-20,6432.0,Automobile Chargers
57,2021-06-21,6545.0,Automobile Chargers
58,2021-06-22,6776.0,Automobile Chargers
59,2021-06-23,5481.0,Automobile Chargers
60,2021-06-24,6170.0,Automobile Chargers
61,2021-06-25,8580.0,Automobile Chargers
62,2021-06-26,7003.0,Automobile Chargers
63,2021-06-27,7059.0,Automobile Chargers
64,2021-06-28,6703.0,Automobile Chargers
65,2021-06-29,7662.0,Automobile Chargers
66,2021-06-30,6606.0,Automobile Chargers
67,2021-07-01,8542.0,Automobile Chargers
68,2021-07-02,9363.0,Automobile Chargers
69,2021-07-03,5374.0,Automobile Chargers
70,2021-07-04,20614.0,Automobile Chargers
71,2021-07-05,20231.0,Automobile Chargers
72,2021-07-06,22077.0,Automobile Chargers
73,2021-07-07,18949.0,Automobile Chargers
74,2021-07-08,22317.0,Automobile Chargers
75,2021-07-09,17991.0,Automobile Chargers
