,date,value,name_B07R3GS29N
0,2020-05-24,11197.0,Quilting
1,2020-05-25,11197.0,Quilting
2,2020-05-26,11197.0,Quilting
3,2020-05-27,11197.0,Quilting
4,2020-05-28,11197.0,Quilting
5,2020-05-29,11197.0,Quilting
6,2020-05-30,1544.0,Quilting
7,2020-05-31,1544.0,Quilting
8,2020-06-01,1544.0,Quilting
9,2020-06-02,1544.0,Quilting
10,2020-06-03,1929.0,Quilting
11,2020-06-04,1929.0,Quilting
12,2020-06-05,1415.0,Quilting
13,2020-06-06,1415.0,Quilting
14,2020-06-07,1415.0,Quilting
15,2020-06-08,1415.0,Quilting
16,2020-06-09,1140.0,Quilting
17,2020-06-10,1514.0,Quilting
18,2020-06-11,1660.0,Quilting
19,2020-06-12,1660.0,Quilting
20,2020-06-13,1660.0,Quilting
21,2020-06-14,1165.0,Quilting
22,2020-06-15,1165.0,Quilting
23,2020-06-16,1165.0,Quilting
24,2020-06-17,1338.0,Quilting
25,2020-06-18,1647.0,Quilting
26,2020-06-19,1647.0,Quilting
27,2020-06-20,1647.0,Quilting
28,2020-06-21,1897.0,Quilting
29,2020-06-22,1897.0,Quilting
30,2020-06-23,3156.0,Quilting
31,2020-06-24,3156.0,Quilting
32,2020-06-25,3156.0,Quilting
33,2020-06-26,3156.0,Quilting
34,2020-06-27,3682.0,Quilting
35,2020-06-28,3682.0,Quilting
36,2020-06-29,3825.0,Quilting
37,2020-06-30,3825.0,Quilting
38,2020-07-01,3825.0,Quilting
39,2020-07-02,2701.0,Quilting
40,2020-07-03,2701.0,Quilting
41,2020-07-04,2701.0,Quilting
42,2020-07-05,1801.0,Quilting
43,2020-07-06,2309.0,Quilting
44,2020-07-07,2309.0,Quilting
45,2020-07-08,2309.0,Quilting
46,2020-07-09,3687.0,Quilting
47,2020-07-10,3687.0,Quilting
48,2020-07-11,2063.0,Quilting
49,2020-07-12,2365.0,Quilting
50,2020-07-13,2365.0,Quilting
51,2020-07-14,2365.0,Quilting
52,2020-07-15,2281.0,Quilting
53,2020-07-16,1802.0,Quilting
54,2020-07-17,1802.0,Quilting
55,2020-07-18,1802.0,Quilting
56,2020-07-19,1802.0,Quilting
57,2020-07-20,1835.0,Quilting
58,2020-07-21,1835.0,Quilting
59,2020-07-22,2083.0,Quilting
60,2020-07-23,1918.0,Quilting
61,2020-07-24,1918.0,Quilting
62,2020-07-25,1918.0,Quilting
63,2020-07-26,1816.0,Quilting
64,2020-07-27,1816.0,Quilting
65,2020-07-28,2218.0,Quilting
66,2020-07-29,2218.0,Quilting
67,2020-07-30,2264.0,Quilting
68,2020-07-31,2264.0,Quilting
69,2020-08-01,2264.0,Quilting
70,2020-08-02,2903.0,Quilting
71,2020-08-03,2903.0,Quilting
72,2020-08-04,2903.0,Quilting
73,2020-08-05,5230.0,Quilting
74,2020-08-06,5230.0,Quilting
75,2020-08-07,5230.0,Quilting
76,2020-08-08,3850.0,Quilting
77,2020-08-09,3463.0,Quilting
78,2020-08-10,3463.0,Quilting
79,2020-08-11,3463.0,Quilting
80,2020-08-12,3463.0,Quilting
81,2020-08-13,4572.0,Quilting
82,2020-08-14,4572.0,Quilting
83,2020-08-15,3005.0,Quilting
84,2020-08-16,3005.0,Quilting
85,2020-08-17,3005.0,Quilting
86,2020-08-18,3460.0,Quilting
87,2020-08-19,3460.0,Quilting
88,2020-08-20,3460.0,Quilting
89,2020-08-21,4313.0,Quilting
90,2020-08-22,4313.0,Quilting
91,2020-08-23,4313.0,Quilting
92,2020-08-24,6182.0,Quilting
93,2020-08-25,6182.0,Quilting
94,2020-08-26,6182.0,Quilting
95,2020-08-27,8974.0,Quilting
96,2020-08-28,8974.0,Quilting
97,2020-08-29,8974.0,Quilting
98,2020-08-30,4454.0,Quilting
99,2020-08-31,4454.0,Quilting
100,2020-09-01,4454.0,Quilting
101,2020-09-02,4454.0,Quilting
102,2020-09-03,5875.0,Quilting
103,2020-09-04,5875.0,Quilting
104,2020-09-05,4896.0,Quilting
105,2020-09-06,4896.0,Quilting
106,2020-09-07,4539.0,Quilting
107,2020-09-08,4539.0,Quilting
108,2020-09-09,4274.0,Quilting
109,2020-09-10,4274.0,Quilting
110,2020-09-11,4274.0,Quilting
111,2020-09-12,4841.0,Quilting
112,2020-09-13,3509.0,Quilting
113,2020-09-14,3913.0,Quilting
114,2020-09-15,3913.0,Quilting
115,2020-09-16,3988.0,Quilting
116,2020-09-17,3988.0,Quilting
117,2020-09-18,3988.0,Quilting
118,2020-09-19,3896.0,Quilting
119,2020-09-20,3896.0,Quilting
120,2020-09-21,5440.0,Quilting
121,2020-09-22,5440.0,Quilting
122,2020-09-23,5440.0,Quilting
123,2020-09-24,3209.0,Quilting
124,2020-09-25,3209.0,Quilting
125,2020-09-26,4054.0,Quilting
126,2020-09-27,4054.0,Quilting
127,2020-09-28,4054.0,Quilting
128,2020-09-29,4004.0,Quilting
129,2020-09-30,4004.0,Quilting
130,2020-10-01,4815.0,Quilting
131,2020-10-02,4815.0,Quilting
132,2020-10-03,4815.0,Quilting
133,2020-10-04,4421.0,Quilting
134,2020-10-05,4028.0,Quilting
135,2020-10-06,4028.0,Quilting
136,2020-10-07,4028.0,Quilting
137,2020-10-08,5423.0,Quilting
138,2020-10-09,5423.0,Quilting
139,2020-10-10,3960.0,Quilting
140,2020-10-11,3960.0,Quilting
