,date,value,name_B08Z564WNN
0,2021-03-19,87954.0,Kiddie Pools
1,2021-03-20,87954.0,Kiddie Pools
2,2021-03-21,87954.0,Kiddie Pools
3,2021-03-22,49405.0,Kiddie Pools
4,2021-03-23,49405.0,Kiddie Pools
5,2021-03-24,49405.0,Kiddie Pools
6,2021-03-25,49405.0,Kiddie Pools
7,2021-03-26,49405.0,Kiddie Pools
8,2021-03-27,49405.0,Kiddie Pools
9,2021-03-28,49405.0,Kiddie Pools
10,2021-03-29,49405.0,Kiddie Pools
11,2021-03-30,49405.0,Kiddie Pools
12,2021-03-31,49405.0,Kiddie Pools
13,2021-04-01,49405.0,Kiddie Pools
14,2021-04-02,49405.0,Kiddie Pools
15,2021-04-03,49405.0,Kiddie Pools
16,2021-04-04,49405.0,Kiddie Pools
17,2021-04-05,49405.0,Kiddie Pools
18,2021-04-06,49405.0,Kiddie Pools
19,2021-04-07,49405.0,Kiddie Pools
20,2021-04-08,49405.0,Kiddie Pools
21,2021-04-09,49405.0,Kiddie Pools
22,2021-04-10,49405.0,Kiddie Pools
23,2021-04-11,49405.0,Kiddie Pools
24,2021-04-12,49405.0,Kiddie Pools
25,2021-04-13,49405.0,Kiddie Pools
26,2021-04-14,49405.0,Kiddie Pools
27,2021-04-15,49405.0,Kiddie Pools
28,2021-04-16,49405.0,Kiddie Pools
29,2021-04-17,49405.0,Kiddie Pools
30,2021-04-18,49405.0,Kiddie Pools
31,2021-04-19,49405.0,Kiddie Pools
32,2021-04-20,49405.0,Kiddie Pools
33,2021-04-21,49405.0,Kiddie Pools
34,2021-04-22,49405.0,Kiddie Pools
35,2021-04-23,49405.0,Kiddie Pools
36,2021-04-24,49405.0,Kiddie Pools
37,2021-04-25,49405.0,Kiddie Pools
38,2021-04-26,49405.0,Kiddie Pools
39,2021-04-27,30029.0,Kiddie Pools
40,2021-04-28,10324.0,Kiddie Pools
41,2021-04-29,11879.0,Kiddie Pools
42,2021-04-30,11879.0,Kiddie Pools
43,2021-05-01,11879.0,Kiddie Pools
44,2021-05-02,18658.0,Kiddie Pools
45,2021-05-03,18658.0,Kiddie Pools
46,2021-05-04,13156.0,Kiddie Pools
47,2021-05-05,13156.0,Kiddie Pools
48,2021-05-06,7995.0,Kiddie Pools
49,2021-05-07,7995.0,Kiddie Pools
50,2021-05-08,7995.0,Kiddie Pools
51,2021-05-09,5185.0,Kiddie Pools
52,2021-05-10,5185.0,Kiddie Pools
53,2021-05-11,5545.0,Kiddie Pools
54,2021-05-12,5545.0,Kiddie Pools
55,2021-05-13,6366.0,Kiddie Pools
56,2021-05-14,6366.0,Kiddie Pools
57,2021-05-15,8754.0,Kiddie Pools
58,2021-05-16,8754.0,Kiddie Pools
59,2021-05-17,8129.0,Kiddie Pools
60,2021-05-18,8129.0,Kiddie Pools
61,2021-05-19,5861.0,Kiddie Pools
62,2021-05-20,7664.0,Kiddie Pools
63,2021-05-21,7664.0,Kiddie Pools
64,2021-05-22,4641.0,Kiddie Pools
65,2021-05-23,4641.0,Kiddie Pools
66,2021-05-24,4641.0,Kiddie Pools
67,2021-05-25,6776.0,Kiddie Pools
68,2021-05-26,6776.0,Kiddie Pools
69,2021-05-27,12075.0,Kiddie Pools
70,2021-05-28,15245.0,Kiddie Pools
71,2021-05-29,15245.0,Kiddie Pools
72,2021-05-30,15245.0,Kiddie Pools
73,2021-05-31,14599.0,Kiddie Pools
74,2021-06-01,14599.0,Kiddie Pools
75,2021-06-02,14599.0,Kiddie Pools
76,2021-06-03,14842.0,Kiddie Pools
77,2021-06-04,14842.0,Kiddie Pools
78,2021-06-05,8893.0,Kiddie Pools
79,2021-06-06,8893.0,Kiddie Pools
80,2021-06-07,8893.0,Kiddie Pools
81,2021-06-08,8893.0,Kiddie Pools
82,2021-06-09,6195.0,Kiddie Pools
83,2021-06-10,6195.0,Kiddie Pools
84,2021-06-11,6195.0,Kiddie Pools
85,2021-06-12,5646.0,Kiddie Pools
86,2021-06-13,5646.0,Kiddie Pools
87,2021-06-14,4626.0,Kiddie Pools
88,2021-06-15,5111.0,Kiddie Pools
89,2021-06-16,4642.0,Kiddie Pools
90,2021-06-17,3312.0,Kiddie Pools
91,2021-06-18,3287.0,Kiddie Pools
92,2021-06-19,3287.0,Kiddie Pools
93,2021-06-20,5328.0,Kiddie Pools
94,2021-06-21,4958.0,Kiddie Pools
95,2021-06-22,2912.0,Kiddie Pools
96,2021-06-23,3677.0,Kiddie Pools
97,2021-06-24,3677.0,Kiddie Pools
98,2021-06-25,6716.0,Kiddie Pools
99,2021-06-26,6716.0,Kiddie Pools
100,2021-06-27,6716.0,Kiddie Pools
101,2021-06-28,8603.0,Kiddie Pools
102,2021-06-29,9168.0,Kiddie Pools
103,2021-06-30,7151.0,Kiddie Pools
104,2021-07-01,7151.0,Kiddie Pools
105,2021-07-02,14096.0,Kiddie Pools
106,2021-07-03,14096.0,Kiddie Pools
107,2021-07-04,14096.0,Kiddie Pools
108,2021-07-05,11845.0,Kiddie Pools
109,2021-07-06,11845.0,Kiddie Pools
110,2021-07-07,24854.0,Kiddie Pools
111,2021-07-08,24854.0,Kiddie Pools
112,2021-07-09,24854.0,Kiddie Pools
113,2021-07-10,29739.0,Kiddie Pools
114,2021-07-11,38453.0,Kiddie Pools
