,date,value,name_B07CRLFNDG
151,2018-09-30,21434.0,Bath Towels
152,2018-10-01,18739.0,Bath Towels
153,2018-10-02,23333.0,Bath Towels
154,2018-10-03,24373.0,Bath Towels
155,2018-10-04,34081.0,Bath Towels
156,2018-10-05,34081.0,Bath Towels
157,2018-10-06,31521.0,Bath Towels
158,2018-10-07,36998.0,Bath Towels
159,2018-10-08,36998.0,Bath Towels
160,2018-10-09,36998.0,Bath Towels
161,2018-10-10,36998.0,Bath Towels
162,2018-10-11,36998.0,Bath Towels
163,2018-10-12,26100.0,Bath Towels
164,2018-10-13,26100.0,Bath Towels
165,2018-10-14,26100.0,Bath Towels
166,2018-10-15,30448.0,Bath Towels
167,2018-10-16,30448.0,Bath Towels
168,2018-10-17,30448.0,Bath Towels
169,2018-10-18,44800.0,Bath Towels
170,2018-10-19,44800.0,Bath Towels
171,2018-10-20,37234.0,Bath Towels
172,2018-10-21,33680.0,Bath Towels
173,2018-10-22,33680.0,Bath Towels
174,2018-10-23,57008.0,Bath Towels
175,2018-10-24,54496.0,Bath Towels
176,2018-10-25,54496.0,Bath Towels
177,2018-10-26,27270.0,Bath Towels
178,2018-10-27,30293.0,Bath Towels
179,2018-10-28,30220.0,Bath Towels
180,2018-10-29,30617.0,Bath Towels
181,2018-10-30,30617.0,Bath Towels
182,2018-10-31,30617.0,Bath Towels
183,2018-11-01,30617.0,Bath Towels
184,2018-11-02,30617.0,Bath Towels
185,2018-11-03,30617.0,Bath Towels
186,2018-11-04,22761.0,Bath Towels
187,2018-11-05,22761.0,Bath Towels
188,2018-11-06,22761.0,Bath Towels
189,2018-11-07,22761.0,Bath Towels
190,2018-11-08,22761.0,Bath Towels
191,2018-11-09,22761.0,Bath Towels
192,2018-11-10,22761.0,Bath Towels
193,2018-11-11,25921.0,Bath Towels
194,2018-11-12,25921.0,Bath Towels
195,2018-11-13,25921.0,Bath Towels
196,2018-11-14,25921.0,Bath Towels
197,2018-11-15,28701.0,Bath Towels
198,2018-11-16,25651.0,Bath Towels
199,2018-11-17,27266.0,Bath Towels
200,2018-11-18,27266.0,Bath Towels
201,2018-11-19,23487.0,Bath Towels
202,2018-11-20,19623.0,Bath Towels
203,2018-11-21,18903.0,Bath Towels
204,2018-11-22,18903.0,Bath Towels
205,2018-11-23,22859.0,Bath Towels
206,2018-11-24,22859.0,Bath Towels
207,2018-11-25,22859.0,Bath Towels
208,2018-11-26,22859.0,Bath Towels
209,2018-11-27,16460.0,Bath Towels
210,2018-11-28,16460.0,Bath Towels
211,2018-11-29,16460.0,Bath Towels
212,2018-11-30,16460.0,Bath Towels
213,2018-12-01,16460.0,Bath Towels
214,2018-12-02,16460.0,Bath Towels
215,2018-12-03,14718.0,Bath Towels
216,2018-12-04,14718.0,Bath Towels
217,2018-12-05,14718.0,Bath Towels
218,2018-12-06,14718.0,Bath Towels
219,2018-12-07,16660.0,Bath Towels
220,2018-12-08,13782.0,Bath Towels
221,2018-12-09,13782.0,Bath Towels
222,2018-12-10,13782.0,Bath Towels
223,2018-12-11,14431.0,Bath Towels
224,2018-12-12,13475.0,Bath Towels
225,2018-12-13,14052.0,Bath Towels
226,2018-12-14,11902.0,Bath Towels
227,2018-12-15,11902.0,Bath Towels
228,2018-12-16,11902.0,Bath Towels
229,2018-12-17,11902.0,Bath Towels
230,2018-12-18,9273.0,Bath Towels
231,2018-12-19,10040.0,Bath Towels
232,2018-12-20,7911.0,Bath Towels
233,2018-12-21,7138.0,Bath Towels
234,2018-12-22,11242.0,Bath Towels
235,2018-12-23,11242.0,Bath Towels
236,2018-12-24,11517.0,Bath Towels
237,2018-12-25,11517.0,Bath Towels
