,date,value,name_B082F28VWW
0,2019-12-16,12273.0,Tumblers & Water Glasses
1,2019-12-17,12273.0,Tumblers & Water Glasses
2,2019-12-18,12273.0,Tumblers & Water Glasses
3,2019-12-19,9748.0,Tumblers & Water Glasses
4,2019-12-20,9748.0,Tumblers & Water Glasses
5,2019-12-21,8552.0,Tumblers & Water Glasses
6,2019-12-22,7929.0,Tumblers & Water Glasses
7,2019-12-23,7929.0,Tumblers & Water Glasses
8,2019-12-24,7148.0,Tumblers & Water Glasses
9,2019-12-25,7148.0,Tumblers & Water Glasses
10,2019-12-26,6634.0,Tumblers & Water Glasses
11,2019-12-27,4837.0,Tumblers & Water Glasses
12,2019-12-28,4848.0,Tumblers & Water Glasses
13,2019-12-29,4848.0,Tumblers & Water Glasses
14,2019-12-30,4848.0,Tumblers & Water Glasses
15,2019-12-31,5354.0,Tumblers & Water Glasses
16,2020-01-01,5354.0,Tumblers & Water Glasses
17,2020-01-02,2959.0,Tumblers & Water Glasses
18,2020-01-03,5328.0,Tumblers & Water Glasses
19,2020-01-04,4661.0,Tumblers & Water Glasses
20,2020-01-05,3477.0,Tumblers & Water Glasses
21,2020-01-06,3072.0,Tumblers & Water Glasses
22,2020-01-07,2319.0,Tumblers & Water Glasses
23,2020-01-08,2596.0,Tumblers & Water Glasses
24,2020-01-09,2184.0,Tumblers & Water Glasses
25,2020-01-10,2184.0,Tumblers & Water Glasses
26,2020-01-11,3724.0,Tumblers & Water Glasses
27,2020-01-12,3724.0,Tumblers & Water Glasses
28,2020-01-13,3724.0,Tumblers & Water Glasses
29,2020-01-14,4088.0,Tumblers & Water Glasses
30,2020-01-15,3150.0,Tumblers & Water Glasses
31,2020-01-16,3892.0,Tumblers & Water Glasses
32,2020-01-17,3892.0,Tumblers & Water Glasses
33,2020-01-18,2887.0,Tumblers & Water Glasses
34,2020-01-19,2887.0,Tumblers & Water Glasses
35,2020-01-20,3719.0,Tumblers & Water Glasses
36,2020-01-21,3951.0,Tumblers & Water Glasses
37,2020-01-22,3688.0,Tumblers & Water Glasses
38,2020-01-23,2985.0,Tumblers & Water Glasses
39,2020-01-24,3345.0,Tumblers & Water Glasses
40,2020-01-25,3684.0,Tumblers & Water Glasses
41,2020-01-26,3684.0,Tumblers & Water Glasses
42,2020-01-27,3515.0,Tumblers & Water Glasses
43,2020-01-28,2840.0,Tumblers & Water Glasses
44,2020-01-29,3123.0,Tumblers & Water Glasses
45,2020-01-30,1852.0,Tumblers & Water Glasses
46,2020-01-31,2449.0,Tumblers & Water Glasses
47,2020-02-01,2449.0,Tumblers & Water Glasses
48,2020-02-02,2309.0,Tumblers & Water Glasses
49,2020-02-03,2847.0,Tumblers & Water Glasses
50,2020-02-04,2085.0,Tumblers & Water Glasses
51,2020-02-05,2195.0,Tumblers & Water Glasses
52,2020-02-06,2171.0,Tumblers & Water Glasses
53,2020-02-07,2055.0,Tumblers & Water Glasses
54,2020-02-08,2335.0,Tumblers & Water Glasses
55,2020-02-09,1976.0,Tumblers & Water Glasses
56,2020-02-10,2104.0,Tumblers & Water Glasses
57,2020-02-11,1972.0,Tumblers & Water Glasses
58,2020-02-12,1960.0,Tumblers & Water Glasses
59,2020-02-13,1665.0,Tumblers & Water Glasses
60,2020-02-14,2038.0,Tumblers & Water Glasses
61,2020-02-15,2038.0,Tumblers & Water Glasses
62,2020-02-16,1780.0,Tumblers & Water Glasses
63,2020-02-17,2226.0,Tumblers & Water Glasses
64,2020-02-18,1958.0,Tumblers & Water Glasses
65,2020-02-19,2127.0,Tumblers & Water Glasses
66,2020-02-20,1887.0,Tumblers & Water Glasses
67,2020-02-21,1696.0,Tumblers & Water Glasses
68,2020-02-22,2226.0,Tumblers & Water Glasses
69,2020-02-23,2226.0,Tumblers & Water Glasses
70,2020-02-24,3271.0,Tumblers & Water Glasses
71,2020-02-25,3171.0,Tumblers & Water Glasses
72,2020-02-26,3155.0,Tumblers & Water Glasses
73,2020-02-27,2493.0,Tumblers & Water Glasses
74,2020-02-28,2329.0,Tumblers & Water Glasses
75,2020-02-29,2329.0,Tumblers & Water Glasses
76,2020-03-01,2329.0,Tumblers & Water Glasses
77,2020-03-02,3417.0,Tumblers & Water Glasses
78,2020-03-03,2589.0,Tumblers & Water Glasses
79,2020-03-04,2589.0,Tumblers & Water Glasses
80,2020-03-05,2589.0,Tumblers & Water Glasses
81,2020-03-06,2796.0,Tumblers & Water Glasses
82,2020-03-07,2796.0,Tumblers & Water Glasses
83,2020-03-08,2796.0,Tumblers & Water Glasses
84,2020-03-09,2796.0,Tumblers & Water Glasses
85,2020-03-10,-1.0,Tumblers & Water Glasses
