,date,value,name_B016EUEHBC
0,2018-07-11,14424.0,Outdoor Thermometers
1,2018-07-12,23554.0,Outdoor Thermometers
2,2018-07-13,23554.0,Outdoor Thermometers
3,2018-07-14,25277.0,Outdoor Thermometers
4,2018-07-15,23590.0,Outdoor Thermometers
5,2018-07-16,17883.0,Outdoor Thermometers
6,2018-07-17,17883.0,Outdoor Thermometers
7,2018-07-18,19146.0,Outdoor Thermometers
8,2018-07-19,19146.0,Outdoor Thermometers
9,2018-07-20,19146.0,Outdoor Thermometers
10,2018-07-21,26042.0,Outdoor Thermometers
11,2018-07-22,26042.0,Outdoor Thermometers
12,2018-07-23,26042.0,Outdoor Thermometers
13,2018-07-24,14178.0,Outdoor Thermometers
14,2018-07-25,15697.0,Outdoor Thermometers
15,2018-07-26,11851.0,Outdoor Thermometers
16,2018-07-27,15751.0,Outdoor Thermometers
17,2018-07-28,15751.0,Outdoor Thermometers
18,2018-07-29,26685.0,Outdoor Thermometers
19,2018-07-30,26685.0,Outdoor Thermometers
20,2018-07-31,31387.0,Outdoor Thermometers
21,2018-08-01,31387.0,Outdoor Thermometers
22,2018-08-02,36012.0,Outdoor Thermometers
23,2018-08-03,36780.0,Outdoor Thermometers
24,2018-08-04,42106.0,Outdoor Thermometers
25,2018-08-05,40613.0,Outdoor Thermometers
26,2018-08-06,41763.0,Outdoor Thermometers
27,2018-08-07,49250.0,Outdoor Thermometers
28,2018-08-08,44652.0,Outdoor Thermometers
29,2018-08-09,44652.0,Outdoor Thermometers
30,2018-08-10,44652.0,Outdoor Thermometers
31,2018-08-11,33933.0,Outdoor Thermometers
32,2018-08-12,33933.0,Outdoor Thermometers
33,2018-08-13,54471.0,Outdoor Thermometers
34,2018-08-14,34039.0,Outdoor Thermometers
35,2018-08-15,36124.0,Outdoor Thermometers
36,2018-08-16,36124.0,Outdoor Thermometers
37,2018-08-17,51669.0,Outdoor Thermometers
38,2018-08-18,51669.0,Outdoor Thermometers
39,2018-08-19,26996.0,Outdoor Thermometers
40,2018-08-20,33896.0,Outdoor Thermometers
41,2018-08-21,32139.0,Outdoor Thermometers
42,2018-08-22,25061.0,Outdoor Thermometers
43,2018-08-23,25061.0,Outdoor Thermometers
44,2018-08-24,25061.0,Outdoor Thermometers
45,2018-08-25,31869.0,Outdoor Thermometers
46,2018-08-26,31869.0,Outdoor Thermometers
47,2018-08-27,23336.0,Outdoor Thermometers
48,2018-08-28,23770.0,Outdoor Thermometers
49,2018-08-29,21024.0,Outdoor Thermometers
50,2018-08-30,26220.0,Outdoor Thermometers
51,2018-08-31,26220.0,Outdoor Thermometers
52,2018-09-01,26220.0,Outdoor Thermometers
53,2018-09-02,29247.0,Outdoor Thermometers
54,2018-09-03,30553.0,Outdoor Thermometers
55,2018-09-04,36719.0,Outdoor Thermometers
56,2018-09-05,30544.0,Outdoor Thermometers
57,2018-09-06,30544.0,Outdoor Thermometers
58,2018-09-07,42428.0,Outdoor Thermometers
59,2018-09-08,30978.0,Outdoor Thermometers
60,2018-09-09,30978.0,Outdoor Thermometers
61,2018-09-10,46494.0,Outdoor Thermometers
62,2018-09-11,46494.0,Outdoor Thermometers
63,2018-09-12,54985.0,Outdoor Thermometers
64,2018-09-13,48289.0,Outdoor Thermometers
65,2018-09-14,56361.0,Outdoor Thermometers
66,2018-09-15,41758.0,Outdoor Thermometers
67,2018-09-16,41758.0,Outdoor Thermometers
68,2018-09-17,43966.0,Outdoor Thermometers
69,2018-09-18,59653.0,Outdoor Thermometers
70,2018-09-19,47041.0,Outdoor Thermometers
71,2018-09-20,37521.0,Outdoor Thermometers
72,2018-09-21,41357.0,Outdoor Thermometers
73,2018-09-22,41073.0,Outdoor Thermometers
74,2018-09-23,43881.0,Outdoor Thermometers
75,2018-09-24,35628.0,Outdoor Thermometers
76,2018-09-25,38852.0,Outdoor Thermometers
77,2018-09-26,59472.0,Outdoor Thermometers
78,2018-09-27,33681.0,Outdoor Thermometers
79,2018-09-28,33681.0,Outdoor Thermometers
80,2018-09-29,28614.0,Outdoor Thermometers
81,2018-09-30,41869.0,Outdoor Thermometers
82,2018-10-01,20927.0,Outdoor Thermometers
83,2018-10-02,20927.0,Outdoor Thermometers
84,2018-10-03,62801.0,Outdoor Thermometers
85,2018-10-04,32229.0,Outdoor Thermometers
86,2018-10-05,37270.0,Outdoor Thermometers
87,2018-10-06,49846.0,Outdoor Thermometers
88,2018-10-07,55263.0,Outdoor Thermometers
89,2018-10-08,55263.0,Outdoor Thermometers
90,2018-10-09,39699.0,Outdoor Thermometers
91,2018-10-10,39699.0,Outdoor Thermometers
92,2018-10-11,48356.0,Outdoor Thermometers
93,2018-10-12,48356.0,Outdoor Thermometers
94,2018-10-13,33852.0,Outdoor Thermometers
95,2018-10-14,61804.0,Outdoor Thermometers
96,2018-10-15,61804.0,Outdoor Thermometers
97,2018-10-16,61804.0,Outdoor Thermometers
98,2018-10-17,78611.0,Outdoor Thermometers
99,2018-10-18,38150.0,Outdoor Thermometers
100,2018-10-19,46888.0,Outdoor Thermometers
101,2018-10-20,56661.0,Outdoor Thermometers
102,2018-10-21,56661.0,Outdoor Thermometers
103,2018-10-22,33495.0,Outdoor Thermometers
104,2018-10-23,32183.0,Outdoor Thermometers
105,2018-10-24,32183.0,Outdoor Thermometers
106,2018-10-25,45430.0,Outdoor Thermometers
107,2018-10-26,39379.0,Outdoor Thermometers
