,date,value,name_B08P726MXD
0,2020-12-09,19775.0,Aprons
1,2020-12-10,19775.0,Aprons
2,2020-12-11,19775.0,Aprons
3,2020-12-12,19775.0,Aprons
4,2020-12-13,19775.0,Aprons
5,2020-12-14,19775.0,Aprons
6,2020-12-15,19775.0,Aprons
7,2020-12-16,19775.0,Aprons
8,2020-12-17,19775.0,Aprons
9,2020-12-18,23442.0,Aprons
10,2020-12-19,23442.0,Aprons
11,2020-12-20,23442.0,Aprons
12,2020-12-21,23442.0,Aprons
13,2020-12-22,23442.0,Aprons
14,2020-12-23,22813.0,Aprons
15,2020-12-24,21060.0,Aprons
16,2020-12-25,21060.0,Aprons
17,2020-12-26,24681.0,Aprons
18,2020-12-27,24681.0,Aprons
19,2020-12-28,24681.0,Aprons
20,2020-12-29,14671.0,Aprons
21,2020-12-30,31542.0,Aprons
22,2020-12-31,31542.0,Aprons
23,2021-01-01,31542.0,Aprons
24,2021-01-02,31542.0,Aprons
25,2021-01-03,31542.0,Aprons
26,2021-01-04,31542.0,Aprons
27,2021-01-05,37189.0,Aprons
28,2021-01-06,37189.0,Aprons
29,2021-01-07,37189.0,Aprons
30,2021-01-08,31711.0,Aprons
31,2021-01-09,31711.0,Aprons
32,2021-01-10,22717.0,Aprons
33,2021-01-11,22717.0,Aprons
34,2021-01-12,22717.0,Aprons
35,2021-01-13,22717.0,Aprons
36,2021-01-14,23009.0,Aprons
37,2021-01-15,23009.0,Aprons
38,2021-01-16,23009.0,Aprons
39,2021-01-17,23009.0,Aprons
40,2021-01-18,15349.0,Aprons
41,2021-01-19,21068.0,Aprons
42,2021-01-20,21068.0,Aprons
43,2021-01-21,21068.0,Aprons
44,2021-01-22,21068.0,Aprons
45,2021-01-23,21068.0,Aprons
46,2021-01-24,14150.0,Aprons
47,2021-01-25,14150.0,Aprons
48,2021-01-26,10348.0,Aprons
49,2021-01-27,8000.0,Aprons
50,2021-01-28,10338.0,Aprons
51,2021-01-29,10338.0,Aprons
52,2021-01-30,10338.0,Aprons
53,2021-01-31,13882.0,Aprons
54,2021-02-01,14163.0,Aprons
55,2021-02-02,14163.0,Aprons
56,2021-02-03,14163.0,Aprons
57,2021-02-04,13143.0,Aprons
58,2021-02-05,12991.0,Aprons
59,2021-02-06,12991.0,Aprons
60,2021-02-07,12991.0,Aprons
61,2021-02-08,12991.0,Aprons
62,2021-02-09,12991.0,Aprons
63,2021-02-10,17639.0,Aprons
64,2021-02-11,24381.0,Aprons
65,2021-02-12,24381.0,Aprons
66,2021-02-13,24381.0,Aprons
67,2021-02-14,24381.0,Aprons
68,2021-02-15,24381.0,Aprons
69,2021-02-16,24381.0,Aprons
70,2021-02-17,24381.0,Aprons
71,2021-02-18,24381.0,Aprons
72,2021-02-19,15683.0,Aprons
73,2021-02-20,15683.0,Aprons
74,2021-02-21,15683.0,Aprons
75,2021-02-22,15683.0,Aprons
76,2021-02-23,15683.0,Aprons
77,2021-02-24,15683.0,Aprons
78,2021-02-25,15683.0,Aprons
79,2021-02-26,15683.0,Aprons
80,2021-02-27,56211.0,Aprons
81,2021-02-28,56211.0,Aprons
82,2021-03-01,56211.0,Aprons
83,2021-03-02,19875.0,Aprons
84,2021-03-03,19875.0,Aprons
85,2021-03-04,8205.0,Aprons
86,2021-03-05,8205.0,Aprons
87,2021-03-06,8205.0,Aprons
88,2021-03-07,14526.0,Aprons
89,2021-03-08,14526.0,Aprons
90,2021-03-09,13945.0,Aprons
91,2021-03-10,16034.0,Aprons
92,2021-03-11,16034.0,Aprons
93,2021-03-12,16034.0,Aprons
94,2021-03-13,16034.0,Aprons
95,2021-03-14,10769.0,Aprons
96,2021-03-15,10769.0,Aprons
97,2021-03-16,10769.0,Aprons
98,2021-03-17,10769.0,Aprons
99,2021-03-18,10769.0,Aprons
100,2021-03-19,10769.0,Aprons
101,2021-03-20,8380.0,Aprons
102,2021-03-21,8380.0,Aprons
103,2021-03-22,8380.0,Aprons
104,2021-03-23,8380.0,Aprons
105,2021-03-24,8380.0,Aprons
106,2021-03-25,7811.0,Aprons
107,2021-03-26,7811.0,Aprons
108,2021-03-27,7811.0,Aprons
109,2021-03-28,8284.0,Aprons
110,2021-03-29,8284.0,Aprons
111,2021-03-30,8633.0,Aprons
112,2021-03-31,8922.0,Aprons
113,2021-04-01,7761.0,Aprons
114,2021-04-02,7761.0,Aprons
115,2021-04-03,7761.0,Aprons
