,date,value,name_B08GM37CCF
0,2020-08-27,6869.0,Pooper Scoopers
1,2020-08-28,6869.0,Pooper Scoopers
2,2020-08-29,9927.0,Pooper Scoopers
3,2020-08-30,9927.0,Pooper Scoopers
4,2020-08-31,7940.0,Pooper Scoopers
5,2020-09-01,2802.0,Pooper Scoopers
6,2020-09-02,3080.0,Pooper Scoopers
7,2020-09-03,6751.0,Pooper Scoopers
8,2020-09-04,6751.0,Pooper Scoopers
9,2020-09-05,5468.0,Pooper Scoopers
10,2020-09-06,5004.0,Pooper Scoopers
11,2020-09-07,5004.0,Pooper Scoopers
12,2020-09-08,5004.0,Pooper Scoopers
13,2020-09-09,7857.0,Pooper Scoopers
14,2020-09-10,7857.0,Pooper Scoopers
15,2020-09-11,7857.0,Pooper Scoopers
16,2020-09-12,7857.0,Pooper Scoopers
17,2020-09-13,8535.0,Pooper Scoopers
18,2020-09-14,8535.0,Pooper Scoopers
19,2020-09-15,8535.0,Pooper Scoopers
20,2020-09-16,10291.0,Pooper Scoopers
21,2020-09-17,8634.0,Pooper Scoopers
22,2020-09-18,10543.0,Pooper Scoopers
23,2020-09-19,11048.0,Pooper Scoopers
24,2020-09-20,10203.0,Pooper Scoopers
25,2020-09-21,7496.0,Pooper Scoopers
26,2020-09-22,7496.0,Pooper Scoopers
27,2020-09-23,12037.0,Pooper Scoopers
28,2020-09-24,3525.0,Pooper Scoopers
29,2020-09-25,3525.0,Pooper Scoopers
30,2020-09-26,3525.0,Pooper Scoopers
31,2020-09-27,10114.0,Pooper Scoopers
32,2020-09-28,10114.0,Pooper Scoopers
33,2020-09-29,10500.0,Pooper Scoopers
34,2020-09-30,10500.0,Pooper Scoopers
35,2020-10-01,10028.0,Pooper Scoopers
36,2020-10-02,11740.0,Pooper Scoopers
37,2020-10-03,11740.0,Pooper Scoopers
38,2020-10-04,11740.0,Pooper Scoopers
39,2020-10-05,11740.0,Pooper Scoopers
40,2020-10-06,15023.0,Pooper Scoopers
41,2020-10-07,15023.0,Pooper Scoopers
42,2020-10-08,11725.0,Pooper Scoopers
43,2020-10-09,11725.0,Pooper Scoopers
44,2020-10-10,11725.0,Pooper Scoopers
45,2020-10-11,11725.0,Pooper Scoopers
46,2020-10-12,11725.0,Pooper Scoopers
47,2020-10-13,9785.0,Pooper Scoopers
48,2020-10-14,8071.0,Pooper Scoopers
49,2020-10-15,8307.0,Pooper Scoopers
50,2020-10-16,8307.0,Pooper Scoopers
51,2020-10-17,8307.0,Pooper Scoopers
52,2020-10-18,8307.0,Pooper Scoopers
53,2020-10-19,12996.0,Pooper Scoopers
54,2020-10-20,13725.0,Pooper Scoopers
55,2020-10-21,15108.0,Pooper Scoopers
56,2020-10-22,15108.0,Pooper Scoopers
57,2020-10-23,15108.0,Pooper Scoopers
58,2020-10-24,10923.0,Pooper Scoopers
59,2020-10-25,10864.0,Pooper Scoopers
60,2020-10-26,10864.0,Pooper Scoopers
61,2020-10-27,11324.0,Pooper Scoopers
62,2020-10-28,11324.0,Pooper Scoopers
63,2020-10-29,11178.0,Pooper Scoopers
64,2020-10-30,11178.0,Pooper Scoopers
65,2020-10-31,11178.0,Pooper Scoopers
66,2020-11-01,11178.0,Pooper Scoopers
67,2020-11-02,11178.0,Pooper Scoopers
68,2020-11-03,11178.0,Pooper Scoopers
69,2020-11-04,10760.0,Pooper Scoopers
70,2020-11-05,10760.0,Pooper Scoopers
71,2020-11-06,10760.0,Pooper Scoopers
72,2020-11-07,10700.0,Pooper Scoopers
73,2020-11-08,10700.0,Pooper Scoopers
74,2020-11-09,10700.0,Pooper Scoopers
75,2020-11-10,10700.0,Pooper Scoopers
76,2020-11-11,12809.0,Pooper Scoopers
77,2020-11-12,12092.0,Pooper Scoopers
78,2020-11-13,12092.0,Pooper Scoopers
79,2020-11-14,12092.0,Pooper Scoopers
80,2020-11-15,12092.0,Pooper Scoopers
81,2020-11-16,12344.0,Pooper Scoopers
82,2020-11-17,12344.0,Pooper Scoopers
83,2020-11-18,12344.0,Pooper Scoopers
84,2020-11-19,20255.0,Pooper Scoopers
85,2020-11-20,16729.0,Pooper Scoopers
86,2020-11-21,9671.0,Pooper Scoopers
