,date,value,name_B095HGNBVN
0,2021-06-04,412542.0,Personal Fans
1,2021-06-05,309651.0,Personal Fans
2,2021-06-06,309651.0,Personal Fans
3,2021-06-07,460451.0,Personal Fans
4,2021-06-08,199142.0,Personal Fans
5,2021-06-09,301827.0,Personal Fans
6,2021-06-10,280680.0,Personal Fans
7,2021-06-11,161317.0,Personal Fans
8,2021-06-12,151852.0,Personal Fans
9,2021-06-13,129364.0,Personal Fans
10,2021-06-14,135362.0,Personal Fans
11,2021-06-15,55677.0,Personal Fans
12,2021-06-16,76126.0,Personal Fans
13,2021-06-17,61695.0,Personal Fans
14,2021-06-18,82807.0,Personal Fans
15,2021-06-19,75957.0,Personal Fans
16,2021-06-20,121554.0,Personal Fans
17,2021-06-21,186257.0,Personal Fans
18,2021-06-22,116941.0,Personal Fans
19,2021-06-23,89135.0,Personal Fans
20,2021-06-24,87156.0,Personal Fans
21,2021-06-25,70767.0,Personal Fans
22,2021-06-26,69474.0,Personal Fans
23,2021-06-27,70455.0,Personal Fans
24,2021-06-28,57817.0,Personal Fans
25,2021-06-29,44883.0,Personal Fans
26,2021-06-30,41100.0,Personal Fans
27,2021-07-01,36571.0,Personal Fans
28,2021-07-02,41499.0,Personal Fans
29,2021-07-03,49483.0,Personal Fans
30,2021-07-04,59493.0,Personal Fans
31,2021-07-05,86345.0,Personal Fans
32,2021-07-06,66446.0,Personal Fans
33,2021-07-07,71715.0,Personal Fans
34,2021-07-08,53804.0,Personal Fans
35,2021-07-09,75545.0,Personal Fans
