,date,value,name_B089298P6H
0,2020-06-27,8843.0,Bath Rugs
1,2020-06-28,8843.0,Bath Rugs
2,2020-06-29,11590.0,Bath Rugs
3,2020-06-30,11590.0,Bath Rugs
4,2020-07-01,11590.0,Bath Rugs
5,2020-07-02,13314.0,Bath Rugs
6,2020-07-03,13314.0,Bath Rugs
7,2020-07-04,13314.0,Bath Rugs
8,2020-07-05,13314.0,Bath Rugs
9,2020-07-06,16506.0,Bath Rugs
10,2020-07-07,16506.0,Bath Rugs
11,2020-07-08,12543.0,Bath Rugs
12,2020-07-09,12543.0,Bath Rugs
13,2020-07-10,15657.0,Bath Rugs
14,2020-07-11,15657.0,Bath Rugs
15,2020-07-12,15657.0,Bath Rugs
16,2020-07-13,15657.0,Bath Rugs
17,2020-07-14,12714.0,Bath Rugs
18,2020-07-15,17239.0,Bath Rugs
19,2020-07-16,17239.0,Bath Rugs
20,2020-07-17,17382.0,Bath Rugs
21,2020-07-18,17382.0,Bath Rugs
22,2020-07-19,17382.0,Bath Rugs
23,2020-07-20,17382.0,Bath Rugs
24,2020-07-21,14550.0,Bath Rugs
25,2020-07-22,14550.0,Bath Rugs
26,2020-07-23,14426.0,Bath Rugs
27,2020-07-24,12495.0,Bath Rugs
28,2020-07-25,12495.0,Bath Rugs
29,2020-07-26,12495.0,Bath Rugs
30,2020-07-27,14054.0,Bath Rugs
31,2020-07-28,14054.0,Bath Rugs
32,2020-07-29,11635.0,Bath Rugs
33,2020-07-30,11635.0,Bath Rugs
34,2020-07-31,16468.0,Bath Rugs
35,2020-08-01,16468.0,Bath Rugs
36,2020-08-02,16468.0,Bath Rugs
37,2020-08-03,11715.0,Bath Rugs
38,2020-08-04,11261.0,Bath Rugs
39,2020-08-05,11261.0,Bath Rugs
40,2020-08-06,12109.0,Bath Rugs
41,2020-08-07,12109.0,Bath Rugs
42,2020-08-08,12109.0,Bath Rugs
43,2020-08-09,12109.0,Bath Rugs
44,2020-08-10,13755.0,Bath Rugs
45,2020-08-11,13347.0,Bath Rugs
46,2020-08-12,12818.0,Bath Rugs
47,2020-08-13,12818.0,Bath Rugs
48,2020-08-14,12818.0,Bath Rugs
49,2020-08-15,12818.0,Bath Rugs
50,2020-08-16,14578.0,Bath Rugs
51,2020-08-17,14578.0,Bath Rugs
52,2020-08-18,13284.0,Bath Rugs
53,2020-08-19,13284.0,Bath Rugs
54,2020-08-20,13284.0,Bath Rugs
55,2020-08-21,15526.0,Bath Rugs
56,2020-08-22,15526.0,Bath Rugs
57,2020-08-23,15526.0,Bath Rugs
58,2020-08-24,18342.0,Bath Rugs
59,2020-08-25,18342.0,Bath Rugs
60,2020-08-26,18342.0,Bath Rugs
61,2020-08-27,17671.0,Bath Rugs
62,2020-08-28,17671.0,Bath Rugs
63,2020-08-29,17671.0,Bath Rugs
64,2020-08-30,21610.0,Bath Rugs
65,2020-08-31,19318.0,Bath Rugs
66,2020-09-01,15053.0,Bath Rugs
67,2020-09-02,15053.0,Bath Rugs
68,2020-09-03,15053.0,Bath Rugs
69,2020-09-04,15053.0,Bath Rugs
70,2020-09-05,19474.0,Bath Rugs
71,2020-09-06,19474.0,Bath Rugs
72,2020-09-07,20768.0,Bath Rugs
73,2020-09-08,20768.0,Bath Rugs
74,2020-09-09,20451.0,Bath Rugs
75,2020-09-10,20451.0,Bath Rugs
76,2020-09-11,20451.0,Bath Rugs
77,2020-09-12,20451.0,Bath Rugs
78,2020-09-13,20451.0,Bath Rugs
79,2020-09-14,20451.0,Bath Rugs
80,2020-09-15,22198.0,Bath Rugs
81,2020-09-16,18347.0,Bath Rugs
82,2020-09-17,14570.0,Bath Rugs
83,2020-09-18,14570.0,Bath Rugs
84,2020-09-19,14570.0,Bath Rugs
85,2020-09-20,10844.0,Bath Rugs
86,2020-09-21,15349.0,Bath Rugs
87,2020-09-22,16607.0,Bath Rugs
88,2020-09-23,19856.0,Bath Rugs
89,2020-09-24,19856.0,Bath Rugs
