,date,value,name_B07ZDC7NT2
0,2019-11-05,127656.0,Jars
1,2019-11-06,200372.0,Jars
2,2019-11-07,228206.0,Jars
3,2019-11-08,228206.0,Jars
4,2019-11-09,297906.0,Jars
5,2019-11-10,297906.0,Jars
6,2019-11-11,297906.0,Jars
7,2019-11-12,412561.0,Jars
8,2019-11-13,465289.0,Jars
9,2019-11-14,465289.0,Jars
10,2019-11-15,465289.0,Jars
11,2019-11-16,528348.0,Jars
12,2019-11-17,528348.0,Jars
13,2019-11-18,573125.0,Jars
14,2019-11-19,573125.0,Jars
15,2019-11-20,573125.0,Jars
16,2019-11-21,639144.0,Jars
17,2019-11-22,639144.0,Jars
18,2019-11-23,639144.0,Jars
19,2019-11-24,639144.0,Jars
20,2019-11-25,711790.0,Jars
21,2019-11-26,711790.0,Jars
22,2019-11-27,763370.0,Jars
23,2019-11-28,763370.0,Jars
24,2019-11-29,763370.0,Jars
25,2019-11-30,763370.0,Jars
26,2019-12-01,763370.0,Jars
27,2019-12-02,872855.0,Jars
28,2019-12-03,872855.0,Jars
29,2019-12-04,933600.0,Jars
30,2019-12-05,933600.0,Jars
31,2019-12-06,933600.0,Jars
32,2019-12-07,1023507.0,Jars
33,2019-12-08,1023507.0,Jars
34,2019-12-09,1076613.0,Jars
35,2019-12-10,1076613.0,Jars
36,2019-12-11,1076613.0,Jars
37,2019-12-12,1144366.0,Jars
38,2019-12-13,1144366.0,Jars
39,2019-12-14,1144366.0,Jars
40,2019-12-15,1144366.0,Jars
41,2019-12-16,40603.0,Jars
42,2019-12-17,40603.0,Jars
43,2019-12-18,40603.0,Jars
44,2019-12-19,53853.0,Jars
45,2019-12-20,53853.0,Jars
46,2019-12-21,53853.0,Jars
47,2019-12-22,45999.0,Jars
48,2019-12-23,45999.0,Jars
49,2019-12-24,45999.0,Jars
50,2019-12-25,292144.0,Jars
51,2019-12-26,292144.0,Jars
52,2019-12-27,393133.0,Jars
53,2019-12-28,393133.0,Jars
54,2019-12-29,393133.0,Jars
55,2019-12-30,32026.0,Jars
56,2019-12-31,32026.0,Jars
57,2020-01-01,32026.0,Jars
58,2020-01-02,32026.0,Jars
59,2020-01-03,18284.0,Jars
60,2020-01-04,23917.0,Jars
61,2020-01-05,23917.0,Jars
62,2020-01-06,25228.0,Jars
63,2020-01-07,25228.0,Jars
64,2020-01-08,25228.0,Jars
65,2020-01-09,20962.0,Jars
66,2020-01-10,20962.0,Jars
67,2020-01-11,20962.0,Jars
68,2020-01-12,19086.0,Jars
69,2020-01-13,19086.0,Jars
70,2020-01-14,25598.0,Jars
71,2020-01-15,25598.0,Jars
72,2020-01-16,25598.0,Jars
73,2020-01-17,38019.0,Jars
74,2020-01-18,38019.0,Jars
75,2020-01-19,38019.0,Jars
76,2020-01-20,38019.0,Jars
77,2020-01-21,23286.0,Jars
78,2020-01-22,23286.0,Jars
79,2020-01-23,23286.0,Jars
80,2020-01-24,41222.0,Jars
81,2020-01-25,41222.0,Jars
82,2020-01-26,41222.0,Jars
83,2020-01-27,41222.0,Jars
84,2020-01-28,40549.0,Jars
85,2020-01-29,40549.0,Jars
86,2020-01-30,37190.0,Jars
87,2020-01-31,37190.0,Jars
88,2020-02-01,37190.0,Jars
89,2020-02-02,20990.0,Jars
90,2020-02-03,20990.0,Jars
91,2020-02-04,18394.0,Jars
92,2020-02-05,18394.0,Jars
93,2020-02-06,18335.0,Jars
94,2020-02-07,18335.0,Jars
95,2020-02-08,24942.0,Jars
96,2020-02-09,24942.0,Jars
97,2020-02-10,23160.0,Jars
98,2020-02-11,23160.0,Jars
99,2020-02-12,-1.0,Jars
