,date,value,name_B01K6IIFKM
0,2018-07-11,366105.0,Accessories
1,2018-07-12,366105.0,Accessories
2,2018-07-13,366105.0,Accessories
3,2018-07-14,6860.0,Accessories
4,2018-07-15,6860.0,Accessories
5,2018-07-16,6860.0,Accessories
6,2018-07-17,6860.0,Accessories
7,2018-07-18,6860.0,Accessories
8,2018-07-19,6720.0,Accessories
9,2018-07-20,6163.0,Accessories
10,2018-07-21,5626.0,Accessories
11,2018-07-22,5626.0,Accessories
12,2018-07-23,5626.0,Accessories
13,2018-07-24,6197.0,Accessories
14,2018-07-25,5503.0,Accessories
15,2018-07-26,6599.0,Accessories
16,2018-07-27,6599.0,Accessories
17,2018-07-28,6599.0,Accessories
18,2018-07-29,6599.0,Accessories
19,2018-07-30,7221.0,Accessories
20,2018-07-31,5373.0,Accessories
21,2018-08-01,7771.0,Accessories
22,2018-08-02,9746.0,Accessories
23,2018-08-03,9746.0,Accessories
24,2018-08-04,12362.0,Accessories
25,2018-08-05,12362.0,Accessories
26,2018-08-06,12362.0,Accessories
27,2018-08-07,12362.0,Accessories
28,2018-08-08,4012.0,Accessories
29,2018-08-09,3768.0,Accessories
30,2018-08-10,4074.0,Accessories
31,2018-08-11,4074.0,Accessories
32,2018-08-12,4074.0,Accessories
33,2018-08-13,4074.0,Accessories
34,2018-08-14,4074.0,Accessories
35,2018-08-15,4074.0,Accessories
36,2018-08-16,4074.0,Accessories
37,2018-08-17,4074.0,Accessories
38,2018-08-18,4074.0,Accessories
39,2018-08-19,11659.0,Accessories
40,2018-08-20,11659.0,Accessories
41,2018-08-21,10610.0,Accessories
42,2018-08-22,10610.0,Accessories
43,2018-08-23,10610.0,Accessories
44,2018-08-24,11230.0,Accessories
45,2018-08-25,11230.0,Accessories
46,2018-08-26,11629.0,Accessories
47,2018-08-27,16044.0,Accessories
48,2018-08-28,13512.0,Accessories
49,2018-08-29,10036.0,Accessories
50,2018-08-30,10036.0,Accessories
51,2018-08-31,10036.0,Accessories
52,2018-09-01,21864.0,Accessories
53,2018-09-02,21864.0,Accessories
54,2018-09-03,21864.0,Accessories
55,2018-09-04,20336.0,Accessories
56,2018-09-05,20336.0,Accessories
57,2018-09-06,20336.0,Accessories
58,2018-09-07,20827.0,Accessories
59,2018-09-08,24422.0,Accessories
60,2018-09-09,21706.0,Accessories
61,2018-09-10,24159.0,Accessories
62,2018-09-11,24159.0,Accessories
63,2018-09-12,16990.0,Accessories
64,2018-09-13,32971.0,Accessories
65,2018-09-14,32971.0,Accessories
66,2018-09-15,29463.0,Accessories
67,2018-09-16,33058.0,Accessories
68,2018-09-17,28614.0,Accessories
69,2018-09-18,28614.0,Accessories
70,2018-09-19,23099.0,Accessories
71,2018-09-20,27515.0,Accessories
72,2018-09-21,27515.0,Accessories
73,2018-09-22,55431.0,Accessories
74,2018-09-23,47460.0,Accessories
75,2018-09-24,47460.0,Accessories
76,2018-09-25,47460.0,Accessories
77,2018-09-26,45221.0,Accessories
78,2018-09-27,45221.0,Accessories
79,2018-09-28,31845.0,Accessories
80,2018-09-29,31845.0,Accessories
81,2018-09-30,22621.0,Accessories
82,2018-10-01,39734.0,Accessories
83,2018-10-02,30308.0,Accessories
84,2018-10-03,42508.0,Accessories
85,2018-10-04,42508.0,Accessories
86,2018-10-05,44459.0,Accessories
87,2018-10-06,38260.0,Accessories
88,2018-10-07,48039.0,Accessories
89,2018-10-08,48039.0,Accessories
90,2018-10-09,53153.0,Accessories
91,2018-10-10,39824.0,Accessories
92,2018-10-11,39824.0,Accessories
93,2018-10-12,46748.0,Accessories
94,2018-10-13,37157.0,Accessories
95,2018-10-14,44335.0,Accessories
96,2018-10-15,44335.0,Accessories
97,2018-10-16,44335.0,Accessories
98,2018-10-17,69164.0,Accessories
99,2018-10-18,54051.0,Accessories
100,2018-10-19,36850.0,Accessories
101,2018-10-20,41257.0,Accessories
