,date,value,name_B082DTZ6KL
0,2019-12-07,4864.0,Kitchen Rugs
1,2019-12-08,5335.0,Kitchen Rugs
2,2019-12-09,3653.0,Kitchen Rugs
3,2019-12-10,4424.0,Kitchen Rugs
4,2019-12-11,4424.0,Kitchen Rugs
5,2019-12-12,4783.0,Kitchen Rugs
6,2019-12-13,4742.0,Kitchen Rugs
7,2019-12-14,4742.0,Kitchen Rugs
8,2019-12-15,4742.0,Kitchen Rugs
9,2019-12-16,5321.0,Kitchen Rugs
10,2019-12-17,5321.0,Kitchen Rugs
11,2019-12-18,5321.0,Kitchen Rugs
12,2019-12-19,5321.0,Kitchen Rugs
13,2019-12-20,5902.0,Kitchen Rugs
14,2019-12-21,5902.0,Kitchen Rugs
15,2019-12-22,5902.0,Kitchen Rugs
16,2019-12-23,5635.0,Kitchen Rugs
17,2019-12-24,5635.0,Kitchen Rugs
18,2019-12-25,3975.0,Kitchen Rugs
19,2019-12-26,3655.0,Kitchen Rugs
20,2019-12-27,3655.0,Kitchen Rugs
21,2019-12-28,2161.0,Kitchen Rugs
22,2019-12-29,2161.0,Kitchen Rugs
23,2019-12-30,2161.0,Kitchen Rugs
24,2019-12-31,2161.0,Kitchen Rugs
25,2020-01-01,2161.0,Kitchen Rugs
26,2020-01-02,2341.0,Kitchen Rugs
27,2020-01-03,2319.0,Kitchen Rugs
28,2020-01-04,2319.0,Kitchen Rugs
29,2020-01-05,2319.0,Kitchen Rugs
30,2020-01-06,1835.0,Kitchen Rugs
31,2020-01-07,1835.0,Kitchen Rugs
32,2020-01-08,1835.0,Kitchen Rugs
33,2020-01-09,1835.0,Kitchen Rugs
34,2020-01-10,1835.0,Kitchen Rugs
35,2020-01-11,6409.0,Kitchen Rugs
36,2020-01-12,6409.0,Kitchen Rugs
37,2020-01-13,6409.0,Kitchen Rugs
38,2020-01-14,8688.0,Kitchen Rugs
39,2020-01-15,8688.0,Kitchen Rugs
40,2020-01-16,8688.0,Kitchen Rugs
41,2020-01-17,8688.0,Kitchen Rugs
42,2020-01-18,8688.0,Kitchen Rugs
43,2020-01-19,8688.0,Kitchen Rugs
44,2020-01-20,6760.0,Kitchen Rugs
45,2020-01-21,6760.0,Kitchen Rugs
46,2020-01-22,6760.0,Kitchen Rugs
47,2020-01-23,6760.0,Kitchen Rugs
48,2020-01-24,3817.0,Kitchen Rugs
49,2020-01-25,3817.0,Kitchen Rugs
50,2020-01-26,3817.0,Kitchen Rugs
51,2020-01-27,3869.0,Kitchen Rugs
52,2020-01-28,3855.0,Kitchen Rugs
53,2020-01-29,3855.0,Kitchen Rugs
54,2020-01-30,3293.0,Kitchen Rugs
55,2020-01-31,3293.0,Kitchen Rugs
56,2020-02-01,3293.0,Kitchen Rugs
57,2020-02-02,3293.0,Kitchen Rugs
58,2020-02-03,2332.0,Kitchen Rugs
59,2020-02-04,2332.0,Kitchen Rugs
60,2020-02-05,3163.0,Kitchen Rugs
61,2020-02-06,3163.0,Kitchen Rugs
62,2020-02-07,3163.0,Kitchen Rugs
63,2020-02-08,3391.0,Kitchen Rugs
64,2020-02-09,3391.0,Kitchen Rugs
65,2020-02-10,3391.0,Kitchen Rugs
66,2020-02-11,2798.0,Kitchen Rugs
67,2020-02-12,2798.0,Kitchen Rugs
68,2020-02-13,2460.0,Kitchen Rugs
69,2020-02-14,2460.0,Kitchen Rugs
70,2020-02-15,2460.0,Kitchen Rugs
71,2020-02-16,1740.0,Kitchen Rugs
72,2020-02-17,1883.0,Kitchen Rugs
73,2020-02-18,1399.0,Kitchen Rugs
74,2020-02-19,2333.0,Kitchen Rugs
75,2020-02-20,2333.0,Kitchen Rugs
76,2020-02-21,2042.0,Kitchen Rugs
77,2020-02-22,2042.0,Kitchen Rugs
78,2020-02-23,1767.0,Kitchen Rugs
79,2020-02-24,1971.0,Kitchen Rugs
80,2020-02-25,1971.0,Kitchen Rugs
81,2020-02-26,2030.0,Kitchen Rugs
82,2020-02-27,2030.0,Kitchen Rugs
83,2020-02-28,2030.0,Kitchen Rugs
84,2020-02-29,2374.0,Kitchen Rugs
85,2020-03-01,2936.0,Kitchen Rugs
86,2020-03-02,2928.0,Kitchen Rugs
87,2020-03-03,2768.0,Kitchen Rugs
88,2020-03-04,3047.0,Kitchen Rugs
89,2020-03-05,3289.0,Kitchen Rugs
90,2020-03-06,3289.0,Kitchen Rugs
91,2020-03-07,3289.0,Kitchen Rugs
92,2020-03-08,-1.0,Kitchen Rugs
