,date,value,name_B07N13VVPZ
176,2019-07-21,2891.0,Lids
177,2019-07-22,2933.0,Lids
178,2019-07-23,2933.0,Lids
179,2019-07-24,2425.0,Lids
180,2019-07-25,2603.0,Lids
181,2019-07-26,2067.0,Lids
182,2019-07-27,2365.0,Lids
183,2019-07-28,2824.0,Lids
184,2019-07-29,2538.0,Lids
185,2019-07-30,2273.0,Lids
186,2019-07-31,2297.0,Lids
187,2019-08-01,2257.0,Lids
188,2019-08-02,2733.0,Lids
189,2019-08-03,2955.0,Lids
190,2019-08-04,2350.0,Lids
191,2019-08-05,2640.0,Lids
192,2019-08-06,2634.0,Lids
193,2019-08-07,3254.0,Lids
194,2019-08-08,2408.0,Lids
195,2019-08-09,2408.0,Lids
196,2019-08-10,2408.0,Lids
197,2019-08-11,2408.0,Lids
198,2019-08-12,2977.0,Lids
199,2019-08-13,2794.0,Lids
200,2019-08-14,3309.0,Lids
201,2019-08-15,3128.0,Lids
202,2019-08-16,2685.0,Lids
203,2019-08-17,2581.0,Lids
204,2019-08-18,2779.0,Lids
205,2019-08-19,2925.0,Lids
206,2019-08-20,2925.0,Lids
207,2019-08-21,3865.0,Lids
208,2019-08-22,2850.0,Lids
209,2019-08-23,2839.0,Lids
210,2019-08-24,3385.0,Lids
211,2019-08-25,3385.0,Lids
212,2019-08-26,3385.0,Lids
213,2019-08-27,3566.0,Lids
214,2019-08-28,3176.0,Lids
215,2019-08-29,2841.0,Lids
216,2019-08-30,2960.0,Lids
217,2019-08-31,2271.0,Lids
218,2019-09-01,2528.0,Lids
219,2019-09-02,2384.0,Lids
220,2019-09-03,3163.0,Lids
221,2019-09-04,3373.0,Lids
222,2019-09-05,3326.0,Lids
223,2019-09-06,2868.0,Lids
224,2019-09-07,2493.0,Lids
225,2019-09-08,3266.0,Lids
226,2019-09-09,3266.0,Lids
227,2019-09-10,3266.0,Lids
228,2019-09-11,2549.0,Lids
229,2019-09-12,3234.0,Lids
230,2019-09-13,3323.0,Lids
231,2019-09-14,3716.0,Lids
232,2019-09-15,3063.0,Lids
233,2019-09-16,2993.0,Lids
