,date,value,name_B06Y1H3LTD
0,2018-07-12,765.0,Coffee Machines
1,2018-07-13,776.0,Coffee Machines
2,2018-07-14,551.0,Coffee Machines
3,2018-07-15,682.0,Coffee Machines
4,2018-07-16,648.0,Coffee Machines
5,2018-07-17,648.0,Coffee Machines
6,2018-07-18,648.0,Coffee Machines
7,2018-07-19,648.0,Coffee Machines
8,2018-07-20,116.0,Coffee Machines
9,2018-07-21,145.0,Coffee Machines
10,2018-07-22,161.0,Coffee Machines
11,2018-07-23,270.0,Coffee Machines
12,2018-07-24,316.0,Coffee Machines
13,2018-07-25,316.0,Coffee Machines
14,2018-07-26,413.0,Coffee Machines
15,2018-07-27,474.0,Coffee Machines
16,2018-07-28,200.0,Coffee Machines
17,2018-07-29,288.0,Coffee Machines
18,2018-07-30,288.0,Coffee Machines
19,2018-07-31,478.0,Coffee Machines
20,2018-08-01,545.0,Coffee Machines
21,2018-08-02,545.0,Coffee Machines
22,2018-08-03,468.0,Coffee Machines
23,2018-08-04,468.0,Coffee Machines
24,2018-08-05,479.0,Coffee Machines
25,2018-08-06,510.0,Coffee Machines
26,2018-08-07,451.0,Coffee Machines
27,2018-08-08,451.0,Coffee Machines
28,2018-08-09,605.0,Coffee Machines
29,2018-08-10,605.0,Coffee Machines
30,2018-08-11,581.0,Coffee Machines
31,2018-08-12,303.0,Coffee Machines
32,2018-08-13,303.0,Coffee Machines
33,2018-08-14,574.0,Coffee Machines
34,2018-08-15,661.0,Coffee Machines
35,2018-08-16,600.0,Coffee Machines
36,2018-08-17,600.0,Coffee Machines
37,2018-08-18,602.0,Coffee Machines
38,2018-08-19,602.0,Coffee Machines
39,2018-08-20,243.0,Coffee Machines
40,2018-08-21,243.0,Coffee Machines
41,2018-08-22,243.0,Coffee Machines
42,2018-08-23,669.0,Coffee Machines
43,2018-08-24,777.0,Coffee Machines
44,2018-08-25,744.0,Coffee Machines
45,2018-08-26,755.0,Coffee Machines
46,2018-08-27,777.0,Coffee Machines
47,2018-08-28,825.0,Coffee Machines
48,2018-08-29,825.0,Coffee Machines
49,2018-08-30,985.0,Coffee Machines
50,2018-08-31,985.0,Coffee Machines
51,2018-09-01,1009.0,Coffee Machines
52,2018-09-02,1009.0,Coffee Machines
53,2018-09-03,994.0,Coffee Machines
54,2018-09-04,994.0,Coffee Machines
55,2018-09-05,1218.0,Coffee Machines
56,2018-09-06,1227.0,Coffee Machines
57,2018-09-07,1227.0,Coffee Machines
58,2018-09-08,1227.0,Coffee Machines
59,2018-09-09,1386.0,Coffee Machines
60,2018-09-10,1184.0,Coffee Machines
61,2018-09-11,1277.0,Coffee Machines
62,2018-09-12,1277.0,Coffee Machines
63,2018-09-13,1426.0,Coffee Machines
64,2018-09-14,1438.0,Coffee Machines
65,2018-09-15,1438.0,Coffee Machines
66,2018-09-16,1438.0,Coffee Machines
67,2018-09-17,1438.0,Coffee Machines
68,2018-09-18,1635.0,Coffee Machines
69,2018-09-19,1274.0,Coffee Machines
70,2018-09-20,1274.0,Coffee Machines
71,2018-09-21,1035.0,Coffee Machines
72,2018-09-22,1035.0,Coffee Machines
73,2018-09-23,1178.0,Coffee Machines
74,2018-09-24,252.0,Coffee Machines
75,2018-09-25,252.0,Coffee Machines
76,2018-09-26,252.0,Coffee Machines
77,2018-09-27,939.0,Coffee Machines
78,2018-09-28,939.0,Coffee Machines
79,2018-09-29,939.0,Coffee Machines
80,2018-09-30,939.0,Coffee Machines
81,2018-10-01,939.0,Coffee Machines
82,2018-10-02,1275.0,Coffee Machines
83,2018-10-03,1275.0,Coffee Machines
84,2018-10-04,1425.0,Coffee Machines
85,2018-10-05,1596.0,Coffee Machines
86,2018-10-06,1568.0,Coffee Machines
87,2018-10-07,1568.0,Coffee Machines
88,2018-10-08,1740.0,Coffee Machines
89,2018-10-09,1740.0,Coffee Machines
90,2018-10-10,1740.0,Coffee Machines
91,2018-10-11,1743.0,Coffee Machines
92,2018-10-12,1743.0,Coffee Machines
93,2018-10-13,1743.0,Coffee Machines
94,2018-10-14,2078.0,Coffee Machines
95,2018-10-15,2078.0,Coffee Machines
