,date,value,name_B091TM3RR6
0,2021-04-13,15841.0,Garden Hoses
1,2021-04-14,15841.0,Garden Hoses
2,2021-04-15,15841.0,Garden Hoses
3,2021-04-16,15841.0,Garden Hoses
4,2021-04-17,15841.0,Garden Hoses
5,2021-04-18,15841.0,Garden Hoses
6,2021-04-19,7437.0,Garden Hoses
7,2021-04-20,7437.0,Garden Hoses
8,2021-04-21,7437.0,Garden Hoses
9,2021-04-22,7437.0,Garden Hoses
10,2021-04-23,4621.0,Garden Hoses
11,2021-04-24,4621.0,Garden Hoses
12,2021-04-25,3629.0,Garden Hoses
13,2021-04-26,3629.0,Garden Hoses
14,2021-04-27,3607.0,Garden Hoses
15,2021-04-28,3607.0,Garden Hoses
16,2021-04-29,3607.0,Garden Hoses
17,2021-04-30,3333.0,Garden Hoses
18,2021-05-01,3333.0,Garden Hoses
19,2021-05-02,3333.0,Garden Hoses
20,2021-05-03,2412.0,Garden Hoses
21,2021-05-04,2412.0,Garden Hoses
22,2021-05-05,2980.0,Garden Hoses
23,2021-05-06,2980.0,Garden Hoses
24,2021-05-07,3555.0,Garden Hoses
25,2021-05-08,3555.0,Garden Hoses
26,2021-05-09,3555.0,Garden Hoses
27,2021-05-10,3918.0,Garden Hoses
28,2021-05-11,2984.0,Garden Hoses
29,2021-05-12,2984.0,Garden Hoses
30,2021-05-13,3042.0,Garden Hoses
31,2021-05-14,3042.0,Garden Hoses
32,2021-05-15,3042.0,Garden Hoses
33,2021-05-16,4167.0,Garden Hoses
34,2021-05-17,4167.0,Garden Hoses
35,2021-05-18,1598.0,Garden Hoses
36,2021-05-19,2123.0,Garden Hoses
37,2021-05-20,2754.0,Garden Hoses
38,2021-05-21,2754.0,Garden Hoses
39,2021-05-22,2938.0,Garden Hoses
40,2021-05-23,2938.0,Garden Hoses
41,2021-05-24,2894.0,Garden Hoses
42,2021-05-25,2894.0,Garden Hoses
43,2021-05-26,2894.0,Garden Hoses
44,2021-05-27,2758.0,Garden Hoses
45,2021-05-28,2758.0,Garden Hoses
46,2021-05-29,3676.0,Garden Hoses
47,2021-05-30,3676.0,Garden Hoses
48,2021-05-31,4922.0,Garden Hoses
49,2021-06-01,5163.0,Garden Hoses
50,2021-06-02,2760.0,Garden Hoses
51,2021-06-03,2760.0,Garden Hoses
52,2021-06-04,3980.0,Garden Hoses
53,2021-06-05,3980.0,Garden Hoses
54,2021-06-06,4556.0,Garden Hoses
55,2021-06-07,4556.0,Garden Hoses
56,2021-06-08,5008.0,Garden Hoses
57,2021-06-09,5008.0,Garden Hoses
58,2021-06-10,4284.0,Garden Hoses
59,2021-06-11,4284.0,Garden Hoses
60,2021-06-12,4284.0,Garden Hoses
61,2021-06-13,4716.0,Garden Hoses
62,2021-06-14,4716.0,Garden Hoses
63,2021-06-15,3385.0,Garden Hoses
64,2021-06-16,3385.0,Garden Hoses
65,2021-06-17,3602.0,Garden Hoses
66,2021-06-18,3602.0,Garden Hoses
67,2021-06-19,3602.0,Garden Hoses
68,2021-06-20,3815.0,Garden Hoses
69,2021-06-21,4367.0,Garden Hoses
70,2021-06-22,4367.0,Garden Hoses
71,2021-06-23,4367.0,Garden Hoses
72,2021-06-24,2032.0,Garden Hoses
73,2021-06-25,2032.0,Garden Hoses
74,2021-06-26,2382.0,Garden Hoses
75,2021-06-27,2382.0,Garden Hoses
76,2021-06-28,2382.0,Garden Hoses
77,2021-06-29,2953.0,Garden Hoses
78,2021-06-30,2953.0,Garden Hoses
79,2021-07-01,2953.0,Garden Hoses
80,2021-07-02,2436.0,Garden Hoses
81,2021-07-03,2266.0,Garden Hoses
82,2021-07-04,2447.0,Garden Hoses
83,2021-07-05,2447.0,Garden Hoses
84,2021-07-06,2190.0,Garden Hoses
85,2021-07-07,2375.0,Garden Hoses
86,2021-07-08,2377.0,Garden Hoses
87,2021-07-09,2377.0,Garden Hoses
88,2021-07-10,2377.0,Garden Hoses
89,2021-07-11,3042.0,Garden Hoses
