,date,value,name_B00LTT3LJS
0,2020-05-25,1801.0,Replacement Blades
1,2020-05-26,1802.0,Replacement Blades
2,2020-05-27,1802.0,Replacement Blades
3,2020-05-28,1802.0,Replacement Blades
4,2020-05-29,1598.0,Replacement Blades
5,2020-05-30,1598.0,Replacement Blades
6,2020-05-31,1598.0,Replacement Blades
7,2020-06-01,1978.0,Replacement Blades
8,2020-06-02,1916.0,Replacement Blades
9,2020-06-03,1889.0,Replacement Blades
10,2020-06-04,2219.0,Replacement Blades
11,2020-06-05,1924.0,Replacement Blades
12,2020-06-06,1924.0,Replacement Blades
13,2020-06-07,1848.0,Replacement Blades
14,2020-06-08,1791.0,Replacement Blades
15,2020-06-09,1504.0,Replacement Blades
16,2020-06-10,1284.0,Replacement Blades
17,2020-06-11,1282.0,Replacement Blades
18,2020-06-12,1399.0,Replacement Blades
19,2020-06-13,1399.0,Replacement Blades
20,2020-06-14,2020.0,Replacement Blades
21,2020-06-15,2757.0,Replacement Blades
22,2020-06-16,2616.0,Replacement Blades
23,2020-06-17,3246.0,Replacement Blades
24,2020-06-18,2878.0,Replacement Blades
25,2020-06-19,3122.0,Replacement Blades
26,2020-06-20,3122.0,Replacement Blades
27,2020-06-21,2447.0,Replacement Blades
28,2020-06-22,2683.0,Replacement Blades
29,2020-06-23,2404.0,Replacement Blades
30,2020-06-24,2851.0,Replacement Blades
31,2020-06-25,3387.0,Replacement Blades
32,2020-06-26,2757.0,Replacement Blades
33,2020-06-27,3064.0,Replacement Blades
34,2020-06-28,3207.0,Replacement Blades
35,2020-06-29,2826.0,Replacement Blades
36,2020-06-30,2885.0,Replacement Blades
37,2020-07-01,3488.0,Replacement Blades
38,2020-07-02,2991.0,Replacement Blades
39,2020-07-03,2670.0,Replacement Blades
40,2020-07-04,2439.0,Replacement Blades
41,2020-07-05,1964.0,Replacement Blades
42,2020-07-06,2450.0,Replacement Blades
43,2020-07-07,2886.0,Replacement Blades
44,2020-07-08,2664.0,Replacement Blades
45,2020-07-09,2597.0,Replacement Blades
46,2020-07-10,2760.0,Replacement Blades
47,2020-07-11,3280.0,Replacement Blades
48,2020-07-12,2699.0,Replacement Blades
49,2020-07-13,3232.0,Replacement Blades
50,2020-07-14,3426.0,Replacement Blades
51,2020-07-15,3483.0,Replacement Blades
52,2020-07-16,2787.0,Replacement Blades
53,2020-07-17,1307.0,Replacement Blades
54,2020-07-18,1829.0,Replacement Blades
55,2020-07-19,1774.0,Replacement Blades
56,2020-07-20,1704.0,Replacement Blades
57,2020-07-21,1720.0,Replacement Blades
58,2020-07-22,2055.0,Replacement Blades
59,2020-07-23,2025.0,Replacement Blades
60,2020-07-24,1920.0,Replacement Blades
